pi,0.33290092888468203,0.33376334360545523,0.3333357275098622
means,"[4.985874371078942, 4.9699631075540465]","[9.97489779154679, 9.96129632234183]","[0.01683159079770982, 0.05331434220867515]"
covariances,"[[1.0109267774031017, 0.00045421764712526617], [0.00045421764712526617, 0.9967953153537329]]","[[0.9901015671069621, -0.007114553858026521], [-0.007114553858026521, 1.0222289593445693]]","[[0.9346334464688373, 0.003980904739477998], [0.003980904739477998, 1.0143678634511613]]"
log_likelihoods,-12969.005811193974,-12969.005811193514,-12969.005811193509
