pi,0.333516189871126,0.3333634933563586,0.33312031677251525
means,"[4.9947213947073745, 4.987406788459482]","[9.996273147709534, 9.994530612190488]","[-0.0026635960985501557, 0.014196019206106468]"
covariances,"[[1.0578876902627563, -0.01755011247751234], [-0.01755011247751234, 1.0222443102155774]]","[[1.0184160009208583, -0.005347366209435339], [-0.005347366209435339, 0.943194667251202]]","[[0.962737300124766, 0.0063910288726029656], [0.0063910288726029656, 1.006874904523406]]"
log_likelihoods,-39523.47349458587,-29263.708749263402,-27904.2826535747,-27187.31351519715,-27165.117314608768,-27165.046855481138,-27165.046645896306,-27165.046645245115
