pi,0.4996642910947013,0.5003357089052985
means,"[0.001363499399925517, 0.01155668668900014]","[4.990025162422914, 4.9882283915601136]"
covariances,"[[0.9725468611804369, 0.002659554454090218], [0.002659554454090218, 1.0070010057117784]]","[[1.065567279276126, -0.025706749611587382], [-0.025706749611587382, 1.0359970816575783]]"
log_likelihoods,-15618.910124294642,-15618.910124294636,-15618.910124294634
