pi,0.48045835011758825,0.5195416498824117
means,"[2.335953962674556, 2.7073255957815903]","[2.673958986418455, 2.3766807178394607]"
covariances,"[[7.044503726247719, 6.136851879313354], [6.136851879313354, 7.189208479994818]]","[[7.090411854818619, 6.258535840147153], [6.258535840147153, 7.146495513014476]]"
log_likelihoods,-7825.462958650654,-7825.462876753068,-7825.462798209783
