pi,0.33303504542405576,0.3336451464542209,0.3333198081217229
means,"[5.005011893311793, 5.060550366216336]","[9.980436268230177, 9.964727122025291]","[0.03743406008083741, 0.029765706507433435]"
covariances,"[[0.9400360492147423, 0.052394464480154064], [0.052394464480154064, 0.953924298623974]]","[[1.0617868861559883, 0.011710299490459857], [0.011710299490459857, 1.0504288074821595]]","[[0.9243998336452732, -0.023412738843440313], [-0.023412738843440313, 1.025383605206891]]"
log_likelihoods,-8245.053397471387,-8245.053397471336,-8245.053397471336
