pi,0.3335304572024749,0.33336475680945776,0.3331047859880671
means,"[4.990709221537359, 4.985983986523875]","[10.010327569552603, 10.00169782451234]","[-0.003080074470710542, 0.01002021392459145]"
covariances,"[[1.0532494371114345, -0.022195078035100957], [-0.022195078035100957, 0.99187412713195]]","[[1.0455307819500579, 0.004621515619362328], [0.004621515619362328, 0.9722249883957657]]","[[0.9587154073276164, 0.007612649335495791], [0.007612649335495791, 1.013252063112333]]"
log_likelihoods,-30740.25619222038,-30740.210259726413,-30740.210257804734
