pi,0.333097628715941,0.33355289883969524,0.33334947244436286
means,"[4.960874846685345, 5.041659332476064]","[9.989426257648464, 9.951242578758205]","[0.04123888896641361, 0.03869112861548891]"
covariances,"[[0.9705665387099557, 0.031172608629583674], [0.031172608629583674, 0.9536690999036227]]","[[1.0143675762803224, 0.008887452882178425], [0.008887452882178425, 1.0277033731174834]]","[[0.9233058718683602, -0.0006474012985487036], [-0.0006474012985487036, 1.050906258944919]]"
log_likelihoods,-9418.240122702835,-9418.240122700958,-9418.24012270093
