pi,0.4997126865800129,0.5002873134199871
means,"[-0.0035060653012027867, -0.0037320499036434004]","[4.9909024176295045, 4.99486514722923]"
covariances,"[[0.9710995401645267, -0.000706922998643415], [-0.000706922998643415, 1.0125480357843284]]","[[1.0371856805764175, -0.004115975151098095], [-0.004115975151098095, 0.9790708826546582]]"
log_likelihoods,-56382.18123570344,-25666.28674982091,-25666.05642396409,-25666.047405756413,-25666.042960836774,-25666.038694819377,-25666.034505375967,-25666.030377327355,-25666.02629766729,-25666.022253803516,-25666.01823348429,-25666.01422476321,-25666.01021596905,-25666.006195679656,-25666.002152699904,-25665.998076043557,-25665.993954919024,-25665.989778719,-25665.985537014054,-25665.981219550016,-25665.9768162495,-25665.97231721726,-25665.967712749705,-25665.962993348454,-25665.958149738028,-25665.953172887625,-25665.948054037013,-25665.94278472651,-25665.93735683079,-25665.931762596643,-25665.92599468415,-25665.920046211308,-25665.91391080147,-25665.90758263348,-25665.90105649356,-25665.894327828788,-25665.887392801145,-25665.88024834141,-25665.87289220206,-25665.86532300819,-25665.857540305322,-25665.84954460312,-25665.841337413774,-25665.832921283953,-25665.82429981912,-25665.815477699154,-25665.806460684184,-25665.79725560973,-25665.78787037036,-25665.77831389116,-25665.768596086724,-25665.75872780738,-25665.748720772754,-25665.73858749301,-25665.728341178507,-25665.71799563855,-25665.70756517078,-25665.697064442313,-25665.68650836464,-25665.675911963917,-25665.66529024882,-25665.654658078132,-25665.64403003006,-25665.633420275637,-25665.622842458117,-25665.61230958042,-25665.601833902278,-25665.591426848616,-25665.581098930463,-25665.57085967924,-25665.56071759509,-25665.550680109587,-25665.540753562702,-25665.530943193797,-25665.521253146057,-25665.51168648341,-25665.502245219013,-25665.492930354034,-25665.48374192533,-25665.474679060713,-25665.465740040287,-25665.456922362337,-25665.448222812505,-25665.43963753473,-25665.43116210283,-25665.422791591434,-25665.414520645463,-25665.406343546987,-25665.39825427901,-25665.39024658536,-25665.382314026327,-25665.374450029693,-25665.3666479369,-25665.358901044317,-25665.35120263951,-25665.343546032647,-25665.335924583123,-25665.328331721616,-25665.320760967876,-25665.313205944374,-25665.30566038619,-25665.298118147504,-25665.290573204824,-25665.283019657414,-25665.275451725138,-25665.26786374403,-25665.260250159823,-25665.252605519738,-25665.24492446272,-25665.237201708325,-25665.22943204444,-25665.221610314067,-25665.21373140111,-25665.205790215587,-25665.19778167799,-25665.189700703246,-25665.18154218397,-25665.17330097333,-25665.164971867354,-25665.15654958679,-25665.148028758435,-25665.139403895897,-25665.130669379814,-25665.121819437387,-25665.11284812118,-25665.103749287133,-25665.094516571593,-25665.085143367378,-25665.075622798566,-25665.065947694042,-25665.05611055949,-25665.04610354773,-25665.03591842716,-25665.025546548015,-25665.01497880637,-25665.00420560535,-25664.993216813484,-25664.982001719603,-25664.97054898415,-25664.958846586283,-25664.94688176628,-25664.93464096282,-25664.922109744533,-25664.90927273487,-25664.8961135298,-25664.88261460742,-25664.86875722823,-25664.854521325193,-25664.839885382233,-25664.82482629956,-25664.80931924426,-25664.793337484167,-25664.776852202784,-25664.759832292664,-25664.74224412433,-25664.72405128727,-25664.705214298992,-25664.685690277576,-25664.665432572234,-25664.64439034559,-25664.62250810022,-25664.59972514076,-25664.57597496113,-25664.551184544805,-25664.525273563424,-25664.498153456585,-25664.46972637181,-25664.43988394007,-25664.408505856503,-25664.37545823011,-25664.34059165806,-25664.303738970546,-25664.264712579876,-25664.22330135194,-25664.179266898675,-25664.13233916535,-25664.08221115433,-25664.028532586268,-25663.97090224589,-25663.90885869032,-25663.84186890591,-25663.769314378158,-25663.690473876843,-25663.604502039205,-25663.51040253605,-25663.406994195866,-25663.292867893266,-25663.166331209643,-25663.02533674017,-25662.867388290673,-25662.68941683099,-25662.487614556478,-25662.25721012926,-25661.99216010457,-25661.684718996767,-25661.324830519254,-25660.899250218543,-25660.39025603934,-25659.7737117995,-25659.016087792355,-25658.069751189676,-25656.86529073135,-25655.29856664539,-25653.207975227182,-25650.332659165022,-25646.231469220038,-25640.115577392342,-25630.475742452003,-25614.17380919133,-25583.973281121052,-25520.900804665718,-25367.106298630584,-24922.695963344282,-23629.243410440475,-22016.037648600948,-21887.626941732982,-21887.510902834405,-21887.5108024064,-21887.510802291497
