pi,0.4997351582479361,0.500264841752065
means,"[-0.010097167196261508, -0.00405575265521536]","[5.000083751846628, 5.000512052127057]"
covariances,"[[0.9722544177370752, -0.004034039115616343], [-0.004034039115578937, 1.011830052217754]]","[[1.0341217456556941, -0.0073900315318892445], [-0.0073900315317835365, 0.9787463603071748]]"
log_likelihoods,-28011.126418043117,-27756.496649801113,-27756.392069998605,-27756.315209159457,-27756.258692059986,-27756.21722597601,-27756.18685348334,-27756.164629861298,-27756.148374586715,-27756.13647999236,-27756.12776520755,-27756.12136560674,-27756.11664977563,-27756.113157582397,-27756.11055426605,-27756.108596570644,-27756.107107884887,-27756.105960038127,-27756.105060032307,-27756.104340376864,-27756.103752075374,-27756.103259530464,-27756.1028368586,-27756.102465215597,-27756.102130865864,-27756.101823780336,-27756.101536622737,-27756.101264020283,-27756.10100202259,-27756.100747724,-27756.100498978572,-27756.100254199322,-27756.100012207877,-27756.09977212338,-27756.099533290464,-27756.099295216154,-27756.099057528143,-27756.098819943138,-27756.098582248364,-27756.098344276637,-27756.09810589927,-27756.097867018732,-27756.09762755474,-27756.09738744489,-27756.097146638687,-27756.09690509388,-27756.0966627749,-27756.096419653048,-27756.09617570311,-27756.095930901447,-27756.095685227854,-27756.095438663226,-27756.095191192195,-27756.094942796655,-27756.094693462357,-27756.09444317407,-27756.09419191602,-27756.09393967598,-27756.093686438988,-27756.093432190453,-27756.093176918315,-27756.09292060801,-27756.092663245385,-27756.092404816773,-27756.092145308223,-27756.091884705893,-27756.0916229965,-27756.091360165254,-27756.0910961987,-27756.09083108128,-27756.090564798826,-27756.09029733864,-27756.090028684186,-27756.089758820977,-27756.08948773517,-27756.089215410928,-27756.088941832255,-27756.08866698553,-27756.088390855086,-27756.088113423662,-27756.08783467691,-27756.087554599566,-27756.08727317358,-27756.086990383184,-27756.086706213937,-27756.086420646818,-27756.08613366627,-27756.085845255788,-27756.08555539758,-27756.085264075286,-27756.08497126986,-27756.08467696529,-27756.08438114199,-27756.084083784546,-27756.08378487348,-27756.083484390194,-27756.083182315902,-27756.082878632238,-27756.08257331992,-27756.08226636071,-27756.081957734466,-27756.08164742188,-27756.081335402916,-27756.081021657366,-27756.080706165107,-27756.080388906386,-27756.080069859207,-27756.07974900426,-27756.07942631818,-27756.079101780713,-27756.07877537007,-27756.07844706405,-27756.078116840978,-27756.077784678677,-27756.07745055241,-27756.077114440897,-27756.076776320122,-27756.076436166302,-27756.076093956355,-27756.07574966518,-27756.075403268733,-27756.075054742047,-27756.074704060746,-27756.07435119754,-27756.073996128194,-27756.073638826005,-27756.073279264812,-27756.07291741824,-27756.072553257764,-27756.072186757094,-27756.07181788723,-27756.071446621783,-27756.071072930426,-27756.07069678347,-27756.070318154583,-27756.06993701173,-27756.069553324425,-27756.069167062953,-27756.06877819632,-27756.068386692015,-27756.067992518903,-27756.06759564462,-27756.067196035314,-27756.066793660175,-27756.06638848212,-27756.065980468178,-27756.065569584196,-27756.065155794484,-27756.064739063193,-27756.064319353005,-27756.06389662888,-27756.06347085155,-27756.063041983896,-27756.062609986395,-27756.06217482208,-27756.061736448275,-27756.061294826955,-27756.060849914735,-27756.060401672272,-27756.05995005564,-27756.05949502144,-27756.059036527728,-27756.0585745283,-27756.05810898027,-27756.057639834853,-27756.057167046925,-27756.056690570156,-27756.056210354564,-27756.055726351973,-27756.055238512934,-27756.054746786438,-27756.05425112041,-27756.053751463194,-27756.053247762393,-27756.052739962714,-27756.05222800881,-27756.05171184607,-27756.051191416558,-27756.050666661147,-27756.050137523227,-27756.04960394073,-27756.049065854495,-27756.048523199894,-27756.047975915008,-27756.04742393502,-27756.046867195008,-27756.046305626583,-27756.04573916235,-27756.045167733384,-27756.044591266895,-27756.04400969398,-27756.043422939878,-27756.042830928578,-27756.042233586213,-27756.041630832384,-27756.041022590165,-27756.040408778303,-27756.039789314174,-27756.039164114518,-27756.038533092342,-27756.03789616188,-27756.037253233473,-27756.03660421658,-27756.035949018333,-27756.035287544077,-27756.034619698188,-27756.0339453813,-27756.033264494123,-27756.032576933016,-27756.031882593205,-27756.031181369173,-27756.030473150255,-27756.029757825756,-27756.029035282416,-27756.028305402306,-27756.02756806869,-27756.026823158238,-27756.026070547963,-27756.025310110537,-27756.024541717343,-27756.02376523512,-27756.022980527734,-27756.022187458588,-27756.021385884982,-27756.02057566092,-27756.019756640482,-27756.018928669626,-27756.018091594997,-27756.017245257943,-27756.016389494125,-27756.01552413941,-27756.014649021894,-27756.013763968658,-27756.012868799226,-27756.011963332494,-27756.01104738022,-27756.01012074975,-27756.009183245747,-27756.008234666435,-27756.007274804793,-27756.006303448365,-27756.00532038252,-27756.004325380978,-27756.003318218238,-27756.00229865806,-27756.00126646144,-27756.000221381553,-27755.999163164022,-27755.998091551377,-27755.997006273563,-27755.995907060795,-27755.994793628157,-27755.993665688708,-27755.9925229445,-27755.99136509233,-27755.99019181726,-27755.98900279789,-27755.98779770176,-27755.986576189556,-27755.98533791059,-27755.984082505536,-27755.982809602217,-27755.981518818655,-27755.98020976503,-27755.978882035073,-27755.977535212958,-27755.97616887107,-27755.974782566285,-27755.973375844762,-27755.971948237177,-27755.970499261923,-27755.969028418454,-27755.967535194824,-27755.966019060543,-27755.964479469552,-27755.96291585773,-27755.961327642315,-27755.959714223318,-27755.958074979153,-27755.95640926918,-27755.954716431657,-27755.95299578202,-27755.951246612243,-27755.94946819176,-27755.94765976355,-27755.945820545436,-27755.943949728768,-27755.942046473217,-27755.940109914438,-27755.938139150774,-27755.9361332536,-27755.93409125747,-27755.9320121624,-27755.92989493416,-27755.92773849543,-27755.925541732133,-27755.923303487056,-27755.921022559327,-27755.918697699126,-27755.916327612707,-27755.91391095356,-27755.911446320388,-27755.908932258306,-27755.90636725268,-27755.903749728357,-27755.901078044808,-27755.898350494215,-27755.895565298528,-27755.89272060011,-27755.889814468494,-27755.886844886038,-27755.88380974929,-27755.88070686276,-27755.87753393059,-27755.874288558185,-27755.87096824275,-27755.867570361923,-27755.86409217979,-27755.86053082686,-27755.856883301334,-27755.853146458427,-27755.84931699981,-27755.845391469542,-27755.841366238627,-27755.83723749918,-27755.83300125196,-27755.828653293192,-27755.824189200695,-27755.819604326236,-27755.814893772083,-27755.810052382352,-27755.805074719072,-27755.79995505126,-27755.794687326525,-27755.78926515577,-27755.783681785997,-27755.777930076747,-27755.772002468846,-27755.76589096184,-27755.759587071323,-27755.75308180228,-27755.74636560428,-27755.739428334855,-27755.732259205983,-27755.72484674462,-27755.71717872443,-27755.709242118653,-27755.701023023983,-27755.692506595067,-27755.68367696002,-27755.674517136486,-27755.665008932367,-27755.655132839325,-27755.644867917872,-27755.634191660683,-27755.623079855155,-27755.611506415225,-27755.599443206083,-27755.586859844516,-27755.573723472924,-27755.55999851352,-27755.54564638367,-27755.530625183936,-27755.514889347047,-27755.49838923126,-27755.48107067596,-27755.462874486573,-27755.44373585099,-27755.423583684315,-27755.40233987228,-27755.37991840081,-27755.35622437042,-27755.33115285547,-27755.304587583203,-27755.27639940782,-27755.246444541823,-27755.214562487818,-27755.18057362359,-27755.144276364812,-27755.105443822693,-27755.06381984801,-27755.019114330375,-27754.97099758651,-27754.919093634002,-27754.862972080842,-27754.80213830148,-27754.736021472716,-27754.663959915168,-27754.58518302313,-27754.498788851713,-27754.40371610249,-27754.29870889174,-27754.18227204244,-27754.052613921427,-27753.907572659133,-27753.744520034103,-27753.560234937715,-27753.350734939013,-27753.111049355943,-27752.83490950158,-27752.514319809212,-27752.138954743954,-27751.695296132162,-27751.16537579713,-27750.524904438356,-27749.740421995786,-27748.764844060766,-27747.53029581384,-27745.936194336155,-27743.828666762973,-27740.963426592556,-27736.93534202178,-27731.03663602526,-27721.950536953016,-27707.030964112866,-27680.42640941233,-27627.55421903846,-27506.38447681908,-27176.42576694453,-26178.177171564494,-24226.651402677115,-23652.30473894575,-23647.98706196703,-23647.98362829053,-23647.983624815246
