pi,0.500135592576545,0.4998644074234372
means,"[4.988855802900913, 4.944811847518305]","[-0.0008729053619475495, 0.04784512216894712]"
covariances,"[[1.012972681957838, -0.009615107614325134], [-0.009615107614507335, 1.0089800986956021]]","[[0.9483852399666176, 0.010207992403193507], [0.010207992403159467, 1.0106446496408594]]"
log_likelihoods,-13743.93023573161,-13616.040999157902,-13615.94672182051,-13615.87772016967,-13615.826593501999,-13615.788441082792,-13615.759751162974,-13615.737998944185,-13615.721364300018,-13615.7085301321,-13615.698538665674,-13615.690689315346,-13615.684466167697,-13615.679486507639,-13615.675464226844,-13615.672183754485,-13615.66948139706,-13615.667231927244,-13615.665338866962,-13615.66372741643,-13615.662339242132,-13615.661128632953,-13615.660059603268,-13615.65910373024,-13615.658238487242,-13615.65744598088,-13615.656711973292,-13615.65602511146,-13615.65537633741,-13615.654758414948,-13615.65416556049,-13615.653593151665,-13615.653037488428,-13615.652495614071,-13615.65196516096,-13615.651444236515,-13615.650931322996,-13615.65042520958,-13615.649924924866,-13615.649429690633,-13615.648938884708,-13615.64845200513,-13615.64796865089,-13615.647488497589,-13615.647011284924,-13615.646536802235,-13615.646064875426,-13615.645595364775,-13615.645128156457,-13615.64466315481,-13615.644200279616,-13615.643739461222,-13615.643280646647,-13615.642823783975,-13615.642368831597,-13615.641915749871,-13615.641464503362,-13615.641015063244,-13615.640567400571,-13615.640121487204,-13615.639677299243,-13615.639234810556,-13615.63879400011,-13615.638354843868,-13615.637917321277,-13615.637481409642,-13615.637047088943,-13615.63661433789,-13615.636183139266,-13615.635753467079,-13615.635325305611,-13615.63489863387,-13615.63447343196,-13615.634049678723,-13615.633627358955,-13615.633206446983,-13615.632786928229,-13615.632368780818,-13615.631951984968,-13615.63153652397,-13615.63112237407,-13615.630709519173,-13615.63029793989,-13615.6298876163,-13615.629478527626,-13615.62907065733,-13615.628663983523,-13615.62825848892,-13615.627854152852,-13615.62745095705,-13615.627048882172,-13615.626647908271,-13615.626248017365,-13615.625849187723,-13615.625451403695,-13615.625054642898,-13615.624658887951,-13615.624264118924,-13615.623870316913,-13615.623477461268,-13615.623085536092,-13615.622694519105,-13615.62230439267,-13615.621915136744,-13615.621526731871,-13615.621139159117,-13615.620752400118,-13615.620366432946,-13615.619981241745,-13615.619596805085,-13615.619213103515,-13615.61883011939,-13615.618447831275,-13615.618066221501,-13615.617685269948,-13615.61730495793,-13615.61692526466,-13615.616546169978,-13615.61616765767,-13615.615789704201,-13615.61541229346,-13615.61503540516,-13615.61465901848,-13615.61428311264,-13615.613907673232,-13615.61353267416,-13615.613158100155,-13615.612783930857,-13615.61241014328,-13615.612036722152,-13615.611663644766,-13615.611290890563,-13615.61091844258,-13615.610546278771,-13615.610174379213,-13615.609802725554,-13615.609431294739,-13615.609060069444,-13615.608689028206,-13615.608318149978,-13615.607947416436,-13615.607576804505,-13615.607206297802,-13615.606835872299,-13615.606465509818,-13615.606095188108,-13615.605724887566,-13615.605354587591,-13615.60498426725,-13615.604613905096,-13615.604243482227,-13615.603872975405,-13615.603502365057,-13615.603131631266,-13615.602760750404,-13615.602389702433,-13615.602018466818,-13615.601647021915,-13615.601275346398,-13615.60090341938,-13615.600531218286,-13615.60015872222,-13615.599785909206,-13615.599412757794,-13615.5990392467,-13615.598665353495,-13615.59829105733,-13615.597916334777,-13615.597541164261,-13615.597165523832,-13615.596789390336,-13615.596412744928,-13615.596035559956,-13615.595657818172,-13615.595279491641,-13615.594900561919,-13615.594521006116,-13615.594140798345,-13615.593759918986,-13615.593378342592,-13615.592996047395,-13615.59261301103,-13615.592229207356,-13615.591844615636,-13615.591459211952,-13615.591072971441,-13615.590685871866,-13615.59029788914,-13615.589908998238,-13615.589519175111,-13615.58912839906,-13615.588736641708,-13615.588343881345,-13615.587950091278,-13615.587555251333,-13615.587159331535,-13615.586762309764,-13615.586364161376,-13615.585964860094,-13615.585564382643,-13615.58516270309,-13615.58475979608,-13615.584355635037,-13615.583950195713,-13615.583543452052,-13615.58313537891,-13615.582725948732,-13615.582315136839,-13615.581902916318,-13615.581489262386,-13615.581074146481,-13615.580657542389,-13615.580239423798,-13615.579819765328,-13615.579398538466,-13615.578975714843,-13615.578551269115,-13615.578125173506,-13615.577697400244,-13615.577267922105,-13615.576836710427,-13615.576403737816,-13615.5759689761,-13615.575532396084,-13615.575093970898,-13615.574653669886,-13615.574211468067,-13615.573767331967,-13615.57332123445,-13615.572873147563,-13615.57242303995,-13615.57197088403,-13615.571516648824,-13615.571060303733,-13615.57060181962,-13615.570141166943,-13615.569678313985,-13615.569213230756,-13615.568745887802,-13615.568276252707,-13615.567804294627,-13615.567329981634,-13615.566853283264,-13615.566374168582,-13615.565892603478,-13615.565408557739,-13615.56492199932,-13615.564432894458,-13615.56394121189,-13615.56344691796,-13615.562949981002,-13615.562450364985,-13615.561948039507,-13615.561442968683,-13615.56093512132,-13615.560424460875,-13615.559910954471,-13615.55939456715,-13615.558875263967,-13615.558353011449,-13615.557827772333,-13615.557299513792,-13615.556768198288,-13615.556233790703,-13615.555696254942,-13615.55515555464,-13615.554611653773,-13615.554064515023,-13615.553514102883,-13615.552960376755,-13615.552403301072,-13615.551842839825,-13615.55127895349,-13615.550711602202,-13615.550140749621,-13615.549566356629,-13615.548988384116,-13615.548406791942,-13615.547821542204,-13615.54723259276,-13615.54663990357,-13615.54604343643,-13615.545443148496,-13615.544838999,-13615.544230947693,-13615.5436189524,-13615.543002969318,-13615.542382959578,-13615.54175887873,-13615.541130682563,-13615.540498330078,-13615.539861776324,-13615.539220978211,-13615.538575890088,-13615.537926468998,-13615.537272668731,-13615.5366144443,-13615.535951751232,-13615.535284542348,-13615.534612770585,-13615.533936390268,-13615.533255353163,-13615.532569613024,-13615.531879120703,-13615.531183828512,-13615.530483687631,-13615.529778647864,-13615.529068661855,-13615.528353677208,-13615.527633644499,-13615.526908511776,-13615.52617822918,-13615.525442743616,-13615.524702004186,-13615.523955957127,-13615.523204549809,-13615.522447725984,-13615.521685434038,-13615.520917618898,-13615.520144224854,-13615.519365196731,-13615.518580475682,-13615.517790007681,-13615.516993733558,-13615.516191596551,-13615.515383537111,-13615.514569496605,-13615.513749414604,-13615.51292323099,-13615.512090884584,-13615.511252314885,-13615.510407457112,-13615.50955625013,-13615.508698629332,-13615.507834531718,-13615.5069638903,-13615.50608664137,-13615.505202716035,-13615.504312048854,-13615.50341457106,-13615.50251021337,-13615.501598906521,-13615.50068058071,-13615.499755163162,-13615.498822584264,-13615.497882767646,-13615.496935641811,-13615.49598113044,-13615.495019158356,-13615.494049649838,-13615.493072525813,-13615.492087706745,-13615.491095114765,-13615.490094668741,-13615.489086286025,-13615.488069882873,-13615.487045378068,-13615.486012683898,-13615.484971712089,-13615.483922378291,-13615.482864593167,-13615.48179826493,-13615.480723303746,-13615.479639613739,-13615.478547103892,-13615.47744567545,-13615.47633523332,-13615.475215678405,-13615.474086910326,-13615.472948826588,-13615.471801323882,-13615.470644297598,-13615.46947764076,-13615.46830124377,-13615.467114996654,-13615.465918786147,-13615.46471249986,-13615.463496020817,-13615.462269230055,-13615.461032006919,-13615.459784229828,-13615.458525773334,-13615.457256508562,-13615.455976309639,-13615.454685041346,-13615.453382570404,-13615.45206876039,-13615.450743468818,-13615.449406555545,-13615.448057874892,-13615.44669727805,-13615.44532461305,-13615.443939726425,-13615.442542460263,-13615.441132651467,-13615.43971013769,-13615.4382747485,-13615.436826313886,-13615.435364657254,-13615.433889600092,-13615.432400955347,-13615.430898538112,-13615.429382154845,-13615.427851608585,-13615.426306696498,-13615.424747213749,-13615.423172947769,-13615.421583681982,-13615.41997919405,-13615.41835925472,-13615.416723632814,-13615.415072086806,-13615.413404369609,-13615.411720231823,-13615.410019411152,-13615.408301643747,-13615.406566652635,-13615.4048141598,-13615.403043874576,-13615.401255499963,-13615.39944873068,-13615.397623251458,-13615.395778738633,-13615.393914858289,-13615.392031269148,-13615.390127615352,-13615.38820353416,-13615.386258647413,-13615.384292570288,-13615.382304902443,-13615.380295230436,-13615.378263129203,-13615.376208158614,-13615.374129866887,-13615.372027781963,-13615.36990142024,-13615.367750280453,-13615.365573844028,-13615.363371575262,-13615.36114291762,-13615.358887296139,-13615.356604115472,-13615.354292757336,-13615.351952584128,-13615.349582930621,-13615.347183109647,-13615.344752407538,-13615.34229008132,-13615.339795360309,-13615.337267448649,-13615.334705509724,-13615.33210868212,-13615.329476065224,-13615.326806723533,-13615.324099683468,-13615.321353928384,-13615.318568402894,-13615.31574200235,-13615.312873578718,-13615.309961931689,-13615.307005810935,-13615.304003907126,-13615.30095485357,-13615.29785722499,-13615.294709525702,-13615.291510194813,-13615.288257594633,-13615.28495001313,-13615.281585654833,-13615.278162637256,-13615.27467898521,-13615.27113262757,-13615.267521384796,-13615.263842973429,-13615.260094986264,-13615.25627489332,-13615.252380033766,-13615.248407600859,-13615.244354639453,-13615.240218032379,-13615.235994488772,-13615.23168053426,-13615.227272498763,-13615.222766498642,-13615.218158429052,-13615.213443934494,-13615.208618406585,-13615.203676956586,-13615.198614392768,-13615.193425201865,-13615.188103522618,-13615.18264311734,-13615.177037343754,-13615.17127912054,-13615.16536089553,-13615.159274602072,-13615.15301161459,-13615.146562707934,-13615.139918001372,-13615.133066897113,-13615.125998022366,-13615.118699156608,-13615.111157150866,-13615.103357847232,-13615.095285971987,-13615.086925036736,-13615.078257216916,-13615.069263214147,-13615.059922104316,-13615.050211176345,-13615.04010573513,-13615.029578888014,-13615.018601307667,-13615.007140953716,-13614.995162764,-13614.982628302507,-13614.969495355623,-13614.955717472749,-13614.941243442978,-13614.926016683425,-13614.90997454797,-13614.893047522328,-13614.875158283867,-13614.856220621505,-13614.836138168785,-13614.814802918108,-13614.792093477568,-13614.767873017641,-13614.741986828572,-13614.714259430353,-13614.68449110719,-13614.652453746645,-13614.61788583557,-13614.580486374414,-13614.539907469223,-13614.495745244929,-13614.447528633864,-13614.394705457196,-13614.336625023876,-13614.272516212406,-13614.201459652015,-13614.122352124454,-13614.0338605954,-13613.934362281387,-13613.82186570825,-13613.69390558885,-13613.547401107167,-13613.378462408196,-13613.182122550597,-13612.951960445713,-13612.67956129305,-13612.353729899325,-13611.959319557574,-13611.47544780118,-13610.872706617203,-13610.108670992393,-13609.12042380893,-13607.811633400222,-13606.029212846184,-13603.518951136122,-13599.83593917229,-13594.150298600674,-13584.787919274022,-13568.025552930616,-13534.511143999098,-13457.074858502434,-13245.658724250312,-12638.894013452827,-11741.24105754383,-11633.11486708634,-11632.925544481637,-11632.925086060714,-11632.92508437535
