pi,0.5000030121543005,0.49999698784559615
means,"[4.988748400472872, 5.019522317703008]","[0.03434505351507138, 0.0515313744115138]"
covariances,"[[1.0118380582875446, 0.02981640859283463], [0.02981640859247062, 1.015617412626444]]","[[0.9088512321361484, 0.00781688325216538], [0.007816883252277019, 1.0325295167365163]]"
log_likelihoods,-7902.64248632299,-7825.634303530644,-7825.580704898704,-7825.543186786342,-7825.5170404110595,-7825.498888497319,-7825.4863175228,-7825.477620561542,-7825.471600699232,-7825.467424445171,-7825.464514577265,-7825.462473084733,-7825.461026424629,-7825.459987054668,-7825.459226593492,-7825.458657244564,-7825.458218972864,-7825.457870715292,-7825.4575843551775,-7825.457340610732,-7825.457126232326,-7825.456932085939,-7825.456751858216,-7825.456581166063,-7825.456416951789,-7825.456257071807,-7825.456100011416,-7825.455944701307,-7825.455790368526,-7825.455636458846,-7825.455482568372,-7825.455328398575,-7825.455173727023,-7825.455018383227,-7825.454862240616,-7825.454705197748,-7825.454547172459,-7825.454388099477,-7825.454227925083,-7825.454066602041,-7825.453904090353,-7825.453740353612,-7825.4535753594755,-7825.4534090762245,-7825.453241475812,-7825.4530725306995,-7825.452902214802,-7825.452730500075,-7825.452557361467,-7825.452382773992,-7825.4522067109565,-7825.452029146672,-7825.451850053897,-7825.451669407545,-7825.45148718022,-7825.451303344907,-7825.451117876027,-7825.450930742326,-7825.450741916407,-7825.450551372384,-7825.450359075233,-7825.450164998903,-7825.449969111407,-7825.44977138158,-7825.449571778487,-7825.449370269228,-7825.449166818926,-7825.448961396547,-7825.4487539645015,-7825.448544491344,-7825.448332938037,-7825.448119268528,-7825.447903445167,-7825.44768542901,-7825.447465182688,-7825.44724266485,-7825.4470178348065,-7825.44679065001,-7825.446561067656,-7825.446329044686,-7825.446094535447,-7825.445857494468,-7825.445617875564,-7825.445375627952,-7825.445130705713,-7825.444883056804,-7825.444632629513,-7825.444379370752,-7825.4441232282325,-7825.443864144925,-7825.44360206534,-7825.443336928471,-7825.443068677888,-7825.442797250396,-7825.442522583962,-7825.44224461351,-7825.441963275805,-7825.441678500212,-7825.44139021766,-7825.4410983573125,-7825.440802847072,-7825.440503609407,-7825.440200568791,-7825.439893647156,-7825.439582759669,-7825.43926782546,-7825.438948758271,-7825.438625468559,-7825.438297866269,-7825.4379658569105,-7825.437629346973,-7825.437288235018,-7825.4369424201595,-7825.436591798634,-7825.436236261328,-7825.43587569772,-7825.435509995066,-7825.435139033766,-7825.434762692308,-7825.434380848421,-7825.433993370738,-7825.43360012676,-7825.4332009802265,-7825.432795791972,-7825.432384412656,-7825.431966693747,-7825.431542480272,-7825.4311116116805,-7825.43067392192,-7825.430229242322,-7825.429777394528,-7825.429318194936,-7825.42885145709,-7825.4283769847825,-7825.427894577445,-7825.427404025521,-7825.426905112026,-7825.426397615061,-7825.425881301539,-7825.425355933718,-7825.4248212613975,-7825.424277027851,-7825.423722965096,-7825.423158797295,-7825.422584238128,-7825.421998987471,-7825.421402736958,-7825.420795165736,-7825.420175940855,-7825.419544713997,-7825.418901126319,-7825.418244802562,-7825.417575354446,-7825.41689237396,-7825.416195443315,-7825.415484119979,-7825.41475794723,-7825.414016449142,-7825.413259127519,-7825.412485464037,-7825.411694919867,-7825.410886929765,-7825.410060904151,-7825.409216227407,-7825.408352256619,-7825.407468320325,-7825.406563715287,-7825.40563770438,-7825.404689517169,-7825.40371834856,-7825.402723351405,-7825.401703640676,-7825.400658285346,-7825.399586308998,-7825.398486689219,-7825.397358347827,-7825.396200152702,-7825.3950109152875,-7825.393789382802,-7825.39253423612,-7825.391244085819,-7825.38991746686,-7825.388552834223,-7825.387148557198,-7825.385702914367,-7825.384214082658,-7825.38268013809,-7825.381099040853,-7825.379468634741,-7825.377786628295,-7825.376050598215,-7825.374257966294,-7825.372405996472,-7825.370491780014,-7825.368512218374,-7825.366464016804,-7825.364343657472,-7825.362147393859,-7825.359871221819,-7825.357510860698,-7825.35506173223,-7825.352518933687,-7825.349877208441,-7825.347130914806,-7825.344273991871,-7825.341299923945,-7825.338201691127,-7825.334971726878,-7825.331601865554,-7825.328083280092,-7825.324406420732,-7825.320560936837,-7825.316535600146,-7825.312318207965,-7825.307895476248,-7825.303252934032,-7825.298374774236,-7825.293243719143,-7825.28784083983,-7825.282145363364,-7825.276134453502,-7825.269782958274,-7825.263063116758,-7825.25594422293,-7825.248392245727,-7825.240369377519,-7825.23183351992,-7825.222737680692,-7825.213029265695,-7825.202649255681,-7825.191531236343,-7825.179600245079,-7825.166771409157,-7825.152948321766,-7825.1380210975685,-7825.1218640332445,-7825.104332777957,-7825.085260895871,-7825.064455668613,-7825.041692925224,-7825.01671065599,-7824.989201043997,-7824.958800488363,-7824.925076971676,-7824.887513983311,-7824.845489834149,-7824.798250846244,-7824.744876197747,-7824.684231379047,-7824.61490582256,-7824.535128268811,-7824.442650359044,-7824.33458408989,-7824.2071711312465,-7824.055449489955,-7823.8727621680555,-7823.650016823847,-7823.374542390986,-7823.028273812557,-7822.584778644719,-7822.004210340296,-7821.22438571574,-7820.144246664755,-7818.591464047731,-7816.254696497901,-7812.5304564581265,-7806.142868132611,-7794.086456257708,-7768.270857524726,-7703.378085054981,-7513.271684957011,-7025.791200411273,-6694.882247052051,-6690.588996399589,-6690.58841300852,-6690.5884127799545
