pi,0.18779458986663336,0.18182572721548088,0.19980520598669005,0.1848717685135077,0.24570270841800038
means,"[20.058618553370124, 20.06631448630215]","[12.624612463070372, 12.26275947241605]","[0.03498403798197131, 0.04767964126939552]","[4.934651713031172, 4.957773765464076]","[12.27610624826091, 12.518353159370543]"
covariances,"[[0.9524507157036671, -0.045605962069036714], [-0.045605962068095855, 0.906935988950085]]","[[11.388574612965641, 8.975231427058525], [8.975231427058867, 8.442047794265585]]","[[0.9124063340834742, 0.005001270769797382], [0.005001270769335784, 1.0334937961398096]]","[[0.9288146381436841, -0.06278985635260048], [-0.06278985635251753, 0.9123144466245794]]","[[8.971849264556026, 8.769606030787447], [8.769606030788065, 10.774046454279746]]"
log_likelihoods,-24925.127472572436,-23553.516038006786,-23430.348758959834,-23386.372334763182,-23354.987173234666,-23312.716268175656,-23228.417222051034,-23039.472397536058,-22845.27669174847,-22781.851659618453,-22760.34774507829,-22751.699511979466,-22748.11272701719,-22746.68697481556,-22746.14808374782,-22745.95030615095,-22745.877253732153,-22745.8483429056,-22745.834754026026,-22745.826408165278,-22745.819804122904,-22745.81370973337,-22745.807669491835,-22745.80149387665,-22745.795085287544,-22745.78837855668,-22745.781320149694,-22745.77386060045,-22745.765951361718,-22745.75754325218,-22745.748585436842,-22745.739024592618,-22745.728804151848,-22745.71786353988,-22745.706137397632,-22745.693554719266,-22745.680037961138,-22745.665502005886,-22745.64985302008,-22745.632987161967,-22745.61478907815,-22745.595130178488,-22745.573866661256,-22745.55083713664,-22745.525859934063,-22745.498729847073,-22745.46921434819,-22745.437049072483,-22745.401932440782,-22745.36351923625,-22745.32141289883,-22745.275156243057,-22745.22422021004,-22745.167990197475,-22745.105749351012,-22745.036658053432,-22744.959728546994,-22744.87379341308,-22744.777466136326,-22744.66909139717,-22744.54668196853,-22744.407837951374,-22744.249642496277,-22744.068525819923,-22743.8600861312,-22743.61885110804,-22743.33795629238,-22743.008705779474,-22742.619963404577,-22742.157295813216,-22741.60174568195,-22740.928042877786,-22740.101943540343,-22739.076186251314,-22737.784204788513,-22736.130118243134,-22733.972413050036,-22731.096769229385,-22727.17017135701,-22721.663793395768,-22713.73028927228,-22702.046184403684,-22684.776881833044,-22660.286724416663,-22629.48912340414,-22597.345734926646,-22567.80265205147,-22539.51052495803,-22506.748918419213,-22454.780193781844,-22340.285917756464,-22108.253849849978,-22000.011981013602,-21995.530597730452,-21994.76104985056,-21994.40059300468,-21994.132297437718,-21993.884502522746,-21993.63647263221,-21993.38235799703,-21993.12207306978,-21992.858320761356,-21992.595282296636,-21992.337822966812,-21992.090880891497,-21991.858957618322,-21991.645718317464,-21991.453730888996,-21991.284361704882,-21991.13782019212,-21991.01332080509,-21990.909316641853,-21990.82375752586,-21990.754333549863,-21990.698678619443,-21990.65452222657,-21990.619789003016,-21990.592652706895,-21990.571554757767,-21990.555198016194,-21990.54252518563,-21990.53268937949,-21990.52502213071,-21990.519002292913,-21990.51422777088,-21990.510391067044,-21990.507258744703,-21990.504654701486,-21990.502446757004,-21990.500536133317,-21990.498849246276,-21990.497331444152,-21990.495942191304,-21990.49465146758,-21990.493437052814,-21990.492282484338,-21990.491175553198,-21990.490107187536,-21990.489070605563,-21990.488060737473,-21990.487073740886,-21990.486106698285,-21990.48515735675,-21990.484223973683,-21990.483305151774,-21990.4823997789,-21990.481506938428,-21990.480625865555,-21990.47975590521,-21990.478896491477,-21990.478047121658,-21990.47720734204,-21990.476376745602,-21990.475554952183,-21990.474741608865,-21990.473936381342,-21990.473138959234,-21990.472349045842,-21990.471566355907,-21990.470790615982,-21990.470021569483,-21990.469258966372,-21990.468502563745,-21990.46775213271,-21990.467007447507,-21990.4662682986,-21990.465534469527,-21990.464805765965,-21990.46408199179,-21990.46336296136,-21990.462648492507,-21990.461938407207,-21990.461232540612,-21990.460530728375,-21990.45983280872,-21990.45913862947,-21990.458448047597,-21990.45776091119,-21990.457077086503,-21990.456396438316,-21990.45571883677,-21990.45504415242,-21990.454372268578,-21990.453703065563,-21990.45303642336,-21990.452372239888,-21990.451710402063,-21990.45105080641,-21990.450393348838,-21990.44973793927,-21990.449084476575,-21990.44843287368,-21990.4477830379,-21990.447134882557,-21990.446488327016,-21990.445843285088,-21990.445199684716,-21990.44455744556,-21990.44391649192,-21990.44327675453,-21990.442638159337,-21990.442000645082,-21990.441364141694,-21990.440728582078,-21990.44009391101,-21990.43946006554,-21990.438826985403,-21990.43819461215,-21990.43756289456,-21990.43693177701,-21990.43630120771,-21990.435671133066,-21990.435041508415,-21990.43441227844,-21990.43378340544,-21990.433154834256,-21990.432526530232,-21990.431898440835,-21990.43127053045,-21990.43064275519,-21990.430015075395,-21990.42938745211,-21990.428759848815,-21990.428132228142,-21990.427504552626,-21990.426876788,-21990.4262489022,-21990.4256208559,-21990.424992621258,-21990.424364169943,-21990.423735461212,-21990.42310647128,-21990.422477174194,-21990.421847532394,-21990.421217518644,-21990.420587113527,-21990.419956283786,-21990.41932500142,-21990.418693244013,-21990.41806098608,-21990.417428202774,-21990.416794870755,-21990.416160965717,-21990.415526460063,-21990.41489134186,-21990.414255578347,-21990.413619154053,-21990.412982048816,-21990.412344234323,-21990.41170569785,-21990.411066413173,-21990.410426364888,-21990.409785536518,-21990.4091439051,-21990.408501450245,-21990.407858158036,-21990.407214008334,-21990.406568986364,-21990.405923070306,-21990.40527625187,-21990.404628503828,-21990.403979816932,-21990.403330175108,-21990.4026795593,-21990.402027961096,-21990.401375357906,-21990.400721738963,-21990.40006708958,-21990.399411393144,-21990.39875463721,-21990.398096809222,-21990.39743789395,-21990.39677787883,-21990.396116750824,-21990.39545449987,-21990.394791106894,-21990.39412656385,-21990.393460859184,-21990.392793978437,-21990.392125910526,-21990.39145664598,-21990.390786170254,-21990.390114473492,-21990.38944154559,-21990.388767373744,-21990.388091945228,-21990.387415254896,-21990.386737291214,-21990.38605804083,-21990.38537749472,-21990.38469564598,-21990.384012481532,-21990.383327992975,-21990.382642171127,-21990.381955004254,-21990.381266486766,-21990.380576605774,-21990.37988535847,-21990.379192728746,-21990.378498713882,-21990.37780330048,-21990.37710648578,-21990.37640825397,-21990.37570860767,-21990.37500752702,-21990.374305011697,-21990.37360105163,-21990.37289563959,-21990.372188768626,-21990.371480431484,-21990.37077061964,-21990.370059324792,-21990.369346540516,-21990.368632264992,-21990.367916482923,-21990.36719919408,-21990.366480388162,-21990.365760059292,-21990.36503820387,-21990.364314808863,-21990.363589876742,-21990.362863394275,-21990.362135358817,-21990.36140576209,-21990.360674599386,-21990.359941866758,-21990.359207554673,-21990.35847166265,-21990.357734178368,-21990.356995102018,-21990.356254423754,-21990.35551214254,-21990.354768245754,-21990.354022738382,-21990.353275612477,-21990.35252685749,-21990.351776470758,-21990.351024450236,-21990.3502707897,-21990.349515480273,-21990.348758523993,-21990.347999913593,-21990.34723964269,-21990.346477709903,-21990.345714109422,-21990.34494883496,-21990.344181884568,-21990.34341325529,-21990.342642937176,-21990.34187093084,-21990.341097231634,-21990.340321836025,-21990.339544738337,-21990.33876593634,-21990.33798542314,-21990.33720320064,-21990.336419261766,-21990.335633600458,-21990.334846216374,-21990.33405710722,-21990.333266263944,-21990.332473687922,-21990.33167937492,-21990.33088331928,-21990.33008552077,-21990.329285974673,-21990.328484679372,-21990.3276816278,-21990.326876819152,-21990.32607025169,-21990.325261921003,-21990.324451822307,-21990.323639958468,-21990.32282632165,-21990.32201090759,-21990.321193714677,-21990.320374743736,-21990.31955398954,-21990.318731446856,-21990.317907115867,-21990.317080996865,-21990.316253081586,-21990.31542337102,-21990.314591861385,-21990.313758546297,-21990.312923432648,-21990.312086510712,-21990.311247781727,-21990.310407237288,-21990.30956488213,-21990.30872071169,-21990.307874721337,-21990.30702691096,-21990.306177278027,-21990.305325822505,-21990.30447253943,-21990.3036174257,-21990.302760482697,-21990.30190170549,-21990.301041096354,-21990.3001786455,-21990.299314358625,-21990.298448230034,-21990.297580259525,-21990.296710443065,-21990.295838780912,-21990.294965268764,-21990.294089907067,-21990.29321269506,-21990.292333628648,-21990.291452705213,-21990.290569924044,-21990.28968528481,-21990.288798787333,-21990.28791042575,-21990.287020201144,-21990.28612811066,-21990.285234153896,-21990.28433832636,-21990.283440630355,-21990.28254106446,-21990.281639620785,-21990.28073630749,-21990.279831117008,-21990.278924048696,-21990.278015100965,-21990.27710427447,-21990.27619156299,-21990.275276973454,-21990.27436049868,-21990.27344213698,-21990.27252188964,-21990.27159975254,-21990.27067573108,-21990.269749815918,-21990.26882200927,-21990.267892310567,-21990.266960716835,-21990.266027228416,-21990.265091844773,-21990.2641545642,-21990.263215384253,-21990.262274306777,-21990.261331329442,-21990.26038644441,-21990.259439663383,-21990.258490976754,-21990.25754038489,-21990.25658788746,-21990.255633485165,-21990.254677175253,-21990.25371895448,-21990.25275882963,-21990.251796791315,-21990.25083284578,-21990.249866984752,-21990.24889921341,-21990.247929525896,-21990.24695793011,-21990.245984413974,-21990.245008983315,-21990.244031636747,-21990.243052376136,-21990.24207119437,-21990.241088096194,-21990.240103078144,-21990.239116142056,-21990.238127282282,-21990.237136502757,-21990.23614380395,-21990.23514918089,-21990.234152634785,-21990.23315416604,-21990.23215377448,-21990.23115145612,-21990.230147214985,-21990.22914104546,-21990.22813295462,-21990.227122936383,-21990.226110988,-21990.22509711573,-21990.224081315668,-21990.2230635868,-21990.222043930822,-21990.22102234762,-21990.219998833807,-21990.218973386,-21990.2179460146,-21990.216916709593,-21990.215885477184,-21990.214852312427,-21990.213817219024,-21990.212780193382,-21990.211741235074,-21990.21070034978,-21990.209657530184,-21990.208612777333,-21990.20756609577,-21990.206517478822,-21990.205466930987
