pi,0.3328742186352539,0.33378462437375317,0.3333411569910294
means,"[4.983519307264814, 5.00341444327056]","[9.961735049376287, 9.953077201206009]","[0.028643249813654417, 0.053687200186270316]"
covariances,"[[0.9806234678394438, 0.014948255716024227], [0.014948255716164364, 1.00140961116602]]","[[0.9644832816515614, -0.008623372004663935], [-0.00862337200497896, 1.0109708147055847]]","[[0.9269988629888828, 0.014368712132375285], [0.014368712133212891, 1.0293385282265217]]"
log_likelihoods,-13383.069626283377,-12668.101403233886,-12573.55811425521,-12530.438650077944,-12507.803436872318,-12497.38928964253,-12493.588750412757,-12492.46390073603,-12492.17467535787,-12492.104873250402,-12492.087495147503,-12492.082238230016,-12492.07988390104,-12492.07833917328,-12492.07710189475,-12492.076028158208,-12492.075060563444,-12492.07416712879,-12492.073326384649,-12492.072522871724,-12492.07174517051,-12492.070984773472,-12492.07023530786,-12492.069491964996,-12492.06875108651,-12492.068009863431,-12492.067266105649,-12492.066518081658,-12492.065764390138,-12492.065003869138,-12492.064235533326,-12492.06345851721,-12492.06267204355,-12492.061875393412,-12492.061067884091,-12492.060248856385,-12492.059417660997,-12492.058573649532,-12492.057716166497,-12492.056844552064,-12492.055958120807,-12492.055056175079,-12492.054137999192,-12492.053202843716,-12492.052249943845,-12492.051278491299,-12492.050287666116,-12492.049276603673,-12492.048244412847,-12492.047190162331,-12492.046112888589,-12492.045011587456,-12492.043885213434,-12492.04273268109,-12492.041552863197,-12492.040344583771,-12492.039106618264,-12492.037837699956,-12492.036536500465,-12492.035201647715,-12492.033831703448,-12492.032425178886,-12492.030980518115,-12492.029496109059,-12492.027970265843,-12492.026401236073,-12492.024787194667,-12492.023126239343,-12492.02141639335,-12492.019655589404,-12492.017841683804,-12492.015972432746,-12492.014045505523,-12492.012058464548,-12492.010008774403,-12492.00789378649,-12492.005710747457,-12492.003456775286,-12492.001128861648,-12491.998723874378,-12491.996238535583,-12491.993669430134,-12491.991012980861,-12491.988265457247,-12491.985422954336,-12491.982481390263,-12491.979436496098,-12491.976283802944,-12491.973018632028,-12491.969636082376,-12491.966131016845,-12491.962498051775,-12491.958731538929,-12491.954825545887,-12491.95077385281,-12491.946569911026,-12491.942206841446,-12491.937677407648,-12491.932973989267,-12491.928088555014,-12491.923012635685,-12491.91773730324,-12491.912253115035,-12491.906550100335,-12491.900617704323,-12491.894444756781,-12491.888019406333,-12491.881329092552,-12491.874360467746,-12491.867099337176,-12491.85953059341,-12491.851638139158,-12491.843404794698,-12491.83481220892,-12491.825840748585,-12491.816469389054,-12491.80667557812,-12491.796435084778,-12491.785721848453,-12491.77450779022,-12491.762762605236,-12491.750453543596,-12491.737545144828,-12491.72399893869,-12491.709773133849,-12491.694822227246,-12491.679096578393,-12491.662541940788,-12491.645098886027,-12491.626702185506,-12491.607280067215,-12491.586753385443,-12491.565034629573,-12491.54202682009,-12491.517622165064,-12491.491700545042,-12491.464127685234,-12491.434753053833,-12491.40340732956,-12491.369899419302,-12491.334012888816,-12491.295501681087,-12491.254084948532,-12491.209440785746,-12491.161198589238,-12491.108929659731,-12491.05213560836,-12490.990233891822,-12490.922539708568,-12490.848243068223,-12490.766379566516,-12490.675792755585,-12490.575085187596,-12490.462554099655,-12490.336105834984,-12490.193140579206,-12490.030394934485,-12489.843723623879,-12489.627791706376,-12489.375632634496,-12489.078000597732,-12488.722399800845,-12488.291592128506,-12487.761236696546,-12487.096033541717,-12486.2431863802,-12485.120838698429,-12483.59657976949,-12481.44510192383,-12478.258829701354,-12473.243044844812,-12464.69710879229,-12448.535291557271,-12413.47042928096,-12323.679326365927,-12069.948421893734,-11599.053978348005,-11382.563716312841,-11361.598603714394,-11361.239754078313,-11361.23560145746,-11361.235553943738,-11361.235553402492
