pi,0.3335168143787302,0.33336495715017345,0.33311822847097095
means,"[4.98987685384208, 4.981483505321751]","[10.015946581113253, 10.019192419040813]","[-0.009047276688668315, 0.008045602389772191]"
covariances,"[[1.046682477773981, -0.0170726615319627], [-0.017072661531924514, 0.9844430464491293]]","[[1.0459195940826813, 0.0017793189518341846], [0.0017793189517292763, 1.0004701888937917]]","[[0.9587070747710975, 0.004409290083885673], [0.004409290083608233, 1.0073515767365366]]"
log_likelihoods,-38505.93095789206,-36451.0325031577,-36178.84439023386,-36059.94462354359,-36001.24081241032,-35975.47902235698,-35966.232502458784,-35963.44788552611,-35962.690928584794,-35962.486216671736,-35962.42325649013,-35962.39781033652,-35962.383933906094,-35962.374742615524,-35962.36803287109,-35962.362860105735,-35962.3586997009,-35962.355216180076,-35962.35218244505,-35962.349441504375,-35962.34688384558,-35962.34443258199,-35962.34203336168,-35962.33964739487,-35962.33724664295,-35962.33481048463,-35962.332323407,-35962.32977340949,-35962.327150890684,-35962.324447878396,-35962.321657496315,-35962.3187735805,-35962.31579042527,-35962.31270258927,-35962.30950476369,-35962.30619168241,-35962.30275804927,-35962.29919847912,-35962.29550747498,-35962.2916793793,-35962.287708364056,-35962.28358839133,-35962.27931322307,-35962.27487637686,-35962.27027112487,-35962.26549047798,-35962.26052717155,-35962.25537364303,-35962.25002203098,-35962.24446414781,-35962.2386914722,-35962.23269512448,-35962.226465861655,-35962.21999404674,-35962.213269640306,-35962.206282172425,-35962.19902072514,-35962.19147391758,-35962.18362986785,-35962.17547617686,-35962.166999902234,-35962.158187526984,-35962.14902492899,-35962.13949735578,-35962.129589375414,-35962.11928485486,-35962.10856691278,-35962.09741787662,-35962.08581924336,-35962.073751619544,-35962.06119468364,-35962.04812711694,-35962.03452654576,-35962.02036947851,-35962.005631235406,-35961.990285864915,-35961.97430607009,-35961.9576631004,-35961.940326675794,-35961.92226486716,-35961.90344397828,-35961.88382841783,-35961.86338057659,-35961.84206064981,-35961.819826488056,-35961.7966334119,-35961.772434004,-35961.747177899255,-35961.720811526975,-35961.69327785412,-35961.66451608211,-35961.63446131705,-35961.60304420425,-35961.570190515486,-35961.53582071323,-35961.49984942014,-35961.462184870645,-35961.42272827031,-35961.38137308438,-35961.33800423201,-35961.29249719128,-35961.244716964895,-35961.194516925105,-35961.14173750048,-35961.08620466627,-35961.0277282318,-35960.966099884245,-35960.90109090451,-35960.83244959381,-35960.75989823523,-35960.68312961307,-35960.6018029356,-35960.51553907372,-35960.42391498227,-35960.32645711376,-35960.22263362649,-35960.111845138425,-35959.993413655866,-35959.866569307625,-35959.73043431882,-35959.5840035712,-35959.42612087184,-35959.25544977463,-35959.07043752848,-35958.869270124094,-35958.64981589545,-35958.40955411792,-35958.1454838556,-35957.854006474816,-35957.530772688326,-35957.170481197245,-35956.76661047831,-35956.311056877,-35955.793639337564,-35955.20141112513,-35954.517687005624,-35953.720642304186,-35952.78125326965,-35951.660198267404,-35950.30307336752,-35948.632786508555,-35946.537058788985,-35943.847090281764,-35940.29951231054,-35935.464974397466,-35928.60579278847,-35918.3711326396,-35902.085706248545,-35873.90873002203,-35819.445628957226,-35697.74172850238,-35376.7557094613,-34497.13836391014,-33248.768611636086,-32757.62851886083,-32716.441233287554,-32716.30044181763,-32716.300192488925,-32716.300192033355
