pi,0.33338245769041436,0.3335167703700178,0.33310077193965043
means,"[9.981630570498284, 10.004584742881734]","[4.969401261011379, 4.946894936988828]","[0.01563554674922845, 0.037640735145200305]"
covariances,"[[1.02059178447746, -0.007790666254935493], [-0.007790666254995043, 0.940670730626227]]","[[1.0360959739337536, -0.03173556506671022], [-0.031735565066908666, 1.0153860003467008]]","[[0.9557401143491225, 0.014916070389935985], [0.014916070389618652, 1.0252530560882542]]"
log_likelihoods,-25954.436688960523,-24583.071916431465,-24405.10362988423,-24327.16314317666,-24287.674622917322,-24269.673366954266,-24262.877367369863,-24260.6860681389,-24260.023891511817,-24259.80554110375,-24259.711351026865,-24259.65554466123,-24259.615384248962,-24259.584187843273,-24259.559373690132,-24259.539514039403,-24259.52360273442,-24259.510857016783,-24259.500649438196,-24259.492473641672,-24259.485921013842,-24259.48066242487,-24259.476433332755,-24259.47302155504,-24259.470257225992,-24259.46800458018,-24259.466155264283,-24259.464622899053,-24259.463338693386,-24259.462247890955,-24259.461306924513,-24259.460481130423,-24259.459742915395,-24259.459070295336,-24259.458445722616,-24259.457855166373,-24259.45728736357,-24259.456733237548,-24259.456185432486,-24259.455637933672,-24259.45508578666,-24259.45452485419,-24259.453951644577,-24259.453363143657,-24259.452756726358,-24259.4521300409,-24259.451480948384,-24259.450807458594,-24259.450107689318,-24259.449379822552,-24259.44862207623,-24259.447832681057,-24259.44700985636,-24259.446151799162,-24259.4452566622,-24259.444322548174,-24259.44334749794,-24259.442329477017,-24259.441266371417,-24259.440155975706,-24259.438995988647,-24259.437784005386,-24259.436517505485,-24259.435193852656,-24259.43381028274,-24259.43236389228,-24259.43085164264,-24259.429270334625,-24259.4276166179,-24259.425886973462,-24259.424077694857,-24259.42218489525,-24259.420204487524,-24259.418132170023,-24259.415963422187,-24259.41369348938,-24259.411317361224,-24259.40882977359,-24259.406225180293,-24259.403497729898,-24259.400641276494,-24259.397649328166,-24259.394515048254,-24259.391231225818,-24259.387790256023,-24259.384184107777,-24259.380404311923,-24259.376441919376,-24259.372287470964,-24259.36793098155,-24259.363361882475,-24259.358568995813,-24259.353540495744,-24259.348263854,-24259.342725803195,-24259.33691227898,-24259.330808363185,-24259.324398229346,-24259.317665068913,-24259.31059102636,-24259.303157117698,-24259.2953431498,-24259.287127619536,-24259.27848762477,-24259.269398742115,-24259.259834916527,-24259.24976832171,-24259.23916921713,-24259.22800578901,-24259.216243969324,-24259.203847251236,-24259.190776464566,-24259.176989538748,-24259.162441246757,-24259.147082904834,-24259.13086204976,-24259.113722072794,-24259.095601819663,-24259.076435129078,-24259.056150322194,-24259.03466963992,-24259.01190858694,-24258.98777520142,-24258.962169237406,-24258.93498121835,-24258.906091377834,-24258.875368430916,-24258.842668199162,-24258.807831983668,-24258.77068475216,-24258.731032993353,-24258.688662257995,-24258.64333429515,-24258.594783696262,-24258.542713988943,-24258.4867930145,-24258.4266474859,-24258.36185651716,-24258.29194392239,-24258.216368975103,-24258.134515299018,-24258.04567738618,-24257.94904421169,-24257.8436791301,-24257.728495081392,-24257.602223795875,-24257.46337725498,-24257.31019908468,-24257.14060271063,-24256.952091959967,-24256.741658136514,-24256.50564513082,-24256.2395706593,-24255.937886319218,-24255.59365116483,-24255.198080967963,-24254.739915541868,-24254.204514583507,-24253.57253940463,-24252.817987637787,-24251.905189179837,-24250.784083111394,-24249.38254997677,-24247.593497863003,-24245.252168978754,-24242.094231711937,-24237.673715064757,-24231.190628250883,-24221.096769926233,-24204.095639538187,-24172.262757352815,-24103.460677323583,-23925.956134711705,-23432.59312152613,-22705.882061647124,-22278.11449990094,-22035.264981885663,-22021.433610772005,-22021.3740130854,-22021.373751694853,-22021.37375047803
