pi,0.3328742186352812,0.3337846243735737,0.33334115699069844
means,"[4.983519307263848, 5.003414443270558]","[9.9617350493825, 9.953077201211315]","[0.028643249814119066, 0.05368720018579522]"
covariances,"[[0.9806234678393774, 0.014948255716147522], [0.01494825571617965, 1.001409611166042]]","[[0.9644832816515078, -0.008623372005485238], [-0.008623372005510182, 1.0109708147062677]]","[[0.9269988629898761, 0.014368712132343482], [0.014368712132602292, 1.0293385282282184]]"
log_likelihoods,-13383.06962628513,-12668.101403233395,-12573.558114256524,-12530.438650076636,-12507.803436870987,-12497.389289642859,-12493.588750413002,-12492.463900735587,-12492.174675358998,-12492.104873251355,-12492.087495146841,-12492.082238229861,-12492.079883903567,-12492.078339174397,-12492.077101893894,-12492.076028159134,-12492.075060562207,-12492.07416712644,-12492.073326385958,-12492.072522871453,-12492.071745169276,-12492.070984773927,-12492.070235309215,-12492.069491965185,-12492.068751086932,-12492.068009862363,-12492.06726610467,-12492.066518081676,-12492.065764389512,-12492.06500386937,-12492.064235532864,-12492.06345851691,-12492.06267204394,-12492.061875393412,-12492.061067884608,-12492.060248856233,-12492.059417660892,-12492.058573649463,-12492.05771616939,-12492.056844552482,-12492.055958119894,-12492.05505617635,-12492.05413799931,-12492.05320284453,-12492.052249942324,-12492.051278491695,-12492.05028766683,-12492.049276605181,-12492.04824441409,-12492.04719016381,-12492.046112888962,-12492.045011587634,-12492.043885212479,-12492.042732681024,-12492.041552863335,-12492.040344584311,-12492.039106619019,-12492.037837700442,-12492.036536501037,-12492.03520164698,-12492.033831703371,-12492.032425178244,-12492.030980519152,-12492.02949610836,-12492.027970265048,-12492.026401236108,-12492.02478719374,-12492.023126239223,-12492.021416393367,-12492.019655590126,-12492.017841684094,-12492.01597243435,-12492.01404550393,-12492.012058463135,-12492.010008774321,-12492.00789378762,-12492.005710746234,-12492.00345677388,-12492.001128862035,-12491.998723873181,-12491.996238537336,-12491.993669430409,-12491.99101298018,-12491.988265456377,-12491.985422952986,-12491.98248139103,-12491.979436495549,-12491.976283802258,-12491.973018632418,-12491.969636080797,-12491.966131015486,-12491.962498052026,-12491.958731539502,-12491.954825548459,-12491.95077385258,-12491.946569909229,-12491.942206841175,-12491.93767740918,-12491.932973989187,-12491.928088553654,-12491.923012637375,-12491.917737303029,-12491.912253114519,-12491.906550100372,-12491.900617704552,-12491.894444756093,-12491.888019407026,-12491.881329093529,-12491.87436046849,-12491.867099337134,-12491.859530594787,-12491.851638139116,-12491.843404794334,-12491.83481220785,-12491.825840750353,-12491.816469390846,-12491.80667557902,-12491.796435084168,-12491.785721848875,-12491.774507789127,-12491.762762605316,-12491.75045354417,-12491.737545143898,-12491.723998939708,-12491.709773135059,-12491.694822224974,-12491.679096578067,-12491.662541939953,-12491.645098886513,-12491.626702185706,-12491.607280068583,-12491.586753384147,-12491.565034630097,-12491.542026821462,-12491.517622167195,-12491.491700544968,-12491.464127685927,-12491.434753055659,-12491.403407330066,-12491.369899419657,-12491.334012889598,-12491.295501682298,-12491.254084948898,-12491.209440786704,-12491.16119858887,-12491.108929662721,-12491.052135610566,-12490.990233893084,-12490.922539710686,-12490.848243070204,-12490.766379568859,-12490.675792756141,-12490.575085189641,-12490.462554103951,-12490.336105838747,-12490.193140583066,-12490.030394937354,-12489.843723627775,-12489.627791712483,-12489.375632639953,-12489.078000606318,-12488.722399808832,-12488.2915921378,-12487.761236710743,-12487.096033559888,-12486.243186400598,-12485.120838728662,-12483.596579811207,-12481.445101984296,-12478.258829790853,-12473.243044990671,-12464.697109053504,-12448.53529208139,-12413.470430497655,-12323.679329698514,-12069.948430987384,-11599.053987715648,-11382.56371794092,-11361.598603752696,-11361.239754078677,-11361.23560145693,-11361.235553943996,-11361.23555340389
