pi,0.15573671746882084,0.3556121290386641,0.16666536495773446,0.055629925666470494,0.15541280950962286,0.11094305335870344
means,"[25.096725331831095, 24.955375338778452]","[17.45072890867574, 17.531570700845695]","[-0.006255300186183611, -0.007376404976212039]","[4.908828631529153, 4.216955913497649]","[9.981017363670057, 10.049079625135654]","[5.174071843203825, 5.511313083209645]"
covariances,"[[0.9948761436938737, 0.005227331718955764], [0.005227331718421353, 0.9829340467882692]]","[[9.920658670654834, 8.884893593898038], [8.884893593897928, 9.760463281876678]]","[[0.9947494818775428, 0.02599115059554069], [0.025991150595174362, 0.9324621798648084]]","[[0.6371073993244948, -0.04784823906032171], [-0.04784823905578972, 0.683080413229748]]","[[0.9013981651140297, -0.00030598771923023426], [-0.000305987716770446, 0.9586145123353947]]","[[0.9110428907385271, -0.21675052615243381], [-0.2167505261484647, 0.7637986445673711]]"
log_likelihoods,-10991.990221260232,-10364.060785328184,-10309.972582363811,-10286.683589349092,-10266.628013603899,-10241.41595206538,-10199.044414934697,-10120.457951049799,-10069.535525229783,-10062.137865758024,-10061.24185917167,-10061.008626490584,-10060.893125487193,-10060.810700696893,-10060.739989575488,-10060.673814956917,-10060.609273959433,-10060.544965414663,-10060.480098245713,-10060.414176375625,-10060.346872061647,-10060.277965463785,-10060.207310720973,-10060.134814871293,-10060.060424442026,-10059.984117158554,-10059.90589732342,-10059.8257936421,-10059.743858611248,-10059.660168677485,-10059.574824528154,-10059.487951040299,-10059.3996964833,-10059.310230796735,-10059.219742745798,-10059.128435999644,-10059.036524175846,-10058.944224994208,-10058.851753768204,-10058.759316466894,-10058.667102617062,-10058.575278242704,-10058.48397909963,-10058.39330429108,-10058.303310375542,-10058.214005943306,-10058.125346550927,-10058.037229884478,-10057.949490812554,-10057.861896063305,-10057.77413799712,-10057.685827006946,-10057.596481812418,-10057.505516888321,-10057.412225952297,-10057.315760202177,-10057.215099605934,-10057.109014954127,-10056.996017547299,-10056.874292320792,-10056.741608392298,-10056.595198655272,-10056.431596308927,-10056.246410765045,-10056.03401712019,-10055.787120560482,-10055.496137460621,-10055.148303494758,-10054.72636906424,-10054.206660475083,-10053.556149743908,-10052.727949337808,-10051.65427072353,-10050.235279666269,-10048.32142466234,-10045.686090037554,-10041.986911150649,-10036.725221661389,-10029.25186619566,-10018.943517975225,-10005.668456626943,-9990.324975573634,-9975.013602576373,-9962.610560096944,-9954.94174321424,-9951.129103797977,-9949.2521360757,-9948.148363678796,-9947.347065542013,-9946.667969292266,-9946.039160393231,-9945.432925443802,-9944.841146677449,-9944.264569366682,-9943.707627187465,-9943.175659010129,-9942.673246274564,-9942.203217817689,-9941.76619433245,-9941.360609722195,-9940.983095433869,-9940.629053148743,-9940.293232758584,-9939.970181610375,-9939.654505644274,-9939.340945611737,-9939.024303540913,-9938.699256951415,-9938.360081668907,-9938.000277764757,-9937.612060365896,-9937.185632535773,-9936.708086325429,-9936.161647628734,-9935.520719064554,-9934.74661408868,-9933.777585644388,-9932.508548716076,-9930.74618578717,-9928.098844201242,-9923.671674097277,-9915.103909626378,-9895.290003330723,-9845.388222711943,-9777.236217497048,-9765.847940408737,-9764.106004062138,-9763.263589471548,-9762.774326149316,-9762.460151508858,-9762.225584916914,-9762.015656950654,-9761.797288555128,-9761.54767438807,-9761.246857174048,-9760.872557676528,-9760.39543381347,-9759.77288485539,-9758.93870814901,-9757.783319962318,-9756.112051045804,-9753.548177991875,-9749.281028195535,-9741.328158281092,-9724.195418227571,-9683.345655747977,-9614.361580729521,-9592.463880468527,-9591.595054846257,-9591.419205442133,-9591.34986016824,-9591.314762158867,-9591.29327286544,-9591.277594017394,-9591.264426940834,-9591.25231902969,-9591.240631612061,-9591.229097705365,-9591.217623540515,-9591.206197178788,-9591.194845540107,-9591.183613572672,-9591.172553753478,-9591.161720375601,-9591.15116618158,-9591.14094015305,-9591.131086020592,-9591.121641233682,-9591.112636299124,-9591.104094456336,-9591.096031643301,-9591.088456715004,-9591.081371874096,-9591.074773277456,-9591.06865174032,-9591.06299353767,-9591.057781198764,-9591.052994337608,-9591.048610389429,-9591.044605344092,-9591.040954355534,-9591.037632284715,-9591.03461416934,-9591.031875592038,-9591.02939296943,-9591.027143775662,-9591.025106703053,-9591.023261759583,-9591.021590322656,-9591.020075158845,-9591.018700409266,-9591.017451560718,-9591.016315378663,-9591.01527985268,-9591.014334122492,-9591.013468393498,-9591.012673862302,-9591.011942631965,-9591.011267647407,-9591.010642602057,-9591.0100618834,-9591.009520491585,-9591.009013998037,-9591.00853846294,-9591.008090404972,-9591.007666740428,-9591.007264743286,-9591.006882007041,-9591.006516408044,-9591.006166076419,-9591.00582935803,-9591.005504800674,-9591.005191125421,-9591.004887209276,-9591.004592056524,-9591.004304797427,-9591.00402466919,-9591.003750996751,-9591.003483189359,-9591.003220725663,-9591.002963147497,-9591.002710055109,-9591.002461097243,-9591.00221595986,-9591.001974369656,-9591.001736087153,-9591.00150090208,-9591.001268624706,-9591.001039092009,-9591.000812159054,-9591.000587695973,-9591.0003655914,-9591.000145742042,-9590.999928061068,-9590.999712465322,-9590.999498888845,-9590.999287266253,-9590.999077540799,-9590.998869665007,-9590.99866359049,-9590.998459275454,-9590.998256686951,-9590.998055786613,-9590.997856547518,-9590.997658937658,-9590.997462934032,-9590.997268513061,-9590.997075651685,-9590.996884328517,-9590.996694525053,-9590.996506224817,-9590.996319409922,-9590.996134065015,-9590.995950171571,-9590.995767720142,-9590.995586692541,-9590.99540707633,-9590.995228861033,-9590.995052030436,-9590.994876576238,-9590.994702483657,-9590.994529743397,-9590.994358344891,-9590.99418827373,-9590.994019521919,-9590.993852079151,-9590.993685933632,-9590.993521075197,-9590.993357495785,-9590.993195183652,-9590.993034128405,-9590.992874323503,-9590.992715755481,-9590.992558418613,-9590.992402303049,-9590.99224739703,-9590.992093691957,-9590.991941179818,-9590.991789850452,-9590.991639696666,-9590.991490709768,-9590.991342878722,-9590.991196197478,-9590.991050653884,-9590.990906244022,-9590.990762952237,-9590.990620776165,-9590.990479707678,-9590.990339736854,-9590.99020085294,-9590.990063049823,-9590.989926321034,-9590.989790653974,-9590.989656046393,-9590.989522484379,-9590.989389964385,-9590.989258478205,-9590.989128012767,-9590.988998566121,-9590.988870131601,-9590.988742694459,-9590.988616252025,-9590.988490794714,-9590.988366319876,-9590.988242813017,-9590.988120266862,-9590.98799868346,-9590.987878047596,-9590.987758353755,-9590.987639589885,-9590.98752175782,-9590.987404844109,-9590.98728884378,-9590.987173749838,-9590.987059553458,-9590.986946251995,-9590.986833834448,-9590.98672229551,-9590.986611628403,-9590.98650182664,-9590.98639288162,-9590.986284789808,-9590.986177541698,-9590.98607113271,-9590.985965556984,-9590.985860804649,-9590.985756871853,-9590.985653752914,-9590.985551439448,-9590.985449925884,-9590.985349206889,-9590.985249274912,-9590.985150125209,-9590.985051751006,-9590.98495414664,-9590.984857304262,-9590.984761221522,-9590.984665888078,-9590.98457130307,-9590.984477456444,-9590.984384344114,-9590.984291961304,-9590.984200300789,-9590.984109354515,-9590.984019124233,-9590.983929596374,-9590.983840770648,-9590.983752638927,-9590.983665197224,-9590.983578437903,-9590.98349236021,-9590.983406954105,-9590.98332221453,-9590.983238140003,-9590.983154724454,-9590.98307195929,-9590.982989840555,-9590.982908364109,-9590.982827526688,-9590.982747323444,-9590.982667742905,-9590.982588785282,-9590.982510448066,-9590.982432721532,-9590.982355601682,-9590.982279083217,-9590.98220316631,-9590.982127841216,-9590.982053106232,-9590.981978955622,-9590.98190538103,-9590.981832384961,-9590.981759957143,-9590.98168809533,-9590.98161679497,-9590.981546053015,-9590.981475866021,-9590.981406222856,-9590.981337123774,-9590.981268567244,-9590.981200544453,-9590.981133052013,-9590.981066088667,-9590.980999643443,-9590.980933722447,-9590.980868313538,-9590.980803415501,-9590.980739022616,-9590.980675134773,-9590.980611743784,-9590.98054884668,-9590.980486439687,-9590.980424520898,-9590.980363085348,-9590.98030212758,-9590.980241645697,-9590.98018163551,-9590.980122093104,-9590.98006301398,-9590.98000439424,-9590.979946235144,-9590.979888526366,-9590.9798312659,-9590.979774454274,-9590.979718084025,-9590.979662151958,-9590.979606658355,-9590.97955159382,-9590.979496958542,-9590.979442750206,-9590.97938896194,-9590.979335593009,-9590.97928264019,-9590.979230096527,-9590.979177962323,-9590.979126233313,-9590.979074909528,-9590.97902398199,-9590.978973451387,-9590.978923311955,-9590.978873564094,-9590.97882420062,-9590.978775222824,-9590.978726625444,-9590.978678405778,-9590.978630559219,-9590.97858308387,-9590.978535977853,-9590.978489238292,-9590.9784428588,-9590.978396842407,-9590.978351183872,-9590.97830587603,-9590.978260921454,-9590.978216313888,-9590.978172053456,-9590.978128137323,-9590.978084559796,-9590.978041319046,-9590.977998416085,-9590.977955845585,-9590.977913602714,-9590.977871689147,-9590.977830098063,-9590.977788829796,-9590.977747880408,-9590.977707247639,-9590.977666930572,-9590.977626926751,-9590.977587228845,-9590.977547840925,-9590.977508757018,-9590.977469974825,-9590.977431493717,-9590.977393307568,-9590.977355418854,-9590.97731782254,-9590.97728051636,-9590.97724349871,-9590.977206766678,-9590.977170317426,-9590.977134149922,-9590.977098261419,-9590.977062651138,-9590.9770273149,-9590.976992252321,-9590.976957459783,-9590.97692293259,-9590.976888675132,-9590.976854679799,-9590.97682094937,-9590.976787475482,-9590.976754261075,-9590.976721304396,-9590.976688597531,-9590.976656147184,-9590.976623943016,-9590.97659198757,-9590.976560280444,-9590.976528813511,-9590.976497590666,-9590.9764666093,-9590.976435865141,-9590.976405358433,-9590.976375084192,-9590.976345044917,-9590.976315234662,-9590.976285653409,-9590.976256302154,-9590.97622717355,-9590.976198269338,-9590.976169588983,-9590.976141127589,-9590.976112883702,-9590.976084857875,-9590.976057047385,-9590.976029447997,-9590.976002062556,-9590.975974886107,-9590.97594791907
