pi,0.500201566717011,0.49979843328287693
means,"[5.004774603223313, 5.015159039327209]","[-0.0033027843205733895, 0.0014539838396220562]"
covariances,"[[1.0310333628137727, -0.0013559156630299773], [-0.00135591566316983, 0.9672916593983303]]","[[1.0078394212417658, -0.0074932303738981815], [-0.007493230373908274, 1.0134854976801135]]"
log_likelihoods,-38494.04558823357,-38141.82998978799,-38141.71479078914,-38141.62851207526,-38141.5636018982,-38141.51477589848,-38141.478031394356,-38141.45034351114,-38141.42943351579,-38141.41358954823,-38141.40152861536,-38141.39229100634,-38141.38515992636,-38141.3796006154,-38141.37521443238,-38141.371704352634,-38141.36884910118,-38141.36648381866,-38141.36448564379,-38141.36276296426,-38141.36124742138,-38141.35988795763,-38141.35864640637,-38141.35749419835,-38141.356409921835,-38141.35537750318,-38141.35438486402,-38141.3534229037,-38141.35248476222,-38141.35156525237,-38141.350660446355,-38141.34976736182,-38141.34888373034,-38141.348007817825,-38141.34713830176,-38141.34627416696,-38141.34541462739,-38141.34455907868,-38141.343707044936,-38141.34285816063,-38141.342012135065,-38141.34116873481,-38141.340327779646,-38141.33948911717,-38141.33865262452,-38141.33781820536,-38141.33698577244,-38141.336155251694,-38141.335326581626,-38141.33449970734,-38141.333674578884,-38141.332851153005,-38141.332029385885,-38141.33120924047,-38141.33039068172,-38141.32957367074,-38141.32875818019,-38141.327944173776,-38141.327131622485,-38141.326320491884,-38141.325510756826,-38141.32470238592,-38141.32389534994,-38141.323089618636,-38141.32228516572,-38141.321481958235,-38141.32067997378,-38141.319879180606,-38141.31907955009,-38141.31828105451,-38141.31748366811,-38141.31668736299,-38141.315892107865,-38141.31509787838,-38141.31430464358,-38141.313512377965,-38141.31272105182,-38141.311930643176,-38141.311141117745,-38141.310352450215,-38141.30956461395,-38141.30877757933,-38141.307991319525,-38141.3072058066,-38141.30642101378,-38141.30563691283,-38141.304853476344,-38141.304070674945,-38141.30328848032,-38141.302506867316,-38141.30172580528,-38141.30094526891,-38141.30016522811,-38141.299385654915,-38141.298606521144,-38141.29782779781,-38141.29704945846,-38141.296271472616,-38141.295493812824,-38141.29471645028,-38141.29393935594,-38141.29316249989,-38141.292385853594,-38141.29160939021,-38141.290833076935,-38141.29005688752,-38141.289280790326,-38141.28850475678,-38141.287728756455,-38141.28695275593,-38141.286176732094,-38141.28540064797,-38141.28462447771,-38141.2838481893,-38141.28307174856,-38141.282295128905,-38141.281518296055,-38141.28074121963,-38141.279963867615,-38141.279186209715,-38141.27840821139,-38141.27762984048,-38141.27685106411,-38141.27607184989,-38141.27529216437,-38141.2745119747,-38141.27373124581,-38141.272949942766,-38141.27216803511,-38141.27138548419,-38141.270602256656,-38141.26981831465,-38141.269033626515,-38141.26824815366,-38141.2674618611,-38141.26667470944,-38141.26588666275,-38141.265097684816,-38141.264307734855,-38141.26351677968,-38141.262724773514,-38141.261931682726,-38141.26113746212,-38141.26034207854,-38141.25954548527,-38141.25874764393,-38141.25794851242,-38141.257148049044,-38141.25634621334,-38141.25554295734,-38141.25473823875,-38141.25393201544,-38141.253124240466,-38141.25231486818,-38141.25150385554,-38141.25069115168,-38141.24987671469,-38141.24906048954,-38141.248242434456,-38141.24742249361,-38141.24660062243,-38141.24577676714,-38141.244950878325,-38141.24412289989,-38141.2432927839,-38141.242460472175,-38141.24162591199,-38141.24078904971,-38141.239949824754,-38141.239108181886,-38141.23826406294,-38141.237417408636,-38141.236568158114,-38141.23571625235,-38141.23486162916,-38141.23400422167,-38141.233143970734,-38141.232280806726,-38141.231414665664,-38141.230545479586,-38141.22967318121,-38141.228797698815,-38141.22791896138,-38141.227036898636,-38141.22615143318,-38141.22526249207,-38141.22436999995,-38141.223473877944,-38141.22257404712,-38141.22167042601,-38141.22076293389,-38141.21985148483,-38141.218935996585,-38141.21801637942,-38141.217092546685,-38141.21616440561,-38141.21523186543,-38141.21429483415,-38141.213353211446,-38141.21240690461,-38141.2114558086,-38141.21049982695,-38141.20953884997,-38141.2085727758,-38141.20760149644,-38141.206624899394,-38141.2056428735,-38141.20465530173,-38141.20366206963,-38141.202663053504,-38141.20165813253,-38141.20064717879,-38141.199630069765,-38141.19860666681,-38141.19757684478,-38141.196540459016,-38141.195497374734,-38141.1944474437,-38141.193390522174,-38141.19232646486,-38141.19125511107,-38141.1901763106,-38141.18908989772,-38141.18799570891,-38141.18689358162,-38141.185783338915,-38141.18466480272,-38141.183537798635,-38141.182402137936,-38141.181257630626,-38141.18010408513,-38141.1789413036,-38141.17776907864,-38141.176587202885,-38141.175395463644,-38141.17419363959,-38141.17298150556,-38141.171758831944,-38141.17052538267,-38141.16928091131,-38141.1680251719,-38141.166757904066,-38141.16547884973,-38141.16418773902,-38141.16288429006,-38141.16156822074,-38141.16023924133,-38141.15889704593,-38141.157541330685,-38141.156171774084,-38141.1547880548,-38141.15338983101,-38141.1519767653,-38141.15054849548,-38141.14910466311,-38141.147644887955,-38141.14616878468,-38141.14467595458,-38141.14316599005,-38141.14163846588,-38141.140092952344,-38141.13852899726,-38141.136946140665,-38141.13534390723,-38141.13372180879,-38141.13207933392,-38141.13041596779,-38141.128731169294,-38141.12702438522,-38141.12529504022,-38141.123542546055,-38141.12176629274,-38141.119965648795,-38141.11813996083,-38141.11628856001,-38141.11441074846,-38141.11250580968,-38141.11057299963,-38141.10861154759,-38141.106620661994,-38141.10459951611,-38141.10254726091,-38141.10046301281,-38141.098345858816,-38141.09619485307,-38141.0940090148,-38141.0917873261,-38141.0895287353,-38141.08723214515,-38141.08489642787,-38141.08252040004,-38141.080102841246,-38141.07764248536,-38141.07513800966,-38141.07258804656,-38141.06999117263,-38141.067345905794,-38141.064650703825,-38141.06190396526,-38141.05910402168,-38141.056249134956,-38141.05333749547,-38141.050367215685,-38141.0473363285,-38141.044242782875,-38141.04108444032,-38141.03785906528,-38141.03456432371,-38141.03119777947,-38141.02775688836,-38141.02423898453,-38141.020641282055,-38141.016960868394,-38141.01319469334,-38141.00933955488,-38141.00539210578,-38141.00134883296,-38140.99720605194,-38140.99295989156,-38140.988606294675,-38140.984140993845,-38140.97955950035,-38140.97485709862,-38140.97002881859,-38140.9650694336,-38140.95997343291,-38140.954735006795,-38140.94934802687,-38140.94380602318,-38140.938102162865,-38140.932229219536,-38140.92617955208,-38140.919945074915,-38140.91351721921,-38140.90688690317,-38140.90004449464,-38140.89297976519,-38140.885681847845,-38140.87813918875,-38140.870339492816,-38140.862269662364,-38140.85391573718,-38140.84526281811,-38140.83629499659,-38140.82699526485,-38140.81734542566,-38140.80732598439,-38140.79691604404,-38140.78609317016,-38140.774833259784,-38140.7631103828,-38140.75089661329,-38140.7381618445,-38140.72487356521,-38140.71099664206,-38140.69649303876,-38140.68132153444,-38140.66543739064,-38140.64879197777,-38140.631332357574,-38140.61300081938,-38140.59373433592,-38140.57346397418,-38140.55211419411,-38140.529602090166,-38140.50583647049,-38140.4807168747,-38140.45413237445,-38140.42596024559,-38140.39606441406,-38140.364293649945,-38140.330479507174,-38140.294433855124,-38140.255946086894,-38140.21477974852,-38140.170668644656,-38140.12331218468,-38140.072369897396,-38140.01745486268,-38139.95812585397,-38139.893877894945,-38139.82413082985,-38139.748215418804,-38139.665356364916,-38139.57465140933,-38139.47504548731,-38139.36529851641,-38139.243944988375,-38139.109242893406,-38138.95910862195,-38138.79103333295,-38138.60197442247,-38138.38821339519,-38138.14516767862,-38137.86713858572,-38137.54696955435,-38137.1755764222,-38136.74129223394,-38136.228938489534,-38135.618485139865,-38134.88307898419,-38133.9860792616,-38132.876491386574,-38131.48173987721,-38129.69587438561,-38127.35964091713,-38124.225436202825,-38119.892766959776,-38113.682808160935,-38104.378582985344,-38089.64440262442,-38064.604581223415,-38017.95825649821,-37919.87625789631,-37678.69571950032,-36977.24425721692,-34980.526886852866,-32727.58532673756,-32524.36761590825,-32523.923589149847,-32523.92316896686,-32523.923168448
