pi,0.3335168143787601,0.33336495715016945,0.3331182284710646
means,"[4.989876853841538, 4.981483505321307]","[10.015946581113266, 10.019192419040332]","[-0.009047276688818556, 0.008045602389907895]"
covariances,"[[1.0466824777741015, -0.0170726615320797], [-0.017072661532082305, 0.9844430464489374]]","[[1.0459195940825659, 0.001779318951909134], [0.00177931895184332, 1.000470188893694]]","[[0.9587070747707725, 0.004409290083610222], [0.004409290083678484, 1.007351576735919]]"
log_likelihoods,-38505.93095789201,-36451.03250315694,-36178.844390235,-36059.944623543284,-36001.240812410484,-35975.47902235508,-35966.232502460836,-35963.4478855264,-35962.69092858516,-35962.486216671794,-35962.42325649037,-35962.3978103354,-35962.383933906254,-35962.37474261512,-35962.36803287088,-35962.36286010567,-35962.35869970183,-35962.355216178985,-35962.352182444316,-35962.34944150543,-35962.346883844904,-35962.34443258238,-35962.342033362205,-35962.339647395704,-35962.337246642775,-35962.33481048441,-35962.332323406736,-35962.32977340993,-35962.32715088934,-35962.324447878455,-35962.321657496184,-35962.31877358143,-35962.31579042635,-35962.31270258942,-35962.30950476417,-35962.306191683645,-35962.30275804936,-35962.29919847994,-35962.295507475836,-35962.29167937995,-35962.28770836195,-35962.28358839212,-35962.27931322281,-35962.274876375835,-35962.270271124464,-35962.265490478705,-35962.26052717194,-35962.25537364409,-35962.25002203135,-35962.24446414838,-35962.238691471735,-35962.232695125116,-35962.226465861895,-35962.21999404662,-35962.2132696395,-35962.20628217082,-35962.19902072617,-35962.19147391785,-35962.18362986759,-35962.17547617607,-35962.16699990124,-35962.1581875267,-35962.149024930564,-35962.139497355936,-35962.12958937544,-35962.11928485572,-35962.10856691358,-35962.09741787746,-35962.08581924304,-35962.07375162018,-35962.06119468408,-35962.048127116934,-35962.03452654466,-35962.0203694786,-35962.00563123598,-35961.99028586621,-35961.97430606849,-35961.957663099754,-35961.94032667661,-35961.92226486708,-35961.903443977484,-35961.88382842034,-35961.86338057727,-35961.842060649724,-35961.819826488434,-35961.796633411795,-35961.77243400443,-35961.74717789891,-35961.72081152642,-35961.693277854996,-35961.664516082936,-35961.63446131711,-35961.60304420254,-35961.57019051622,-35961.53582071314,-35961.49984941994,-35961.46218486978,-35961.42272827009,-35961.3813730834,-35961.33800423231,-35961.29249719159,-35961.24471696502,-35961.194516924945,-35961.14173750044,-35961.0862046665,-35961.02772823429,-35960.96609988367,-35960.901090905565,-35960.83244959407,-35960.75989823552,-35960.6831296132,-35960.601802934594,-35960.51553907396,-35960.42391498314,-35960.326457112635,-35960.222633626465,-35960.11184513891,-35959.99341365631,-35959.86656930715,-35959.73043431797,-35959.58400357155,-35959.42612087078,-35959.25544977488,-35959.07043752799,-35958.86927012479,-35958.64981589641,-35958.40955411787,-35958.14548385394,-35957.854006473965,-35957.53077268867,-35957.17048119705,-35956.76661047784,-35956.31105687642,-35955.79363933623,-35955.201411124974,-35954.51768700445,-35953.72064230499,-35952.78125326827,-35951.660198268204,-35950.30307336657,-35948.63278650808,-35946.53705878835,-35943.84709028022,-35940.29951230949,-35935.46497439668,-35928.605792786606,-35918.371132637,-35902.085706242986,-35873.90873001586,-35819.44562893878,-35697.741728457404,-35376.755709336576,-34497.13836360036,-33248.76861143476,-32757.628518820253,-32716.441233287973,-32716.300441817555,-32716.300192487157,-32716.300192032366
