pi,0.5002015667171105,0.499798433282941
means,"[5.004774603222848, 5.015159039326665]","[-0.003302784320412244, 0.0014539838396316965]"
covariances,"[[1.0310333628135215, -0.0013559156629632783], [-0.0013559156630438877, 0.9672916593983167]]","[[1.0078394212415471, -0.007493230373730449], [-0.007493230373784497, 1.0134854976798988]]"
log_likelihoods,-38494.045588231806,-38141.829989787155,-38141.714790788625,-38141.628512075535,-38141.56360189754,-38141.51477589807,-38141.478031394654,-38141.45034350963,-38141.42943351684,-38141.41358954902,-38141.401528614726,-38141.39229100717,-38141.38515992661,-38141.37960061434,-38141.37521443319,-38141.37170435263,-38141.36884910092,-38141.36648381804,-38141.36448564413,-38141.36276296262,-38141.36124741992,-38141.35988795657,-38141.358646407454,-38141.357494199896,-38141.35640992166,-38141.35537750443,-38141.35438486404,-38141.35342290346,-38141.35248476252,-38141.35156525155,-38141.3506604471,-38141.34976736084,-38141.34888372736,-38141.34800781645,-38141.34713830323,-38141.34627416656,-38141.34541462795,-38141.344559077086,-38141.34370704489,-38141.34285816036,-38141.34201213388,-38141.34116873495,-38141.34032777853,-38141.33948911659,-38141.338652624756,-38141.337818205946,-38141.33698577192,-38141.3361552516,-38141.335326581546,-38141.33449970768,-38141.333674579015,-38141.332851153056,-38141.332029386715,-38141.331209241565,-38141.3303906803,-38141.329573670984,-38141.328758179305,-38141.327944172095,-38141.327131621816,-38141.32632049242,-38141.3255107571,-38141.3247023859,-38141.323895349924,-38141.32308961929,-38141.3222851645,-38141.32148195845,-38141.320679974655,-38141.31987918059,-38141.319079549736,-38141.318281054904,-38141.317483669016,-38141.31668736208,-38141.315892108556,-38141.315097876504,-38141.31430464329,-38141.31351237802,-38141.3127210537,-38141.31193064319,-38141.311141117396,-38141.310352450615,-38141.30956461276,-38141.308777578415,-38141.307991319896,-38141.3072058073,-38141.30642101413,-38141.30563691386,-38141.30485347553,-38141.30407067487,-38141.30328847996,-38141.302506867665,-38141.3017258054,-38141.300945268995,-38141.300165227905,-38141.29938565416,-38141.29860652064,-38141.29782779882,-38141.29704945852,-38141.296271473184,-38141.29549381227,-38141.29471644979,-38141.293939354364,-38141.293162499394,-38141.29238585399,-38141.29160939043,-38141.29083307825,-38141.290056887716,-38141.28928079079,-38141.28850475611,-38141.28772875527,-38141.28695275559,-38141.2861767309,-38141.285400647925,-38141.28462447669,-38141.283848188024,-38141.28307174886,-38141.28229512897,-38141.281518296906,-38141.28074121936,-38141.27996387021,-38141.27918620987,-38141.278408211314,-38141.27762983934,-38141.27685106409,-38141.27607184999,-38141.27529216566,-38141.274511975345,-38141.27373124502,-38141.27294994347,-38141.27216803557,-38141.27138548421,-38141.270602256394,-38141.26981831555,-38141.26903362781,-38141.26824815374,-38141.26746186068,-38141.26667470913,-38141.26588666252,-38141.26509768551,-38141.264307735684,-38141.263516778476,-38141.262724774424,-38141.261931681736,-38141.261137464135,-38141.26034207799,-38141.25954548453,-38141.25874764424,-38141.257948513914,-38141.25714805034,-38141.25634621231,-38141.255542957275,-38141.25473823896,-38141.2539320152,-38141.25312423988,-38141.25231486932,-38141.25150385564,-38141.25069115246,-38141.24987671414,-38141.249060489776,-38141.248242433554,-38141.24742249463,-38141.24660062272,-38141.24577676882,-38141.24495087867,-38141.244122902,-38141.24329278382,-38141.242460473266,-38141.24162591369,-38141.24078904949,-38141.23994982456,-38141.23910818263,-38141.23826406255,-38141.23741740841,-38141.23656815848,-38141.23571625253,-38141.23486162844,-38141.23400422216,-38141.23314396938,-38141.23228080623,-38141.231414664384,-38141.230545480335,-38141.2296731819,-38141.22879769848,-38141.22791896132,-38141.227036896875,-38141.226151433,-38141.22526249113,-38141.224369999385,-38141.22347387831,-38141.22257404644,-38141.22167042584,-38141.220762933764,-38141.21985148623,-38141.21893599645,-38141.21801637898,-38141.217092545936,-38141.21616440523,-38141.2152318665,-38141.214294833146,-38141.21335321192,-38141.21240690314,-38141.21145580931,-38141.21049982618,-38141.209538851166,-38141.20857277738,-38141.20760149737,-38141.20662489976,-38141.205642874134,-38141.20465530173,-38141.20366206995,-38141.20266305409,-38141.201658132224,-38141.20064718052,-38141.19963006926,-38141.198606668266,-38141.19757684434,-38141.196540457466,-38141.19549737372,-38141.19444744281,-38141.19339052372,-38141.19232646335,-38141.191255110956,-38141.190176308985,-38141.18908989787,-38141.18799570967,-38141.18689358128,-38141.18578333769,-38141.18466480283,-38141.18353779765,-38141.18240213764,-38141.18125763071,-38141.1801040862,-38141.17894130251,-38141.177769078524,-38141.176587203,-38141.175395461774,-38141.17419363921,-38141.172981506,-38141.17175883293,-38141.17052538263,-38141.169280911345,-38141.16802517181,-38141.16675790625,-38141.16547885154,-38141.16418773841,-38141.162884290505,-38141.16156822091,-38141.16023924019,-38141.158897046465,-38141.15754133015,-38141.15617177462,-38141.15478805353,-38141.15338983191,-38141.15197676411,-38141.15054849654,-38141.14910466329,-38141.14764488746,-38141.14616878329,-38141.144675954514,-38141.1431659903,-38141.14163846577,-38141.14009295243,-38141.138528998184,-38141.136946141036,-38141.13534390761,-38141.13372180727,-38141.13207933345,-38141.13041596744,-38141.12873116918,-38141.12702438449,-38141.125295041245,-38141.123542546346,-38141.12176629243,-38141.11996564756,-38141.11813996134,-38141.116288559715,-38141.11441074855,-38141.11250580958,-38141.11057299843,-38141.10861154894,-38141.10662066209,-38141.10459951632,-38141.10254725983,-38141.10046301288,-38141.098345859245,-38141.09619485315,-38141.09400901433,-38141.09178732503,-38141.089528735196,-38141.08723214671,-38141.08489642717,-38141.08252040056,-38141.08010284296,-38141.07764248539,-38141.075138009364,-38141.07258804717,-38141.06999117211,-38141.06734590404,-38141.06465070366,-38141.06190396641,-38141.0591040227,-38141.056249135654,-38141.0533374962,-38141.05036721555,-38141.04733632855,-38141.044242783,-38141.04108444027,-38141.03785906365,-38141.03456432336,-38141.03119777956,-38141.02775688801,-38141.024238983286,-38141.020641282834,-38141.01696086865,-38141.013194693216,-38141.00933955501,-38141.00539210508,-38141.001348832804,-38140.99720605146,-38140.992959892246,-38140.98860629675,-38140.98414099333,-38140.97955950191,-38140.97485709726,-38140.97002881755,-38140.96506943336,-38140.95997343262,-38140.954735006606,-38140.94934802731,-38140.943806024574,-38140.93810216264,-38140.93222921918,-38140.92617955197,-38140.91994507624,-38140.91351721872,-38140.906886903,-38140.900044495385,-38140.892979764605,-38140.88568184714,-38140.87813918869,-38140.870339492045,-38140.862269663165,-38140.85391573589,-38140.84526281769,-38140.836294995344,-38140.82699526466,-38140.81734542444,-38140.807325983784,-38140.79691604301,-38140.786093169445,-38140.77483325838,-38140.76311038261,-38140.75089661368,-38140.73816184343,-38140.72487356592,-38140.71099664133,-38140.696493038246,-38140.68132153458,-38140.66543739035,-38140.648791977226,-38140.63133235939,-38140.61300081898,-38140.59373433672,-38140.57346397376,-38140.552114195496,-38140.52960208888,-38140.505836470904,-38140.48071687583,-38140.45413237421,-38140.42596024646,-38140.39606441329,-38140.364293651604,-38140.33047950518,-38140.294433855684,-38140.25594608678,-38140.214779749134,-38140.170668642735,-38140.12331218479,-38140.07236989765,-38140.017454862485,-38139.958125853096,-38139.89387789498,-38139.824130829504,-38139.74821541926,-38139.665356364974,-38139.57465140944,-38139.47504548634,-38139.36529851609,-38139.24394498934,-38139.10924289105,-38138.95910862267,-38138.79103333258,-38138.60197442067,-38138.38821339442,-38138.1451676779,-38137.86713858581,-38137.54696955325,-38137.17557642242,-38136.741292232466,-38136.228938489214,-38135.61848513926,-38134.88307898314,-38133.98607925974,-38132.87649138353,-38131.48173987616,-38129.69587438196,-38127.359640913615,-38124.22543619608,-38119.89276695211,-38113.68280814606,-38104.37858296342,-38089.64440258987,-38064.60458116365,-38017.95825638015,-37919.87625763363,-37678.69571879952,-36977.244255071135,-34980.52688169222,-32727.585325153246,-32524.367615900715,-32523.9235891499,-32523.92316896774,-32523.923168446498
