pi,0.4768824479329796,0.20557874728338443,0.3175388047834973
means,"[7.257853715960569, 7.28216220074837]","[7.508569377219009, 7.371323413554963]","[-0.0286088367482298, 0.009480329628271982]"
covariances,"[[7.25560351747713, 7.080671083850623], [7.080671083850598, 8.980363009457736]]","[[10.208616525204357, 7.029565504564517], [7.029565504563669, 5.933013096762383]]","[[0.8903503715368316, -0.03983741444105674], [-0.039837414440641684, 0.9252233746644407]]"
log_likelihoods,-16681.532640735957,-15791.551538373498,-15673.349485170125,-15619.769301363121,-15592.493590528826,-15580.487048081188,-15576.246193774568,-15574.9730191823,-15574.592504560778,-15574.447523633913,-15574.365924700362,-15574.306223137992,-15574.258065933198,-15574.21815861173,-15574.184852920998,-15574.156969773005,-15574.133542628506,-15574.113754994494,-15574.096917347813,-15574.082451509976,-15574.069876478836,-15574.058795016352,-15574.048881124541,-15574.039868704389,-15574.031541485077,-15574.023724261333,-15574.01627541378,-15574.009080574831,-15574.002047378604,-15573.995101089997,-15573.988181035886,-15573.981237706928,-15573.97423041233,-15573.967125384796,-15573.959894273066,-15573.952512919099,-15573.944960415203,-15573.93721832832,-15573.929270093184,-15573.921100541453,-15573.912695511637,-15573.904041569473,-15573.895125757768,-15573.88593542311,-15573.876458068811,-15573.866681249887,-15573.856592486503,-15573.846179202937,-15573.835428677705,-15573.824328032239,-15573.812864186708,-15573.801023885939,-15573.788793676007,-15573.776159940397,-15573.76310890624,-15573.749626694727,-15573.735699343317,-15573.721312864469,-15573.706453312358,-15573.691106829408,-15573.675259745332,-15573.658898646732,-15573.642010482868,-15573.624582663768,-15573.606603183676,-15573.588060734994,-15573.56894485069,-15573.549246042385,-15573.528955948392,-15573.508067491886,-15573.486575047711,-15573.46447459109,-15573.441763889878,-15573.418442649845,-15573.394512697132,-15573.369978118382,-15573.344845431118,-15573.319123709312,-15573.292824715081,-15573.265963002123,-15573.238556002198,-15573.21062408714,-15573.182190596248,-15573.153281850817,-15573.123927109864,-15573.094158521875,-15573.06401102611,-15573.03352221066,-15573.002732162611,-15572.971683254906,-15572.940419934648,-15572.908988451489,-15572.87743658566,-15572.845813348158,-15572.814168656418,-15572.78255301441,-15572.751017168848,-15572.719611777226,-15572.688387074757,-15572.657392543537,-15572.626676593609,-15572.596286266169,-15572.566266947515,-15572.536662107323,-15572.507513056164,-15572.478858728504,-15572.450735494276,-15572.423177002034,-15572.396214023789,-15572.369874374897,-15572.344182809225,-15572.319160982015,-15572.294827406524,-15572.271197473427,-15572.248283458266,-15572.226094586214,-15572.20463708767,-15572.183914289615,-15572.163926744835,-15572.144672339875,-15572.126146441162,-15572.108342063377,-15572.091250019308,-15572.074859100705,-15572.059156264828,-15572.044126806975,-15572.029754555842,-15572.016022048343,-15572.002910722447,-15571.990401097064,-15571.978472926046,-15571.967105388343,-15571.95627722699,-15571.945966907664,-15571.936152745971,-15571.92681304283,-15571.91792619759,-15571.909470815091,-15571.901425795008,-15571.893770424453,-15571.886484437102,-15571.879548084848,-15571.872942190186,-15571.86664818251,-15571.860648144435,-15571.854924822055,-15571.849461658132,-15571.844242803032,-15571.839253108192,-15571.834478145647,-15571.829904187996,-15571.82551821263,-15571.82130787973,-15571.817261522954,-15571.81336813256,-15571.80961733733,-15571.805999373217,-15571.802505073978,-15571.79912583829,-15571.795853612153,-15571.792680859297,-15571.789600535858,-15571.786606074998,-15571.78369134181,-15571.780850640525,-15571.778078657728,-15571.775370463623,-15571.77272148159,-15571.770127459153,-15571.76758445872,-15571.765088835627,-15571.762637212105,-15571.760226466291,-15571.757853717098,-15571.755516292877,-15571.753211743482,-15571.75093779203,-15571.748692350506,-15571.746473493167,-15571.744279439594,-15571.742108557712,-15571.739959343628,-15571.737830412585,-15571.735720495826,-15571.733628416241,-15571.731553101617,-15571.72949356823,-15571.727448905578,-15571.72541828069,-15571.723400927902,-15571.721396144,-15571.719403289515,-15571.717421767424,-15571.715451036634,-15571.713490598537,-15571.711539995515,-15571.709598805286,-15571.707666646167,-15571.705743164544,-15571.70382803346,-15571.701920954958,-15571.700021652765,-15571.698129877193,-15571.696245395766,-15571.694367997821,-15571.692497482663,-15571.690633672253,-15571.688776399638,-15571.686925511385,-15571.68508086462,-15571.683242331846,-15571.681409788716,-15571.679583123583,-15571.677762235411,-15571.675947023596,-15571.674137404574,-15571.672333291659,-15571.67053460763,-15571.668741280715,-15571.666953243313,-15571.665170432057,-15571.663392791621,-15571.661620258777,-15571.659852789591,-15571.658090329442,-15571.65633283185,-15571.654580257957,-15571.652832559754,-15571.651089701154,-15571.649351643313,-15571.647618351013,-15571.645889788791,-15571.644165923892,-15571.64244672532,-15571.640732161606,-15571.639022202273,-15571.637316821314,-15571.635615990028,-15571.633919682605,-15571.63222787047,-15571.630540530816,-15571.628857639618,-15571.62717916895,-15571.6255050988,-15571.623835406801,-15571.62217006709,-15571.620509061826,-15571.618852364161,-15571.617199958077,-15571.615551818362,-15571.613907926658,-15571.612268261613,-15571.610632804677,-15571.609001533621,-15571.607374431536,-15571.605751475789,-15571.604132648898,-15571.602517931055,-15571.600907306078,-15571.599300752398,-15571.59769825268,-15571.596099789756,-15571.594505344297,-15571.592914896888,-15571.591328433244,-15571.589745934707,-15571.588167378748,-15571.58659275654,-15571.585022043342,-15571.58345522684,-15571.581892288275,-15571.580333211177,-15571.578777977778,-15571.577226574187,-15571.57567898044,-15571.574135184168,-15571.572595164536,-15571.571058910558,-15571.569526400255,-15571.567997621918,-15571.56647256143,-15571.564951199349,-15571.563433521498,-15571.561919514577,-15571.560409159763,-15571.558902443216,-15571.55739935152,-15571.555899868532,-15571.554403979324,-15571.552911671875,-15571.551422928304,-15571.549937735132,-15571.548456078768,-15571.546977945145,-15571.545503321331,-15571.54403218999,-15571.542564540481,-15571.541100358078,-15571.539639628085,-15571.538182341843,-15571.53672848051,-15571.535278031934,-15571.533830987502,-15571.532387328367,-15571.53094704643,-15571.529510127493,-15571.528076558616,-15571.526646326376,-15571.525219419733,-15571.523795828176,-15571.522375536933,-15571.520958535817,-15571.519544811286,-15571.51813435356,-15571.51672715047,-15571.515323190199,-15571.51392246304,-15571.512524954163,-15571.511130656343,-15571.50973955596,-15571.508351645061,-15571.506966910802,-15571.505585341296,-15571.504206928435,-15571.502831662357,-15571.501459531428,-15571.500090524572,-15571.498724633546,-15571.497361847756,-15571.496002156826,-15571.49464555324,-15571.493292025927,-15571.49194156544,-15571.49059415987,-15571.489249805085,-15571.487908487074,-15571.48657020125,-15571.485234933922,-15571.48390268128,-15571.482573430203,-15571.481247175427,-15571.47992390554,-15571.478603614547,-15571.477286293906,-15571.475971932745,-15571.474660524584,-15571.473352062267,-15571.472046538864,-15571.470743941249,-15571.469444269065,-15571.468147508007,-15571.466853653072,-15571.465562698158,-15571.464274635724,-15571.462989455358,-15571.461707153332,-15571.46042771993,-15571.459151152296,-15571.457877439074,-15571.456606572247,-15571.455338550551,-15571.454073362596,-15571.452811004092,-15571.451551468514,-15571.450294747712,-15571.44904083644,-15571.447789728263,-15571.446541417445,-15571.445295896912,-15571.444053162078,-15571.44281320426,-15571.441576019111,-15571.440341599711,-15571.439109941937,-15571.437881040147,-15571.436654887006,-15571.435431476886,-15571.434210805644,-15571.432992867092,-15571.431777655616,-15571.430565164344,-15571.429355393626,-15571.428148331895,-15571.42694397685,-15571.425742321382,-15571.424543362795,-15571.423347096337,-15571.422153513631,-15571.420962609795,-15571.419774387294,-15571.41858883364,-15571.417405946082,-15571.41622572059,-15571.415048152205,-15571.413873236865,-15571.412700968347,-15571.411531344645,-15571.41036435905,-15571.409200007598,-15571.40803828425,-15571.40687919045,-15571.405722717987,-15571.404568858845,-15571.403417615595,-15571.402268980584,-15571.401122951396,-15571.399979520767,-15571.398838686591,-15571.397700445199,-15571.39656479174,-15571.395431724213,-15571.39430123472,-15571.393173324495,-15571.392047986003,-15571.390925215075,-15571.389805010223,-15571.388687365707,-15571.387572278974,-15571.386459745745,-15571.385349764323,-15571.384242326829,-15571.383137431842,-15571.38203507864,-15571.380935258388,-15571.379837970922,-15571.378743213736,-15571.37765097867,-15571.376561266163,-15571.375474072116,-15571.374389390825,-15571.373307220449,-15571.372227561027,-15571.371150402592,-15571.370075746998,-15571.36900358665,-15571.367933921758,-15571.366866747341,-15571.365802060178,-15571.364739859182,-15571.363680136092,-15571.362622892017,-15571.361568123513,-15571.360515823599,-15571.359465993623,-15571.35841862662,-15571.357373724084,-15571.356331277148,-15571.355291286938,-15571.354253748277,-15571.353218656554,-15571.35218601228,-15571.351155811813,-15571.35012805001,-15571.349102724813,-15571.348079831836,-15571.347059371183,-15571.34604133508,-15571.345025726863,-15571.344012535692,-15571.343001762747,-15571.341993408018,-15571.340987459887,-15571.339983923244,-15571.3389827914,-15571.33798406485,-15571.336987736093,-15571.33599380281,-15571.335002267051,-15571.334013116804,-15571.333026357386,-15571.332041981997,-15571.331059986753,-15571.33008037199,-15571.329103130945,-15571.328128261322,-15571.327155764231,-15571.326185632997,-15571.325217865195,-15571.324252457332,-15571.323289406508,-15571.322328711049,-15571.321370365182,-15571.320414370997,-15571.319460720671,-15571.318509411722,-15571.317560441643,-15571.31661381093,-15571.315669513077,-15571.31472754568,-15571.313787905623,-15571.312850588314,-15571.31191559512,-15571.310982918196,-15571.310052557283,-15571.309124509266,-15571.308198770512,-15571.307275338384,-15571.306354209615,-15571.305435379554,-15571.304518848447,-15571.303604611709,-15571.302692664336,-15571.301783007817,-15571.300875634148,-15571.299970544498,-15571.299067733682,-15571.298167196786,-15571.297268933624,-15571.29637294228,-15571.295479214517,-15571.29458775115,-15571.293698549334,-15571.292811607405,-15571.291926916789,-15571.29104447737,-15571.290164288555,-15571.28928634274,-15571.288410641027,-15571.287537174496,-15571.286665945649,-15571.285796950784,-15571.284930183,-15571.284065643884,-15571.283203327874,-15571.282343230521,-15571.281485350897,-15571.280629683273,-15571.279776229134,-15571.278924981449,-15571.278075937855,-15571.277229096317,-15571.276384450513,-15571.275542003405,-15571.274701742543,-15571.273863673447,-15571.273027786616,-15571.272194083886,-15571.271362560008,-15571.270533210958,-15571.269706032173,-15571.268881024076,-15571.268058182817,-15571.267237502223,-15571.266418980667,-15571.265602615256,-15571.26478840288,-15571.263976338574,-15571.263166420806,-15571.262358646758,-15571.261553011129,-15571.260749511817,-15571.25994814606,-15571.259148909958,-15571.258351799217,-15571.25755681024,-15571.256763940495,-15571.255973186959,-15571.255184549616,-15571.254398019815,-15571.253613594923,-15571.252831273006,-15571.252051051135,-15571.251272923004,-15571.250496889515,-15571.249722944356,-15571.248951085789,-15571.248181309371,-15571.247413611272,-15571.24664799013,-15571.245884438522,-15571.245122956703,-15571.24436353974,-15571.243606185473,-15571.242850887265,-15571.24209764716,-15571.241346455314,-15571.240597312666,-15571.239850216294,-15571.23910515938,-15571.238362138249,-15571.23762115313,-15571.236882198544,-15571.236145269544,-15571.235410365185,-15571.234677480457,-15571.233946610702,-15571.233217757825,-15571.232490909999,-15571.231766069952,-15571.231043233276,-15571.230322394795,-15571.22960355094,-15571.228886698791,-15571.228171836856,-15571.227458956579,-15571.226748057983,-15571.226039137415,-15571.22533219208,-15571.224627214917,-15571.223924205993,-15571.223223158298,-15571.222524073431,-15571.221826940346,-15571.221131763985,-15571.220438533564,-15571.219747249232,-15571.219057905768,-15571.218370499899,-15571.217685030353,-15571.217001489316,-15571.216319876141,-15571.215640186836,-15571.214962415708,-15571.214286560691,-15571.213612621454,-15571.212940587968,-15571.212270459266,-15571.211602234383,-15571.210935905357,-15571.210271471115,-15571.209608929319,-15571.20894827179,-15571.208289496957,-15571.207632605041,-15571.206977585622,-15571.206324438968,-15571.205673163278,-15571.205023748702,-15571.2043761975,-15571.203730503215,-15571.203086661215,-15571.202444671662,-15571.201804527307,-15571.201166224868,-15571.200529760856,-15571.199895133796,-15571.199262337326,-15571.198631368503,-15571.198002223198,-15571.19737490032,-15571.196749390932,-15571.196125698885,-15571.195503808993,-15571.194883731489,-15571.19426545288,-15571.193648972994,-15571.193034284444,-15571.192421389353,-15571.191810278948,-15571.191200954012,-15571.190593406845,-15571.189987636302,-15571.18938363435,-15571.18878140394,-15571.188180937794,-15571.187582230665,-15571.186985279879,-15571.186390084931,-15571.185796635304,-15571.185204933456,-15571.184614974529,-15571.184026752715,-15571.18344026549,-15571.182855508112,-15571.182272477374,-15571.181691171303,-15571.181111581995,-15571.180533710227,-15571.179957549773,-15571.179383099096,-15571.178810350493,-15571.178239303212,-15571.177669954017,-15571.17710229617,-15571.176536328148,-15571.175972045077,-15571.1754094455,-15571.174848521114,-15571.174289274495,-15571.1737316945,-15571.173175784987,-15571.172621536149,-15571.172068949441,-15571.171518015944,-15571.170968736165,-15571.17042110096,-15571.169875110432,-15571.169330763021,-15571.168788051113,-15571.16824697339,-15571.167707524284,-15571.167169702025,-15571.166633499568,-15571.166098914855,-15571.165565944872,-15571.16503458931,-15571.164504835211,-15571.16397668787,-15571.163450136923,-15571.162925182634,-15571.162401821919,-15571.161880048054,-15571.16135986011,-15571.160841251178,-15571.160324218541,-15571.159808760856,-15571.159294872876,-15571.158782549683,-15571.158271789824,-15571.157762586434,-15571.15725493925,-15571.156748842946,-15571.156244294087,-15571.155741289844,-15571.1552398231,-15571.15473989218,-15571.154241497876,-15571.15374462935,-15571.153249283772,-15571.152755463234,-15571.152263157652,-15571.151772368146,-15571.151283087074,-15571.150795313646,-15571.15030904359,-15571.149824271684,-15571.149340995602,-15571.148859212271,-15571.148378916187,-15571.147900104463,-15571.14742277508,-15571.146946922647,-15571.146472543116,-15571.145999631746,-15571.145528189712,-15571.14505820908,-15571.14458968674,-15571.144122619611,-15571.143657005483,-15571.14319283835,-15571.142730115771,-15571.142268834763,-15571.141808990422,-15571.141350578184,-15571.140893597252,-15571.140438042294,-15571.139983911216,-15571.13953119615,-15571.13907989817,-15571.138630010533,-15571.13818153536,-15571.137734461741,-15571.137288788785,-15571.136844513629,-15571.136401632662,-15571.135960143018,-15571.135520038368,-15571.13508131984,-15571.13464397733,-15571.134208012681,-15571.13377341937,-15571.133340194796,-15571.13290833763,-15571.132477839823,-15571.132048703515,-15571.131620918044,-15571.131194485035,-15571.130769401176,-15571.130345659405,-15571.129923259447,-15571.129502196694,-15571.129082466501,-15571.12866406663,-15571.128246995151,-15571.127831244843,-15571.127416813637,-15571.127003700316,-15571.12659189731,-15571.126181405101,-15571.125772219806,-15571.125364332698,-15571.124957746386,-15571.124552455438,-15571.124148455445,-15571.12374574714,-15571.12334431892,-15571.12294417457,-15571.122545308135,-15571.122147715992,-15571.12175139624,-15571.121356340998,-15571.120962553081,-15571.120570024152,-15571.120178753832,-15571.11978873542,-15571.119399970808,-15571.119012451029,-15571.118626175055,-15571.118241140726,-15571.117857342393,-15571.117474779348,-15571.117093445351,-15571.116713338159,-15571.116334454357,-15571.115956791513,-15571.115580344569,-15571.115205112243,-15571.114831090857,-15571.114458275417,-15571.11408666461,-15571.113716252448,-15571.113347037914,-15571.112979017158,-15571.112612186542,-15571.112246542481,-15571.111882082978,-15571.111518803493,-15571.111156701107,-15571.110795772795,-15571.1104360148,-15571.110077423535,-15571.109719997094,-15571.109363732332,-15571.10900862512,-15571.108654670214,-15571.108301869324,-15571.107950212541,-15571.10759970246,-15571.107250333704,-15571.106902103851,-15571.106555007089,-15571.106209044507,-15571.105864207819,-15571.105520497142,-15571.105177909485,-15571.104836441333,-15571.10449608753,-15571.104156848529,-15571.10381871533,-15571.103481692126,-15571.103145770874,-15571.102810950275,-15571.10247722372,-15571.102144594071,-15571.101813054804,-15571.101482602255,-15571.10115323528,-15571.100824947533,-15571.100497738062,-15571.100171604636,-15571.099846544672,-15571.099522551303,-15571.099199624407,-15571.098877759716,-15571.098556953566,-15571.098237206545,-15571.097918512934,-15571.097600870333,-15571.097284273103,-15571.09696872074,-15571.096654208346,-15571.096340738852,-15571.096028300704,-15571.095716896845,-15571.095406519424,-15571.095097173324,-15571.094788846858,-15571.094481540113,-15571.094175251848,-15571.093869979311,-15571.093565716088,-15571.093262462167,-15571.09296021295,-15571.092658967988,-15571.092358722542,-15571.092059469102,-15571.091761215506,-15571.091463949111,-15571.09116767198,-15571.09087237866,-15571.090578068419,-15571.090284737435,-15571.089992380816,-15571.089700998398,-15571.089410586414,-15571.089121141886,-15571.088832661073,-15571.0885451436,-15571.088258585507,-15571.087972981666,-15571.087688332447,-15571.087404631291,-15571.087121881434,-15571.086840073247,-15571.086559208354,-15571.086279281462,-15571.08600029212,-15571.085722236501,-15571.085445108398,-15571.085168911846,-15571.084893638228,-15571.084619288657,-15571.084345856303,-15571.084073342307,-15571.083801740424,-15571.083531052158,-15571.083261272572,-15571.082992396994,-15571.082724425858,-15571.082457352759,-15571.08219117806,-15571.081925899283,-15571.081661512231,-15571.081398013353,-15571.081135401837,-15571.080873675674,-15571.080612828893,-15571.080352863184,-15571.080093770539,-15571.079835552973,-15571.079578207477,-15571.079321726436,-15571.07906611347,-15571.078811361476,-15571.078557469804,-15571.078304434204,-15571.078052256553,-15571.077800930814,-15571.077550453772,-15571.077300822575,-15571.07705203603,-15571.076804092776,-15571.076556988211,-15571.076310718503,-15571.076065284295,-15571.075820682276,-15571.075576909694,-15571.075333960343,-15571.075091837729,-15571.074850534396,-15571.074610051828,-15571.074370382645,-15571.074131529655,-15571.073893485818,-15571.07365625211,-15571.073419822324,-15571.07318419878,-15571.072949375652,-15571.072715350583,-15571.072482122674,-15571.07224968791,-15571.072018042447,-15571.07178718736,-15571.071557120295,-15571.071327836542,-15571.07109933191,-15571.070871608246,-15571.070644658963,-15571.0704184871,-15571.070193083293,-15571.069968450654,-15571.069744585642,-15571.06952148236,-15571.069299143883,-15571.069077562574,-15571.068856741214,-15571.068636673645,-15571.06841735808,-15571.068198792815,-15571.067980975613,-15571.067763904077,-15571.0675475745,-15571.067331987246,-15571.067117138076,-15571.066903025296,-15571.066689646388,-15571.06647699826,-15571.066265078809,-15571.066053886852,-15571.065843420936,-15571.065633674913,-15571.06542464966,-15571.065216341649,-15571.065008749005,-15571.064801871818,-15571.064595703087,-15571.064390242787,-15571.064185491337,-15571.0639814411,-15571.063778093765,-15571.06357544841,-15571.06337349713,-15571.063172241371,-15571.062971680487,-15571.062771810679,-15571.062572627567,-15571.062374132413,-15571.062176320029,-15571.061979189864,-15571.061782741097
