pi,0.3332724444199442,0.33341587791953825,0.33331167766053016
means,"[10.040000822974873, 10.072281291529244]","[5.0883438229083975, 5.104566522372726]","[0.0034993737255981767, 0.035117805723618355]"
covariances,"[[0.964871153620004, 0.04225486152541104], [0.04225486152432243, 0.9657785009274487]]","[[0.9144026160047133, 0.030976743799221627], [0.03097674379913277, 1.0772473702066856]]","[[0.9330729474852415, -0.025341505914036028], [-0.025341505914266645, 0.9817551926747519]]"
log_likelihoods,-6613.549431416487,-6497.103675025048,-6456.8495587870475,-6439.491734379672,-6431.627149644158,-6428.795125440469,-6428.016847939483,-6427.839532052127,-6427.795547058035,-6427.776397975588,-6427.762841160402,-6427.752254573146,-6427.744111181716,-6427.737907597214,-6427.7331138692325,-6427.729274587749,-6427.726043726481,-6427.723176151352,-6427.720505219291,-6427.717920384188,-6427.715349307137,-6427.712744876785,-6427.710076288095,-6427.7073231141385,-6427.704471441387,-6427.70151137002,-6427.698435439956,-6427.695237618287,-6427.691912678845,-6427.688455800991,-6427.68486233625,-6427.681127646481,-6427.677247023399,-6427.673215632461,-6427.66902848093,-6427.664680397667,-6427.660166029145,-6427.6554798274665,-6427.650616045538,-6427.645568730996,-6427.6403317181175,-6427.63489862174,-6427.629262818035,-6427.623417436247,-6427.617355336083,-6427.61106908498,-6427.604550938269,-6427.597792801864,-6427.590786204664,-6427.5835222579735,-6427.57599161177,-6427.568184407356,-6427.560090222414,-6427.551698012098,-6427.542996040402,-6427.533971803845,-6427.524611948397,-6427.514902177263,-6427.504827141291,-6427.49437032881,-6427.483513928915,-6427.472238684727,-6427.460523731665,-6427.448346407955,-6427.435682044763,-6427.4225037311835,-6427.408782037952,-6427.394484721257,-6427.379576365811,-6427.364017985522,-6427.34776656762,-6427.330774543811,-6427.312989180313,-6427.294351871274,-6427.274797318961,-6427.254252570356,-6427.232635896897,-6427.209855468074,-6427.185807782329,-6427.160375810856,-6427.133426772991,-6427.104809471928,-6427.07435108101,-6427.0418532354615,-6427.007087278853,-6426.969788410273,-6426.929648447678,-6426.886306820681,-6426.839339258398,-6426.788243473848,-6426.732420881685,-6426.671153034116,-6426.603570932619,-6426.528614603803,-6426.444979216766,-6426.351042299018,-6426.244763990067,-6426.123548143596,-6425.984045467589,-6425.821869006288,-6425.631173766144,-6425.404020108763,-6425.129382194213,-6424.791553202274,-6424.367483477744,-6423.822141462322,-6423.100006664254,-6422.108495181103,-6420.683225595869,-6418.508501019029,-6414.914573216207,-6408.288360042297,-6394.071256614938,-6357.044953200824,-6251.8073075609145,-6114.678907404311,-6046.043606372361,-5947.236029192106,-5869.546667244774,-5861.522356919948,-5861.401401297113,-5861.397327779836,-5861.397168432213,-5861.397162405114
