pi,0.33303494063409933,0.3336452433397376,0.33331981602614086
means,"[5.005011291160476, 5.060549639744853]","[9.980435492474456, 9.96472648743954]","[0.03743410967522681, 0.02976576121966157]"
covariances,"[[0.9400344547042118, 0.05239256364262906], [0.05239256364251087, 0.9539221393542294]]","[[1.0617887576272094, 0.01171193261494469], [0.011711932615123846, 1.0504299857244968]]","[[0.9243999567048841, -0.023412656651581907], [-0.023412656651241065, 1.0253837426273051]]"
log_likelihoods,-9694.41932229849,-9168.231641065926,-9096.531395725422,-9062.98178364092,-9045.918615585748,-9038.633411924955,-9036.161840235247,-9035.426528176433,-9035.17966653541,-9035.056197369402,-9034.968151007157,-9034.895736903774,-9034.83400427172,-9034.781078601762,-9034.735741590413,-9034.696953813462,-9034.663768022787,-9034.635318831777,-9034.610825202395,-9034.589592644676,-9034.571012577911,-9034.554558837608,-9034.539781927124,-9034.526301810783,-9034.51379996999,-9034.502011310276,-9034.490716369837,-9034.4797341179,-9034.468915499157,-9034.458137800351,-9034.447299854695,-9034.436318012555,-9034.425122839766,-9034.413656437597,-9034.401870345202,-9034.389723888738,-9034.37718296088,-9034.364219138122,-9034.350809079573,-9034.33693418895,-9034.322580455539,-9034.30773847702,-9034.292403602334,-9034.276576180135,-9034.260261877189,-9034.243472025188,-9034.22622398271,-9034.20854145376,-9034.190454752548,-9034.172000959901,-9034.15322395017,-9034.134174254945,-9034.114908733103,-9034.095490040125,-9034.075985885505,-9034.056468083983,-9034.037011419243,-9034.017692356167,-9033.998587635077,-9033.979772813416,-9033.961320807417,-9033.943300492409,-9033.925775425261,-9033.908802727998,-9033.892432205183,-9033.876705675013,-9033.861656580391,-9033.847309832721,-9033.833681908014,-9033.820781163395,-9033.808608321606,-9033.797157126195,-9033.786415085946,-9033.776364288533,-9033.766982254723,-9033.75824278529,-9033.750116778394,-9033.742572998013,-9033.735578781114,-9033.72910067067,-9033.72310495453,-9033.717558150296,-9033.712427375754,-9033.707680675721,-9033.703287263912,-9033.699217701018,-9033.695444029185,-9033.691939850874,-9033.68868037403,-9033.685642420849,-9033.682804407676,-9033.680146317725,-9033.677649636578,-9033.675297299818,-9033.673073610786,-9033.670964173827,-9033.668955804016,-9033.667036453895,-9033.665195131103,-9033.663421819438,-9033.66170740153,-9033.66004359434,-9033.658422874736,-9033.656838412338,-9033.65528401758,-9033.65375407719,-9033.652243508746,-9033.650747707841,-9033.649262504185,-9033.647784125256,-9033.646309150734,-9033.644834489647,-9033.643357337189,-9033.641875152887,-9033.640385640105,-9033.638886707897,-9033.637376466446,-9033.635853193788,-9033.634315333584,-9033.632761460722,-9033.631190287082,-9033.629600634988,-9033.627991429283,-9033.626361694038,-9033.624710531803,-9033.62303712418,-9033.621340721544,-9033.619620636608,-9033.617876237795,-9033.61610694552,-9033.61431222606,-9033.612491587708,-9033.610644578526,-9033.608770778854,-9033.606869804998,-9033.604941297277,-9033.602984931205,-9033.601000396808,-9033.59898741523,-9033.59694572377,-9033.594875081753,-9033.592775266952,-9033.59064607205,-9033.588487306817,-9033.586298795984,-9033.584080377881,-9033.58183190432,-9033.57955323852,-9033.577244256472,-9033.574904846217,-9033.572534903755,-9033.57013433658,-9033.567703061035,-9033.56524100732,-9033.56274810386,-9033.56022429982,-9033.557669544316,-9033.555083797284,-9033.552467026642,-9033.549819204716,-9033.54714031264,-9033.544430337957,-9033.541689275386,-9033.538917125094,-9033.536113894124,-9033.533279592117,-9033.530414238823,-9033.527517856226,-9033.524590473033,-9033.521632120066,-9033.518642838326,-9033.515622669041,-9033.512571657544,-9033.50948985646,-9033.506377320937,-9033.503234106649,-9033.500060280172,-9033.496855907957,-9033.493621055615,-9033.490355799975,-9033.487060212989,-9033.483734376816,-9033.480378372478,-9033.476992284026,-9033.47357619758,-9033.470130202495,-9033.466654389287,-9033.463148853043,-9033.459613687839,-9033.456048992297,-9033.452454861852,-9033.448831399171,-9033.445178707861,-9033.441496886138,-9033.437786042221,-9033.434046280518,-9033.43027770433,-9033.426480424432,-9033.422654545382,-9033.41880017729,-9033.414917428256,-9033.411006406202,-9033.407067222968,-9033.403099984505,-9033.399104801963,-9033.395081784265,-9033.391031038933,-9033.386952676386,-9033.382846802699,-9033.378713524891,-9033.37455295211,-9033.370365186494,-9033.366150335594,-9033.361908501332,-9033.357639784497,-9033.353344287618,-9033.34902210911,-9033.344673344183,-9033.340298090829,-9033.335896440756,-9033.331468484204,-9033.327014308967,-9033.322534003075,-9033.318027648478,-9033.313495321232,-9033.308937102109,-9033.304353061594,-9033.29974326787,-9033.295107786087,-9033.290446678984,-9033.285759999153,-9033.28104779944,-9033.276310126214,-9033.271547017961,-9033.26675850842,-9033.261944628472,-9033.25710539886,-9033.25224083128,-9033.247350937238,-9033.24243571109,-9033.23749514823,-9033.232529226012,-9033.227537920313,-9033.2225211938,-9033.217478997141,-9033.212411270913,-9033.207317947006,-9033.202198940315,-9033.197054155888,-9033.191883483418,-9033.1866867979,-9033.181463959701,-9033.176214811414,-9033.17093918059,-9033.16563687391,-9033.16030767849,-9033.154951364704,-9033.149567677796,-9033.144156337416,-9033.138717045982,-9033.133249475974,-9033.12775327035,-9033.122228045904,-9033.116673387767,-9033.111088849972,-9033.105473949021,-9033.099828167664,-9033.09415094605,-9033.088441685184,-9033.082699741084,-9033.076924423616,-9033.071114991635,-9033.065270648605,-9033.059390544553,-9033.053473764903,-9033.047519333086,-9033.041526204277,-9033.035493254163,-9033.029419283474,-9033.023303005419,-9033.017143041401,-9033.010937916322,-9033.004686048042,-9032.998385742074,-9032.992035181926,-9032.985632414217,-9032.979175350512,-9032.972661744087,-9032.966089182548,-9032.95945507415,-9032.95275662704,-9032.94599084236,-9032.939154485415,-9032.932244074647,-9032.925255846834,-9032.918185743682,-9032.911029374816,-9032.903781992074,-9032.896438448752,-9032.88899316487,-9032.881440078996,-9032.873772604566,-9032.865983563155,-9032.858065131311,-9032.85000876431,-9032.841805118382,-9032.833443949561,-9032.824914020948,-9032.816202972272,-9032.807297188408,-9032.798181633305,-9032.788839682858,-9032.779252892306,-9032.769400771664,-9032.75926048625,-9032.748806535801,-9032.738010355708,-9032.726839861089,-9032.715258906614,-9032.703226641472,-9032.690696745714,-9032.677616506928,-9032.663925721918,-9032.649555361786,-9032.634425941837,-9032.618445539909,-9032.601507352425,-9032.583486662883,-9032.564237065804,-9032.543585722098,-9032.521327343682,-9032.497216520787,-9032.470957820475,-9032.44219292298,-9032.410483689153,-9032.375289651212,-9032.335937722475,-9032.291580883673,-9032.241141005114,-9032.183228491933,-9032.116027343907,-9032.037127580743,-9031.943275703692,-9031.829994179192,-9031.690985620126,-9031.51717143345,-9031.295087039374,-9031.00409631406,-9030.611333640183,-9030.062023646846,-9029.259769516695,-9028.023338099423,-9025.983122147367,-9022.305026920429,-9014.854268967922,-8997.291067152477,-8948.247059451323,-8807.738278570767,-8606.141548939919,-8477.135043973172,-8330.79588521984,-8250.265001374013,-8245.075291279642,-8245.05351724606,-8245.053398197986,-8245.05339747582
