pi,0.33335486006198617,0.3335502201859712,0.3330949197520518
means,"[9.989705211196581, 9.991270217515217]","[4.97756097497227, 4.977407508512151]","[0.007519955902128251, 0.017964064153654]"
covariances,"[[0.9737983716744206, -0.0004800968126461281], [-0.00048009681251055705, 0.9288271443051141]]","[[1.0587412269468304, -0.01717636090749854], [-0.017176360907380298, 1.0442251278598702]]","[[0.9697459686823134, 0.009403548751167038], [0.00940354875107659, 1.00824325560337]]"
log_likelihoods,-29186.149411977094,-27631.77330885712,-27428.459572072494,-27338.90384393056,-27293.25124859858,-27272.428717361647,-27264.586959926837,-27262.026373843863,-27261.192469374826,-27260.86066222925,-27260.679306211357,-27260.554684865558,-27260.460446286896,-27260.387132171083,-27260.329787312294,-27260.284985315648,-27260.250076584976,-27260.22295134455,-27260.20192518654,-27260.185659113842,-27260.173094647023,-27260.163399535144,-27260.155922523583,-27260.150156107,-27260.14570621148,-27260.14226779163,-27260.13960533111,-27260.137537408278,-27260.135924540387,-27260.13465966029,-27260.133660703883,-27260.132864836254,-27260.132224001703,-27260.131701475126,-27260.13126921202,-27260.13090580904,-27260.13059493847,-27260.13032415082,-27260.13008395853,-27260.129867130912,-27260.1296681619,-27260.1294828522,-27260.129308010033,-27260.12914120093,-27260.128980572947,-27260.12882471425,-27260.12867255088,-27260.12852326445,-27260.12837623061,-27260.128230974282,-27260.12808713312,-27260.127944429798,-27260.127802653657,-27260.12766164108,-27260.12752127084,-27260.127381444665,-27260.127242091934,-27260.127103154096,-27260.12696458823,-27260.126826359345,-27260.12668843997,-27260.12655081052,-27260.126413451348,-27260.126276349878,-27260.126139494678,-27260.12600287689,-27260.12586648723,-27260.1257303194,-27260.125594367448,-27260.125458625414,-27260.125323088876,-27260.125187753947,-27260.12505261557,-27260.124917670342,-27260.124782914158,-27260.124648345984,-27260.124513958715,-27260.124379751964,-27260.124245721803,-27260.124111862806,-27260.123978176347,-27260.123844655413,-27260.123711301458,-27260.12357810849,-27260.123445075,-27260.1233121974,-27260.12317947361,-27260.12304690138,-27260.12291447766,-27260.12278220013,-27260.122650065852,-27260.122518073153,-27260.12238621884,-27260.12225450111,-27260.12212291648,-27260.121991463744,-27260.121860140003,-27260.121728943697,-27260.121597872017,-27260.121466921202,-27260.121336089993,-27260.121205377633,-27260.12107478008,-27260.120944296264,-27260.12081392268,-27260.120683657675,-27260.12055349898,-27260.120423444634,-27260.120293491775,-27260.120163638887,-27260.120033883763,-27260.119904223404,-27260.11977465689,-27260.119645179977,-27260.119515792296,-27260.1193864905,-27260.11925727332,-27260.11912813699,-27260.118999079525,-27260.11887009986,-27260.11874119549,-27260.118612361643,-27260.118483599377,-27260.118354904276,-27260.11822627314,-27260.118097706014,-27260.117969196963,-27260.11784074539,-27260.117712349736,-27260.117584005762,-27260.117455711268,-27260.117327462445,-27260.117199257387,-27260.117071093264,-27260.116942967223,-27260.11681487534,-27260.116686815465,-27260.116558783342,-27260.11643077674,-27260.11630279297,-27260.116174826166,-27260.116046875686,-27260.11591893468,-27260.11579100329,-27260.115663073648,-27260.11553514465,-27260.115407211626,-27260.11527926881,-27260.115151314436,-27260.115023341372,-27260.114895347113,-27260.114767325875,-27260.114639272775,-27260.114511183216,-27260.114383052565,-27260.114254872504,-27260.114126639244,-27260.113998347646,-27260.1138699914,-27260.113741564062,-27260.11361305695,-27260.11348446611,-27260.113355784095,-27260.113227002927,-27260.113098115246,-27260.112969114096,-27260.11283999052,-27260.112710734997,-27260.11258134109,-27260.1124517984,-27260.112322098277,-27260.112192229604,-27260.112062183078,-27260.111931948275,-27260.111801515024,-27260.1116708693,-27260.111540001333,-27260.111408897927,-27260.111277547636,-27260.11114593517,-27260.11101404804,-27260.11088187046,-27260.110749389205,-27260.110616587546,-27260.11048344826,-27260.110349955623,-27260.110216092562,-27260.11008183922,-27260.109947178214,-27260.10981208839,-27260.109676548407,-27260.109540538393,-27260.10940403459,-27260.109267015272,-27260.109129453762,-27260.108991327616,-27260.10885260682,-27260.10871326703,-27260.1085732783,-27260.108432611596,-27260.108291234443,-27260.10814911581,-27260.108006221948,-27260.10786251725,-27260.10771796565,-27260.10757252761,-27260.10742616495,-27260.107278836324,-27260.10713049811,-27260.10698110623,-27260.10683061287,-27260.106678970682,-27260.10652612857,-27260.106372030794,-27260.106216626435,-27260.10605985549,-27260.10590166026,-27260.105741974614,-27260.10558073756,-27260.105417879866,-27260.105253330694,-27260.105087015996,-27260.104918859794,-27260.104748782473,-27260.104576699654,-27260.1044025258,-27260.104226168944,-27260.104047535508,-27260.103866527083,-27260.10368304115,-27260.103496970078,-27260.103308203423,-27260.103116624432,-27260.10292211162,-27260.10272453856,-27260.102523775022,-27260.10231968065,-27260.102112115368,-27260.101900928377,-27260.10168596306,-27260.101467058732,-27260.101244044108,-27260.101016744848,-27260.10078497375,-27260.100548541497,-27260.100307245513,-27260.10006087715,-27260.099809219384,-27260.099552042513,-27260.09928911151,-27260.099020176465,-27260.09874498119,-27260.098463255334,-27260.098174717205,-27260.097879073444,-27260.097576017368,-27260.09726523066,-27260.096946379024,-27260.09661911326,-27260.096283071252,-27260.0959378743,-27260.09558312554,-27260.095218412935,-27260.094843303043,-27260.094457347397,-27260.094060074694,-27260.093650995288,-27260.09322959509,-27260.092795338387,-27260.092347668084,-27260.09188599846,-27260.09140971973,-27260.090918195,-27260.090410757057,-27260.08988671322,-27260.089345334258,-27260.088785860826,-27260.0882075006,-27260.087609422168,-27260.08699076019,-27260.08635060605,-27260.08568801352,-27260.08500199174,-27260.08429150373,-27260.083555466066,-27260.082792744604,-27260.082002153635,-27260.08118245315,-27260.080332344227,-27260.079450469224,-27260.078535404613,-27260.077585664443,-27260.076599687774,-27260.07557584491,-27260.074512425846,-27260.07340764178,-27260.072259616652,-27260.071066386634,-27260.06982589241,-27260.068535975886,-27260.067194375915,-27260.06579871803,-27260.064346516487,-27260.062835159893,-27260.06126191128,-27260.059623895453,-27260.057918097962,-27260.056141351364,-27260.054290328386,-27260.052361536233,-27260.050351304846,-27260.048255773814,-27260.046070889235,-27260.04379238581,-27260.041415776323,-27260.03893633976,-27260.036349105416,-27260.03364884473,-27260.030830044052,-27260.02788689958,-27260.02481329006,-27260.02160276325,-27260.01824851322,-27260.01474335901,-27260.011079717315,-27260.00724958306,-27260.003244496434,-27259.999055513523,-27259.994673178502,-27259.990087487713,-27259.985287846146,-27259.98026303626,-27259.975001171944,-27259.96948964896,-27259.963715093745,-27259.957663311452,-27259.95131922584,-27259.94466681203,-27259.937689025617,-27259.930367730292,-27259.922683604054,-27259.91461605877,-27259.906143133616,-27259.89724138462,-27259.887885768214,-27259.878049505933,-27259.867703940945,-27259.85681837842,-27259.845359909097,-27259.833293218,-27259.820580364085,-27259.807180550943,-27259.79304985443,-27259.778140937808,-27259.76240272264,-27259.745780028163,-27259.728213162292,-27259.709637472093,-27259.689982832682,-27259.669173079128,-27259.647125361076,-27259.62374941448,-27259.598946744616,-27259.57260969351,-27259.544620376866,-27259.514849484807,-27259.48315489632,-27259.449380100188,-27259.413352381955,-27259.374880720876,-27259.333753377694,-27259.28973506865,-27259.242563700685,-27259.191946536965,-27259.137555703688,-27259.0790228983,-27259.015933117036,-27258.947817219214,-27258.8741430279,-27258.794304659255,-27258.707609653065,-27258.613263351304,-27258.51034984125,-27258.39780855787,-27258.274405350545,-27258.138696482587,-27257.988983463503,-27257.823255938674,-27257.63911885674,-27257.433698684992,-27257.203521495045,-27256.944352669343,-27256.65098371507,-27256.31694508611,-27255.934113845902,-27255.49216947553,-27254.97782618679,-27254.373729649877,-27253.65683832074,-27252.795993065294,-27251.748172040785,-27250.452547249522,-27248.820730455613,-27246.720134628024,-27243.94428830775,-27240.157003091364,-27234.780566132653,-27226.754265532516,-27213.962501193,-27191.717732944086,-27148.143155924696,-27047.897405505526,-26773.413371324343,-26088.185373795917,-25498.628438585616,-25071.53919217016,-24790.358220517825,-24771.751090566184,-24771.675852047643,-24771.67559311575,-24771.675592182593
