pi,0.33354417154829935,0.33320856940785226,0.33324725904391583
means,"[9.993141567442034, 10.004091226438973]","[4.993003535593382, 4.952568469409742]","[0.0011216936191959786, 0.040267982643739854]"
covariances,"[[1.0731905067375511, -0.02803453567617296], [-0.028034535676478758, 1.0125505524637937]]","[[1.0063850249685988, -0.014434120767348905], [-0.014434120766717498, 1.015148585637799]]","[[0.9483274018871657, 0.015417392923723829], [0.015417392923614567, 1.0028612133144532]]"
log_likelihoods,-22282.235352977885,-21097.76354607831,-20942.756304570343,-20874.608929206937,-20840.002906218375,-20824.37658909926,-20818.62803459832,-20816.870965741997,-20816.394609889554,-20816.269617292797,-20816.233380965525,-20816.219271475053,-20816.211184433796,-20816.20521647922,-20816.200335172507,-20816.196190378134,-20816.19260731223,-20816.189467594093,-20816.186679316223,-20816.18416784554,-20816.181871715744,-20816.179740019736,-20816.177730452968,-20816.17580772968,-20816.173942285448,-20816.172109229286,-20816.17028743674,-20816.168458859065,-20816.166607905805,-20816.164720964833,-20816.162785992587,-20816.16079217562,-20816.15872966376,-20816.15658932523,-20816.154362566478,-20816.15204116416,-20816.14961712962,-20816.147082596384,-20816.144429722717,-20816.141650603084,-20816.13873718595,-20816.13568122789,-20816.132474205686,-20816.12910727986,-20816.125571232107,-20816.121856420883,-20816.117952720786,-20816.113849483394,-20816.109535485888,-20816.104998868024,-20816.10022709023,-20816.09520687843,-20816.089924155436,-20816.084363983227,-20816.078510494266,-20816.072346823785,-20816.0658550182,-20816.059015968116,-20816.051809303088,-20816.044213292575,-20816.036204742137,-20816.027758863616,-20816.01884915576,-20816.00944725173,-20815.99952275834,-20815.989043089332,-20815.977973259425,-20815.966275682906,-20815.953909925807,-20815.940832448272,-20815.926996303082,-20815.912350818315,-20815.89684122611,-20815.88040824981,-20815.862987648747,-20815.844509697148,-20815.824898602215,-20815.80407184576,-20815.7819394395,-20815.75840306528,-20815.733355123106,-20815.706677620256,-20815.678240905727,-20815.64790221765,-20815.615504012,-20815.580872020382,-20815.543813004744,-20815.50411213897,-20815.461529943423,-20815.415798694085,-20815.36661818358,-20815.313650708387,-20815.2565150983,-20815.194779583202,-20815.127953235577,-20815.05547560844,-20814.976704173503,-20814.890898951307,-20814.797203612856,-20814.69462206326,-20814.581989238286,-20814.45793436618,-20814.320834415048,-20814.168754480706,-20813.999370840058,-20813.809870483667,-20813.59681849189,-20813.3559808393,-20813.082084456204,-20812.768487581245,-20812.406719647217,-20811.985827624467,-20811.49142937301,-20810.904312580118,-20810.19831069906,-20809.33699388572,-20808.26835259479,-20806.915949921462,-20805.16358704536,-20802.827439489294,-20799.602531812416,-20794.952878773733,-20787.867277010995,-20776.261089977444,-20755.3269644164,-20712.312815312125,-20607.773584820618,-20316.70826264323,-19729.65470185224,-19345.608590513035,-19019.295553293057,-18935.70793080372,-18934.495362404414,-18934.49027726294,-18934.490254101096
