pi,0.4997047092499215,0.5002952907500786
means,"[0.009118335759495477, 0.015534160231179733]","[5.08779897883507, 5.056593982803542]"
covariances,"[[0.969587096307279, 0.02476076632060918], [0.02476076632060918, 1.0083548429849547]]","[[1.10814687656726, -0.017339103361695453], [-0.017339103361695453, 0.9752538498675201]]"
log_likelihoods,-21945.70151965147,-21947.556232648712,-21947.454152974537,-21947.36888740958,-21947.299957405114,-21947.243048161727,-21947.194498840705,-21947.151616256953,-21947.112466830713,-21947.075665049626,-21947.04021142512,-21947.00537358434,-21946.970599527594,-21946.93545401495,-21946.899571226648,-21946.862618557796,-21946.824267664808,-21946.78416976236,-21946.741932745404,-21946.697098032608,-21946.649115121523,-21946.597311717545,-21946.540856921984,-21946.478714280922,-21946.409580394604,-21946.331803079258,-21946.24327045035,-21946.141258245276,-21946.022216366975,-21945.881465547107,-21945.712758652873,-21945.50763394671,-21945.254441191275,-21944.936840004295,-21944.531422117107,-21944.003831389316,-21943.30221121996,-21942.34569180886,-21941.003209532813,-21939.052369889218,-21936.09421793883,-21931.36229916276,-21923.25179635141,-21908.011018226884,-21875.52247806883,-21793.131456275805,-21536.658497557117,-20772.895587031948,-20077.68846710194,-19575.387888356054,-18961.045370640124,-18749.650676173544,-18745.33415526871,-18745.276023329818,-18745.27503229774,-18745.274996942564
