pi,0.49979380852165656,0.5002061914783434
means,"[-0.00048277848583987425, 0.000755541939542514]","[4.9879665395462345, 4.976059253084801]"
covariances,"[[1.0573426043107144, -0.0034415940503745904], [-0.0034415940503745904, 1.0201288684723222]]","[[1.0058571489475299, 0.003639001294408741], [0.003639001294408741, 0.9529468071281778]]"
log_likelihoods,-35236.27353204517,-35236.096452026424,-35235.65458791485,-35235.40274558059,-35235.28755192092,-35235.266475483964,-35235.30683571358,-35235.38442711529,-35235.48198322117,-35235.58767039301,-35235.69374340847,-35235.79542546744,-35235.89002284712,-35235.97625355518,-35236.05375555665,-35236.12273733548,-35236.183736615116,-35236.23745858649,-35236.28467098494,-35236.326138823584,-35236.36258614221,-35236.39467570938,-35236.42300032005,-35236.44808131674,-35236.47037138533,-35236.490259678234,-35236.50807801023,-35236.524107343415,-35236.538584093345,-35236.55170599568,-35236.56363740629,-35236.574513990985,-35236.5844468111,-35236.5935258398,-35236.60182295767,-35236.609394482206,-35236.61628328496,-35236.622520548044,-35236.628127206284,-35236.63311511619,-35236.63748798743,-35236.641242107056,-35236.6443668816,-35236.64684521748,-35236.6486537562,-35236.649762976376,-35236.650137171426,-35236.649734308405,-35236.64850576979,-35236.646395977434,-35236.64334189444,-35236.63927239741,-35236.63410750801,-35236.62775746905,-35236.620121645574,-35236.61108722674,-35236.600527697694,-35236.58830104419,-35236.57424764319,-35236.55818778281,-35236.539918741146,-35236.51921133773,-35236.49580585052,-35236.469407165976,-35236.4396789964,-35236.4062369579,-35236.36864024791,-35236.326381592065,-35236.27887503994,-35236.225441070164,-35236.1652883089,-35236.09749095574,-35236.02096073078,-35235.93441177402,-35235.83631640657,-35235.724848940146,-35235.59781371073,-35235.452552083516,-35235.28582112995,-35235.09363370989,-35234.87104532451,-35234.611866582134,-35234.30827021101,-35233.95024623441,-35233.524834775315,-35233.01502707114,-35232.3981611881,-35231.64353054332,-35230.70873479498,-35229.53396411908,-35228.03277817705,-35226.07672219502,-35223.46865431701,-35219.89439527567,-35214.830399953906,-35207.356255870676,-35195.74476330702,-35176.481840721404,-35141.650993186035,-35070.944779467754,-34903.083738627385,-34419.23085621363,-32897.11041377035,-30577.952256787714,-30060.329704799326,-30054.713673659855,-30054.59667276936,-30054.59105211388,-30054.590762586216,-30054.590747553702
