pi,0.3334820395327051,0.3331846573329681,0.3333333031342339
means,"[10.175314291326368, 10.185985924883827]","[5.065534026861766, 5.0306288797985435]","[0.014153355855342569, 0.04012272043456709]"
covariances,"[[1.0266315908028738, -0.002477020115821315], [-0.0024770201156491772, 0.9807993450950212]]","[[1.0314878742349947, -0.02547560468071204], [-0.025475604680861245, 0.9929692709212673]]","[[0.9586973726152827, 0.010776843823905901], [0.010776843823874106, 1.0340683377980555]]"
log_likelihoods,-24004.63880342109,-23617.78470870916,-23491.589483099,-23441.727520029635,-23422.357662829905,-23417.45386134946,-23417.307348093105,-23417.932344104356,-23418.385275077686,-23418.619431133306,-23418.722829200073,-23418.76087282988,-23418.768444722995,-23418.76224687658,-23418.749909469338,-23418.734840648645,-23418.71855906032,-23418.701767769126,-23418.68483576834,-23418.668008044,-23418.65149328804,-23418.635497461888,-23418.62023406161,-23418.605924931715,-23418.592797676414,-23418.581082219756,-23418.57100749949,-23418.562798608495,-23418.556674426945,-23418.5528457013,-23418.551513542356,-23418.552868285286,-23418.55708872291,-23418.564341723162,-23418.574782241772,-23418.58855376006,-23418.605789156023,-23418.626612012667,-23418.651138326757,-23418.67947857875,-23418.711740072456,-23418.748029444127,-23418.78845518937,-23418.833130026345,-23418.88217292852,-23418.93571054753,-23418.9938778402,-23419.05681759538,-23419.124678618966,-23419.197612304688,-23419.275767344654,-23419.359282359208,-23419.44827626814,-23419.54283630257,-23419.64300367448,-23419.74875702153,-23419.85999397373,-23419.976511366032,-23420.097984929518,-23420.223949545332,-23420.353781488368,-23420.4866843512,-23420.62168055975,-23420.757610495788,-23420.893141142464,-23421.026785817652,-23421.15693596971,-23421.281905040785,-23421.399983250365,-23421.50950080978,-23421.608895734054,-23421.696781292296,-23421.772007464242,-23421.833710611834,-23421.88134621459,-23421.91470080279,-23421.93388103976,-23421.939280013135,-23421.93152297023,-23421.911396429365,-23421.87976584908,-23421.837487483983,-23421.785319773924,-23421.72383872248,-23421.653360316064,-23421.57387141529,-23421.484968892888,-23421.3858051501,-23421.275036736046,-23421.150771421966,-23421.0105077649,-23420.85105958561,-23420.66845577116,-23420.45780274412,-23420.21309241298,-23419.926931360562,-23419.590156053913,-23419.191281373453,-23418.715701595804,-23418.14451639524,-23417.45277540927,-23416.606797012806,-23415.559967546193,-23414.245959273154,-23412.567387513758,-23410.376035552767,-23407.43664381529,-23403.356602644504,-23397.439439913323,-23388.351897911904,-23373.281541388067,-23345.496786545486,-23285.99259018796,-23129.93038959231,-22672.676467989953,-22123.28874809526,-21875.2885620714,-21545.436528352617,-21358.566035374544,-21345.58810176025,-21345.25940520438,-21345.255525045475,-21345.255822814943,-21345.25586011148,-21345.25586323572,-21345.25586347319,-21345.255863489263,-21345.25586349376,-21345.255863492504
