pi,0.3331382307256021,0.33361548257857787,0.33324628669576883
means,"[4.962340492458797, 4.972234243505536]","[9.993190837715103, 9.975161136790698]","[0.02197435763586393, 0.045702091220489925]"
covariances,"[[0.9868184609595004, -0.0006710609278586931], [-0.0006710609281127456, 1.0268523036481472]]","[[1.120984268367719, -0.027091800982229675], [-0.02709180098218824, 1.0603142780639516]]","[[0.9338249601257044, 0.01551502525406642], [0.015515025255011522, 0.9906330145483075]]"
log_likelihoods,-19490.56546455549,-18455.887523875477,-18320.82276208954,-18260.674007518355,-18230.40047863895,-18217.01993462329,-18212.163055284145,-18210.632826893714,-18210.15180630476,-18209.96655848134,-18209.867183854843,-18209.799110654807,-18209.747377317686,-18209.706766476775,-18209.67460725147,-18209.649072350177,-18209.62875360831,-18209.61253083618,-18209.599509892883,-18209.58897999697,-18209.580379265928,-18209.573265891064,-18209.56729413916,-18209.562194570943,-18209.557757915118,-18209.55382209451,-18209.550261850036,-18209.54698053584,-18209.54390365211,-18209.540973764582,-18209.538146593906,-18209.535387940334,-18209.532671322828,-18209.5299761532,-18209.527286346758,-18209.524589233024,-18209.52187473951,-18209.519134758153,-18209.51636266715,-18209.51355295207,-18209.510700934763,-18209.507802559503,-18209.504854213134,-18209.501852615595,-18209.498794722564,-18209.495677637744,-18209.492498578482,-18209.48925481216,-18209.48594362964,-18209.482562327452,-18209.47910817833,-18209.47557841662,-18209.471970222625,-18209.46828072673,-18209.464506986253,-18209.460645982646,-18209.456694620625,-18209.45264971957,-18209.448508010024,-18209.44426613085,-18209.439920626148,-18209.435467934603,-18209.4309044087,-18209.426226277512,-18209.42142968397,-18209.416510646195,-18209.411465075133,-18209.406288772854,-18209.400977414844,-18209.39552656625,-18209.389931663416,-18209.384188018095,-18209.37829081405,-18209.37223510373,-18209.36601580239,-18209.35962768683,-18209.353065391497,-18209.34632340249,-18209.339396051175,-18209.332277516507,-18209.324961807568,-18209.317442769403,-18209.30971407241,-18209.30176919519,-18209.29360143411,-18209.285203881973,-18209.276569415095,-18209.26769069677,-18209.258560148417,-18209.249169953717,-18209.239512022228,-18209.229577991897,-18209.219359201605,-18209.20884666674,-18209.198031064356,-18209.186902706533,-18209.175451504794,-18209.163666945737,-18209.151538050908,-18209.13905334352,-18209.12620079693,-18209.112967799534,-18209.09934108588,-18209.085306688925,-18209.070849867367,-18209.055955029136,-18209.040605666083,-18209.024784242072,-18209.008472107056,-18208.991649376978,-18208.97429480838,-18208.95638565954,-18208.937897537693,-18208.9188042152,-18208.899077450762,-18208.8786867467,-18208.857599126794,-18208.83577883935,-18208.813187067353,-18208.789781566866,-18208.765516275937,-18208.740340865308,-18208.71420023503,-18208.687033941525,-18208.658775538333,-18208.629351833166,-18208.59868203383,-18208.56667675172,-18208.53323689245,-18208.498252325022,-18208.461600387738,-18208.423144107077,-18208.382730157657,-18208.340186434845,-18208.2953192321,-18208.247909875598,-18208.197710769,-18208.14444061769,-18208.08777878269,-18208.027358414998,-18207.962758174217,-18207.89349213984,-18207.818997445735,-18207.73861902661,-18207.651590671554,-18207.557011344572,-18207.453815293233,-18207.340734091325,-18207.216247897682,-18207.078522381235,-18206.92532612072,-18206.75392132459,-18206.56091742985,-18206.342072341613,-18206.09201873836,-18205.803881099473,-18205.468730464876,-18205.074793080483,-18204.60627700387,-18204.041590171117,-18203.350560623927,-18202.48996641101,-18201.39609364859,-18199.971843487234,-18198.063337883905,-18195.415106770968,-18191.578551133098,-18185.710004784738,-18176.0818043588,-18158.757672652726,-18123.501713996102,-18039.483560473465,-17808.66066622784,-17293.053032046406,-16889.689981735773,-16638.835436563284,-16605.03289263158,-16604.790307221254,-16604.789052595832,-16604.789045199643
