pi,0.33330734713395016,0.3335110876873305,0.33318156517882447
means,"[10.178638794908418, 10.198554288749541]","[5.0882558815270675, 5.0565974785150445]","[0.010273401817047207, 0.02669495785558885]"
covariances,"[[1.0056862396415165, -0.0003998805681775915], [-0.00039988056807323014, 0.9557472289917487]]","[[1.040834286235814, -0.03183747969125201], [-0.03183747969120912, 1.0319843306673315]]","[[0.9674888631122038, 0.018034710215818463], [0.018034710215735335, 1.014674122693161]]"
log_likelihoods,-26654.78160273172,-26225.313368865474,-26083.26787669647,-26026.210009661074,-26004.912542590773,-26000.213217098044,-26000.42737475758,-26001.181371682556,-26001.637344794755,-26001.843527754856,-26001.92499329192,-26001.956119745577,-26001.97123668435,-26001.984192195137,-26001.99981753296,-26002.019391615562,-26002.043014297098,-26002.070552699275,-26002.101965073205,-26002.13736875412,-26002.177013977947,-26002.221232361986,-26002.270387120465,-26002.324833794442,-26002.38489260381,-26002.450830689806,-26002.522851873324,-26002.601091729077,-26002.685616287774,-26002.776423135292,-26002.873444145058,-26002.976549293206,-26003.085551242544,-26003.200210417683,-26003.320240355057,-26003.445313099764,-26003.575064399993,-26003.709098457042,-26003.846991997852,-26003.988297473876,-26004.13254522284,-26004.27924455595,-26004.427883770422,-26004.577929241426,-26004.728823804915,-26004.879984789106,-26005.03080208932,-26005.180636764286,-26005.32882066461,-26005.474657543404,-26005.617426083925,-26005.756385159588,-26005.890781445163,-26006.019859381777,-26006.142873194945,-26006.259100518975,-26006.367856892048,-26006.468510276667,-26006.560494586112,-26006.643321197625,-26006.716587462673,-26006.779981367385,-26006.833281741936,-26006.87635368175,-26006.909139187854,-26006.93164336447,-26006.943916779222,-26006.946034870183,-26006.938075370614,-26006.920094839355,-26006.892105258485,-26006.854051587095,-26006.80579089358,-26006.74707346413,-26006.677525961903,-26006.596636427756,-26006.503740597658,-26006.398008734956,-26006.278431868872,-26006.14380604249,-26005.992712866355,-26005.823494226483,-26005.634218536907,-26005.422635198753,-26005.18611292311,-26004.921556169305,-26004.625291834716,-26004.292915198603,-26003.919079451574,-26003.497205996937,-26003.01908145887,-26002.474289834558,-26001.84939943626,-26001.12677671059,-26000.28281759089,-25999.285243097496,-25998.088842611196,-25996.628545806685,-25994.80769986674,-25992.477309122623,-25989.397229940176,-25985.158779592944,-25979.017718316023,-25969.496894518124,-25953.318083138845,-25922.052400213528,-25849.484330066352,-25638.80202638178,-25096.036018294457,-24808.178442936172,-24695.266340532937,-24540.28383278468,-24285.271707131073,-23931.0121191459,-23742.477637632874,-23728.179095962416,-23727.899525700806,-23727.902027553893,-23727.902752299415,-23727.902816911344,-23727.90282185851,-23727.902822224147,-23727.902822251286,-23727.902822253833,-23727.90282225228
