pi,0.15643716691088205,0.3536573950942121,0.1666069695849637,0.05654862031485656,0.1568730363469235,0.10987681174816201
means,"[25.084677964824916, 25.054110459282384]","[17.495179670920937, 17.50418728481755]","[0.012373843333190814, 0.0517369442300956]","[5.343024828432627, 4.3703770104295305]","[9.949742050600737, 9.909297077468482]","[4.79042015115563, 5.266591282422138]"
covariances,"[[1.0176357723676328, -0.07254321199295667], [-0.07254321199295667, 0.9130065687622274]]","[[9.690914904564425, 8.575291231788878], [8.575291231788878, 9.446734635803008]]","[[0.9373953584366221, 0.005026139705335887], [0.005026139705335887, 0.9883888353404339]]","[[0.8740616951336042, 0.1667212071435837], [0.1667212071435837, 0.9244756309338843]]","[[1.0010053708779203, -0.09404612880320992], [-0.09404612880320992, 0.9804297394154454]]","[[0.9565612611298455, 0.101793865948491], [0.101793865948491, 0.7959331295003488]]"
log_likelihoods,-40844.63241985739,-38549.61042475213,-38346.30467611625,-38257.6770261107,-38185.68111510633,-38098.042816505396,-37953.59125051601,-37697.13641149806,-37523.76820329553,-37492.8360890446,-37489.585077111,-37488.90975563993,-37488.58607752336,-37488.36991424033,-37488.2089849621,-37488.08196056651,-37487.97742299046,-37487.8885725396,-37487.81112679879,-37487.74229549998,-37487.6802166263,-37487.623619331396,-37487.571611673506,-37487.52354363385,-37487.47891852505,-37487.437336576324,-37487.39846007685,-37487.361992752485,-37487.32766822022,-37487.295243918044,-37487.26449806767,-37487.23522809756,-37487.20724958777,-37487.18039524075,-37487.154513669964,-37487.12946796972,-37487.10513411683,-37487.08139928852,-37487.05816018107,-37487.03532139756,-37487.01279395196,-37486.990493914054,-37486.968341202715,-37486.94625852078,-37486.92417041625,-37486.90200244963,-37486.87968044475,-37486.85712980099,-37486.83427484544,-37486.811038205895,-37486.787340187424,-37486.76309813692,-37486.73822578195,-37486.71263253095,-37486.68622272259,-37486.65889481185,-37486.63054048042,-37486.6010436572,-37486.570279434,-37486.538112858616,-37486.50439758544,-37486.4689743599,-37486.43166930907,-37486.39229200599,-37486.350633268405,-37486.30646264611,-37486.259525541216,-37486.209539894735,-37486.156192359405,-37486.09913386142,-37486.037974433064,-37485.97227717191,-37485.901551149764,-37485.82524305349,-37485.74272728764,-37485.65329420316,-37485.55613603201,-37485.45032999855,-37485.33481793879,-37485.20838157492,-37485.06961235284,-37484.91687443291,-37484.74825900163,-37484.56152750476,-37484.354040634455,-37484.12266885337,-37483.86367879234,-37483.57258784174,-37483.243976419704,-37482.87124336004,-37482.44628404528,-37481.959062424736,-37481.39703552279,-37480.74437027075,-37479.98086398003,-37479.08043582616,-37478.00898796744,-37476.721325821534,-37475.156651541,-37473.231859393294,-37470.831395192596,-37467.79168292259,-37463.876920497205,-37458.74129359853,-37451.87066925621,-37442.49678020908,-37429.48712357181,-37411.25786946083,-37385.87412785517,-37351.65043138903,-37308.346248013826,-37258.17604918235,-37206.142826282165,-37160.398214399975,-37129.17060406124,-37113.06792507759,-37105.983085035885,-37102.772922643846,-37101.11402092098,-37100.12467145023,-37099.45002729118,-37098.93010811967,-37098.487117559846,-37098.08177686618,-37097.693821421,-37097.31260364766,-37096.932430591085,-37096.55021974611,-37096.164305213984,-37095.77381844315,-37095.378358738664,-37094.977812239216,-37094.57224871797,-37094.16186037643,-37093.74692406054,-37093.32777699095,-37092.90480053302,-37092.47840885828,-37092.04904060804,-37091.61715237545,-37091.18321323009,-37090.747699752515,-37090.31109119426,-37089.87386446956,-37089.4364887419,-37088.99941940581,-37088.563091292664,-37088.127910958545,-37087.69424794954,-37087.26242499261,-37086.83270713381,-37086.40528994077,-37085.980287001374,-37085.557717076634,-37085.137491387955,-37084.719401617,-37084.303109248794,-37083.88813687169,-37083.47386194937,-37083.05951339238,-37082.644170994135,-37082.22676747973,-37081.80609258306,-37081.38079825684,-37080.949403867555,-37080.51030005408,-37080.061749843895,-37079.601885606855,-37079.12870045608,-37078.64003273292,-37078.133542190146,-37077.60667635856,-37077.05662529256,-37076.48026237651,-37075.874068058576,-37075.23403215331,-37074.55552855625,-37073.83315358545,-37073.060515295605,-37072.2299553279,-37071.33217605,-37070.355732020354,-37069.28632291489,-37068.10578916199,-37066.79065094878,-37065.30992562612,-37063.621767540746,-37061.66811457075,-37059.36581586248,-37056.591238642315,-37053.152086763046,-37048.73241549102,-37042.77687448417,-37034.22376244223,-37020.81918315598,-36997.12855981459,-36948.15883860181,-36830.91616180172,-36583.36458673766,-36405.886389586885,-36386.89222896467,-36383.12938632829,-36381.31854640631,-36380.341956599106,-36379.77999415775,-36379.415273386265,-36379.1380588562,-36378.89353053956,-36378.65240141606,-36378.39619154938,-36378.11024355786,-36377.78032042059,-36377.39066736519,-36376.92252093695,-36376.35253688443,-36375.650764404025,-36374.77775644949,-36373.68020086076,-36372.28401286691,-36370.48293036918,-36368.11877855235,-36364.945436210124,-36360.55876347666,-36354.24967264699,-36344.66671323301,-36328.95173423218,-36300.230124916154,-36239.467297803014,-36091.7786631468,-35799.356456026675,-35672.55560247316,-35668.12648643065,-35667.50057210506,-35667.303970875684,-35667.22276353826,-35667.18274784516,-35667.159161404474,-35667.14245167602,-35667.12870231981,-35667.11626285926,-35667.10442683719,-35667.09288801009,-35667.081511595155,-35667.07023691594,-35667.0590356699,-35667.04789393936,-35667.03680439254,-35667.02576287562,-35667.014766903536,-35667.00381497506,-35666.992906247935,-35666.98204037228,-35666.97121739516,-35666.96043769765,-35666.94970194785,-35666.939011062364,-35666.928366172695,-35666.91776859533,-35666.90721980439,-35666.89672140676,-35666.88627511927,-35666.87588274791,-35666.86554616877,-35666.85526731081,-35666.84504814034,-35666.8348906469,-35666.82479683071,-35666.814768691605,-35666.804808219094,-35666.79491738379,-35666.78509812992,-35666.775352368946,-35666.76568197414,-35666.75608877609,-35666.74657455903,-35666.73714105788,-35666.727789956094,-35666.71852288396,-35666.70934141754,-35666.70024707811,-35666.69124133185,-35666.68232559015,-35666.6735012099,-35666.66476949431,-35666.656131693686,-35666.647589006505,-35666.63914258052,-35666.630793513905,-35666.622542856494,-35666.61439161094,-35666.606340733866,-35666.598391136926,-35666.59054368784,-35666.582799211224,-35666.575158489395,-35666.567622262955,-35666.56019123131,-35666.55286605294,-35666.54564734563,-35666.53853568641,-35666.53153161149,-35666.52463561583,-35666.517848152835,-35666.51116963364,-35666.504600426466,-35666.49814085572,-35666.491791201064,-35666.48555169639,-35666.47942252862,-35666.473403836615,-35666.46749570989,-35666.46169818734,-35666.45601125601,-35666.450434849794,-35666.44496884826,-35666.43961307539,-35666.43436729853,-35666.4292312273,-35666.424204512674,-35666.41928674614,-35666.41447745897,-35666.40977612175,-35666.40518214386,-35666.40069487332,-35666.39631359667,-35666.392037539124,-35666.38786586485,-35666.38379767746,-35666.37983202076,-35666.375967879576,-35666.37220418088,-35666.368539795054,-35666.3649735374,-35666.36150416973,-35666.358130402274,-35666.35485089566,-35666.35166426308,-35666.3485690726,-35666.345563849645,-35666.34264707953,-35666.339817210224,-35666.33707265507,-35666.33441179571,-35666.331832985015,-35666.32933455005,-35666.32691479518,-35666.32457200505,-35666.32230444769,-35666.32011037761,-35666.31798803876,-35666.31593566762,-35666.3139514961,-35666.3120337545,-35666.31018067427,-35666.308390490856,-35666.306661446324,-35666.30499179187,-35666.303379790384,-35666.30182371871,-35666.300321869974,-35666.29887255558,-35666.297474107254,-35666.29612487892,-35666.294823248354,-35666.29356761882,-35666.29235642052,-35666.291188111885,-35666.29006118081,-35666.288974145675,-35666.28792555631,-35666.28691399477,-35666.28593807607,-35666.28499644873,-35666.28408779522,-35666.28321083234,-35666.28236431146,-35666.281547018676,-35666.28075777484,-35666.27999543557,-35666.27925889111,-35666.27854706617,-35666.277858919624,-35666.27719344423,-35666.276549666225,-35666.27592664488,-35666.27532347203,-35666.27473927151,-35666.27417319861,-35666.27362443945,-35666.27309221034,-35666.272575757095,-35666.272074354405,-35666.27158730504,-35666.27111393919,-35666.27065361371,-35666.27020571135,-35666.26976964005,-35666.26934483213,-35666.268930743594,-35666.26852685334,-35666.26813266241,-35666.267747693266,-35666.26737148905,-35666.26700361285,-35666.266643646966,-35666.266291192245,-35666.265945867395,-35666.26560730825,-35666.265275167156,-35666.26494911231,-35666.264628827135,-35666.26431400967,-35666.26400437194,-35666.263699639414,-35666.26339955043,-35666.263103855636,-35666.262812317495,-35666.26252470972,-35666.26224081681,-35666.26196043361,-35666.26168336477,-35666.26140942439,-35666.261138435526,-35666.26087022979,-35666.260604647,-35666.26034153476,-35666.260080748114,-35666.259822149164,-35666.259565606786,-35666.25931099629,-35666.25905819908,-35666.25880710241,-35666.258557599074,-35666.25830958715,-35666.25806296973,-35666.257817654696,-35666.25757355444,-35666.25733058571,-35666.25708866933,-35666.256847730045,-35666.256607696305,-35666.25636850007,-35666.256130076654,-35666.25589236456,-35666.25565530529,-35666.25541884324,-35666.25518292551,-35666.25494750177,-35666.25471252419,-35666.25447794724,-35666.254243727606,-35666.254009824064,-35666.253776197416,-35666.25354281033,-35666.25330962727,-35666.253076614405,-35666.25284373953,-35666.252610971984,-35666.25237828253,-35666.25214564334,-35666.251913027896,-35666.25168041092,-35666.25144776831,-35666.25121507708,-35666.250982315345,-35666.250749462175,-35666.25051649765,-35666.250283402725,-35666.25005015924,-35666.249816749834,-35666.24958315794,-35666.249349367725,-35666.249115364066,-35666.24888113248,-35666.24864665915,-35666.248411930836,-35666.24817693487,-35666.24794165913,-35666.24770609202,-35666.247470222406,-35666.247234039634,-35666.2469975335,-35666.24676069419,-35666.246523512316,-35666.24628597884,-35666.24604808512,-35666.24580982282,-35666.24557118395,-35666.24533216081,-35666.24509274601,-35666.24485293243,-35666.24461271321,-35666.24437208177,-35666.244131031715,-35666.24388955692,-35666.24364765147,-35666.24340530966,-35666.24316252595,-35666.242919295015,-35666.242675611706
