pi,0.25004805195422797,0.2499742940071374,0.2498402735041838,0.2501373805344506
means,"[15.014379821278178, 15.037003559890236]","[9.99593639119609, 9.994064413252746]","[-0.002663276753186577, 0.014196412712088696]","[4.994724076630286, 4.987409822583579]"
covariances,"[[1.04146015323727, -0.00012313973095007431], [-0.00012313973095007431, 0.9880742064873375]]","[[1.0179190070750892, -0.006047955259787415], [-0.006047955259787415, 0.9421174290764015]]","[[0.9627380130299625, 0.006391809407360919], [0.006391809407360919, 1.006875922355814]]","[[1.057891150658111, -0.017545966570957024], [-0.017545966570957024, 1.0222501097261039]]"
log_likelihoods,-46336.00318126593,-43687.333404070225,-43410.34361734008,-43315.596057249946,-43264.31012460263,-43210.56653301983,-43113.33412589769,-42871.431831559894,-42393.61975913757,-42056.37918870429,-41888.228221812744,-41779.387309198624,-41705.729584206085,-41662.27045350061,-41641.76810383537,-41634.1235721078,-41631.76956715666,-41631.123209010926,-41630.948020150136,-41630.892654128154,-41630.86719671693,-41630.849612144346,-41630.83443296151,-41630.820158275754,-41630.80625950317,-41630.79247169198,-41630.778619963705,-41630.76457187409,-41630.750220619244,-41630.73547676515,-41630.72026301732,-41630.70451049881,-41630.68815597793,-41630.67113976176,-41630.65340407313,-41630.63489178192,-41630.61554539513,-41630.595306234594,-41630.57411374896,-41630.551904919426,-41630.528613728515,-41630.50417066837,-41630.478502269434,-41630.451530635095,-41630.42317296932,-41630.39334108662,-41630.361940894436,-41630.32887183836,-41630.2940263005,-41630.25728894101,-41630.21853597133,-41630.177634346735,-41630.13444086355,-41630.08880114388,-41630.04054848788,-41629.989502569064,-41629.93546794384,-41629.87823233975,-41629.817564679826,-41629.75321279063,-41629.684900730026,-41629.61232565598,-41629.53515413929,-41629.45301780011,-41629.36550811907,-41629.27217023657,-41629.17249550694,-41629.0659125135,-41628.951776172136,-41628.829354449386,-41628.697812087375,-41628.55619055027,-41628.40338317156,-41628.23810416156,-41628.05884970038,-41627.863848742505,-41627.651000324746,-41627.417792991604,-41627.16120026979,-41626.87754368552,-41626.562311233574,-41626.20991385123,-41625.81335430995,-41625.36377033263,-41624.84979382321,-41624.25663590327,-41623.56475413688,-41622.747867602804,-41621.769926376954,-41620.58035343467,-41619.106333474185,-41617.23985470521,-41614.81500436045,-41611.566205086645,-41607.04686913151,-41600.45978792644,-41590.27325984248,-41573.261271667994,-41541.79561844487,-41475.062098478666,-41306.947834503924,-40828.00317696287,-39902.495654107035,-39312.57545135428,-38939.94774252341,-38894.624174725,-38894.40496767728,-38894.40451070348,-38894.40450953226
