pi,0.25000459757419424,0.2502072412440806,0.24993489300125377,0.24985326818047107
means,"[14.976881855547408, 14.993667961234959]","[9.99330243572891, 9.97507764887784]","[0.021976121856800007, 0.0457038794844172]","[4.962341083085067, 4.972232999874367]"
covariances,"[[0.9751653107166527, -0.02237262878128647], [-0.02237262878128647, 0.9010970637507177]]","[[1.1217073712329508, -0.026881366642864175], [-0.026881366642864175, 1.0600712756093988]]","[[0.9338290793957406, 0.015519159476065702], [0.015519159476065702, 0.9906371311541267]]","[[0.9868127027646285, -0.0006779567811056781], [-0.0006779567811056781, 1.0268389321776223]]"
log_likelihoods,-28175.06029544346,-26565.034313513614,-26397.21713114719,-26338.134029513698,-26304.93901779152,-26269.015800626687,-26202.56038900416,-26038.118583012732,-25733.77705006562,-25535.268380476722,-25439.51067087151,-25380.25100722929,-25341.19383225071,-25317.842627972805,-25306.09535008729,-25301.202440776404,-25299.433359047987,-25298.80681410113,-25298.547829216717,-25298.40742244186,-25298.312647997336,-25298.24160077754,-25298.18633292574,-25298.142841268982,-25298.108464380275,-25298.0811881447,-25298.059428304616,-25298.041932634627,-25298.02771637177,-25298.0160107314,-25298.0062198655,-25297.99788494924,-25297.99065462796,-25297.98426106333,-25297.97850078468,-25297.97321956634,-25297.968300609777,-25297.963655392778,-25297.95921663999,-25297.95493296061,-25297.9507647825,-25297.946681285528,-25297.94265809887,-25297.93867557867,-25297.934717523516,-25297.93077021874,-25297.926821726105,-25297.922861356088,-25297.91887927511,-25297.914866212283,-25297.910813239207,-25297.906711602853,-25297.90255259727,-25297.898327463,-25297.89402730634,-25297.8896430327,-25297.88516528948,-25297.880584415452,-25297.87589039408,-25297.871072809216,-25297.86612080157,-25297.861023025067,-25297.85576760219,-25297.850342077632,-25297.844733369624,-25297.83892771847,-25297.83291063177,-25297.826666825786,-25297.820180162547,-25297.813433582014,-25297.806409028984,-25297.79908737388,-25297.791448326934,-25297.783470344908,-25297.775130529622,-25297.766404517417,-25297.75726635826,-25297.74768838375,-25297.737641062362,-25297.727092840567,-25297.716009968335,-25297.70435630677,-25297.6920931161,-25297.679178821185,-25297.665568752043,-25297.651214855894,-25297.6360653772,-25297.620064501287,-25297.603151956595,-25297.58526256991,-25297.566325767813,-25297.546265016645,-25297.524997191842,-25297.50243186616,-25297.47847050414,-25297.453005548123,-25297.425919378595,-25297.397083127897,-25297.366355322825,-25297.33358032674,-25297.29858654557,-25297.26118435534,-25297.221163699327,-25297.17829129225,-25297.132307354455,-25297.082921782072,-25297.029809636446,-25296.97260580848,-25296.910898677386,-25296.844222537053,-25296.772048503688,-25296.693773539846,-25296.608707127663,-25296.516054987467,-25296.414899056326,-25296.304172694847,-25296.182629755953,-25296.04880568805,-25295.90096820293,-25295.73705413418,-25295.55458782104,-25295.35057448523,-25295.121359327208,-25294.86243897918,-25294.568205746982,-25294.231595476325,-25293.84359473151,-25293.392538519664,-25292.863089321614,-25292.23471934978,-25291.479397231233,-25290.557961263643,-25289.414248363246,-25287.965234384304,-25286.083757753153,-25283.566707610407,-25280.072910037823,-25274.993036230604,-25267.152968619925,-25254.063270835213,-25229.76288348149,-25177.64663010277,-25043.92955575267,-24672.107813021405,-24116.332894754232,-23801.940748157853,-23643.637149692462,-23635.192033558706,-23635.158467609912,-23635.15837164722,-23635.1583712696
