pi,0.2500480519542275,0.2499742940071369,0.2498402735041836,0.25013738053445017
means,"[15.014379821278167, 15.037003559890254]","[9.995936391196103, 9.99406441325273]","[-0.0026632767531865327, 0.014196412712088779]","[4.9947240766303045, 4.987409822583584]"
covariances,"[[1.0414601532372714, -0.00012313973095018032], [-0.00012313973095018032, 0.988074206487339]]","[[1.017919007075088, -0.006047955259787402], [-0.006047955259787402, 0.9421174290764002]]","[[0.9627380130299633, 0.006391809407361014], [0.006391809407361014, 1.0068759223558126]]","[[1.0578911506581108, -0.01754596657095706], [-0.01754596657095706, 1.0222501097261047]]"
log_likelihoods,-46336.00318126593,-43687.33340407022,-43410.34361734007,-43315.596057249946,-43264.31012460262,-43210.56653301984,-43113.3341258977,-42871.431831559894,-42393.61975913758,-42056.37918870429,-41888.22822181276,-41779.38730919863,-41705.7295842061,-41662.27045350062,-41641.76810383538,-41634.1235721078,-41631.769567156676,-41631.123209010926,-41630.94802015014,-41630.892654128154,-41630.86719671695,-41630.84961214436,-41630.834432961514,-41630.82015827576,-41630.80625950317,-41630.79247169198,-41630.77861996372,-41630.7645718741,-41630.75022061926,-41630.73547676515,-41630.72026301731,-41630.70451049881,-41630.68815597793,-41630.67113976178,-41630.653404073135,-41630.63489178191,-41630.61554539513,-41630.59530623461,-41630.57411374898,-41630.55190491944,-41630.52861372853,-41630.50417066837,-41630.47850226944,-41630.45153063511,-41630.42317296933,-41630.39334108663,-41630.36194089445,-41630.32887183838,-41630.294026300515,-41630.25728894101,-41630.21853597133,-41630.17763434674,-41630.13444086355,-41630.08880114388,-41630.04054848789,-41629.989502569064,-41629.935467943855,-41629.87823233976,-41629.81756467983,-41629.75321279063,-41629.68490073003,-41629.61232565598,-41629.53515413929,-41629.453017800115,-41629.36550811907,-41629.27217023658,-41629.17249550695,-41629.065912513506,-41628.95177617212,-41628.82935444941,-41628.697812087375,-41628.55619055027,-41628.40338317155,-41628.238104161566,-41628.05884970039,-41627.863848742505,-41627.651000324746,-41627.417792991604,-41627.16120026979,-41626.877543685514,-41626.56231123356,-41626.20991385122,-41625.81335430993,-41625.363770332624,-41624.84979382321,-41624.256635903264,-41623.56475413687,-41622.74786760278,-41621.76992637694,-41620.58035343464,-41619.106333474134,-41617.239854705156,-41614.81500436039,-41611.566205086565,-41607.0468691314,-41600.45978792626,-41590.27325984218,-41573.261271667456,-41541.79561844384,-41475.062098476315,-41306.94783449749,-40828.0031769449,-39902.4956540876,-39312.57545134259,-38939.94774251967,-38894.62417472497,-38894.404967677285,-38894.4045107035,-38894.40450953228
