pi,0.25158407614128897,0.18974854232715116,0.19982062649587878,0.18686585722803029,0.17198089780765044
means,"[11.010168636398992, 11.107549639735693]","[20.061185980777857, 20.079550780275156]","[0.0014065479424416076, 0.04706790300365731]","[4.922927317849497, 4.9032989278509564]","[14.556650367161378, 14.383528889255741]"
covariances,"[[7.107956509438717, 6.440733196855377], [6.440733196855377, 8.018836002611884]]","[[1.0123463185206039, -0.04927492031580972], [-0.04927492031580972, 0.9340068212120491]]","[[0.9479113143409325, 0.009032195757215858], [0.009032195757215858, 1.0096937769251642]]","[[0.9360116784723892, -0.07687212133930132], [-0.07687212133930132, 0.94027431770866]]","[[5.451334262507992, 4.418337490819642], [4.418337490819642, 5.0951317779570555]]"
log_likelihoods,-44000.91539397063,-41573.646296563056,-41353.16067385365,-41275.74518149059,-41219.48820204167,-41141.7751730604,-40986.183294817296,-40644.9084292107,-40294.49224347531,-40180.65873847901,-40140.95623723802,-40124.430777206144,-40117.64486336751,-40115.04508780643,-40114.10653187102,-40113.776146882505,-40113.65658671607,-40113.60811873316,-40113.583561172185,-40113.56723363927,-40113.553875553574,-40113.541641287455,-40113.52981645661,-40113.51807644651,-40113.50624266869,-40113.49419934313,-40113.48186275079,-40113.46916828363,-40113.45606401692,-40113.442507009066,-40113.42846095419,-40113.41389462391,-40113.39878082365,-40113.383095706246,-40113.36681834134,-40113.349930470315,-40113.332416396144,-40113.31426297115,-40113.295459654546,-40113.27599861818,-40113.25587488322,-40113.23508647402,-40113.21363457659,-40113.19152369183,-40113.16876177375,-40113.14536034406,-40113.121334575655,-40113.09670333778,-40113.071489196635,-40113.04571836656,-40113.019420607474,-40112.99262906602,-40112.96538005908,-40112.93771279995,-40112.90966906919,-40112.8812928337,-40112.85262981932,-40112.82372704355,-40112.794632316625,-40112.76539371979,-40112.736059070914,-40112.706675387424,-40112.677288356856,-40112.64794182511,-40112.61867731127,-40112.58953355731,-40112.56054611938,-40112.531747005865,-40112.50316436561,-40112.47482222822,-40112.44674029605,-40112.41893378651,-40112.391413320816,-40112.36418485493,-40112.33724964641,-40112.310604250546,-40112.284240537985,-40112.25814572605,-40112.232302415374,-40112.20668862328,-40112.181277805925,-40112.156038861016,-40112.13093610288,-40112.10592920269,-40112.08097308618,-40112.05601778173,-40112.03100821158,-40112.005883919075,-40111.980578724484,-40111.95502030154,-40111.929129666285,-40111.902820568816,-40111.87599877758,-40111.84856124396,-40111.820395133385,-40111.79137670668,-40111.76137003259,-40111.7302255089,-40111.69777816559,-40111.66384571808,-40111.62822633309,-40111.5906960617,-40111.55100588585,-40111.50887831313,-40111.464003441964,-40111.416034402704,-40111.36458206031,-40111.30920883945,-40111.2494215021,-40111.18466266931,-40111.11430083051,-40111.037618522496,-40110.95379828336,-40110.86190588691,-40110.76087023677,-40110.64945913438,-40110.52624992064,-40110.38959371017,-40110.23757156441,-40110.067940453635,-40109.878066190155,-40109.664839607154,-40109.42457101346,-40109.15285622764,-40108.844405074735,-40108.49281979161,-40108.090305846825,-40107.627290476856,-40107.09191358809,-40106.469339669464,-40105.7408149253,-40104.88235587196,-40103.8628955781,-40102.64161688738,-40101.164042774864,-40099.35618722556,-40097.11561480015,-40094.29746847643,-40090.69214856845,-40085.98894138372,-40079.715955725966,-40071.14117824139,-40059.116168256165,-40041.86503127495,-40016.85440810761,-39981.34686588503,-39934.94314511495,-39883.317797442854,-39835.04009936632,-39792.14755487442,-39749.90728476036,-39698.45382626447,-39614.37965009498,-39431.53707253386,-39052.70767130432,-38835.4866332706,-38825.77967114395,-38824.95917815729,-38824.813509584914,-38824.76621215009,-38824.73720823354,-38824.71328809159,-38824.69190120137,-38824.67235278373,-38824.65433421104,-38824.63764934595,-38824.62215055359,-38824.60771798216,-38824.59425057599,-38824.58166132366,-38824.569874365945,-38824.5588230265,-38824.548448348374,-38824.53869793926,-38824.52952502665,-38824.52088766941,-38824.51274809378,-38824.5050721319,-38824.497828746426,-38824.49098962832,-38824.48452885606,-38824.47842260736,-38824.47264891473,-38824.46718745791,-38824.46201938749,-38824.457127174115,-38824.45249447957,-38824.44810604557,-38824.44394759777,-38824.44000576213,-38824.436267991885,-38824.432722503174,-38824.429358217974,-38824.4261647134,-38824.4231321761,-38824.42025136124,-38824.41751355522,-38824.41491054178,-38824.412434570884,-38824.41007833017,-38824.40783491857,-38824.405697821945,-38824.40366089022,-38824.401718316425,-38824.39986461688,-38824.3980946127,-38824.39640341254,-38824.39478639636,-38824.39323920017,-38824.39175770165,-38824.39033800663,-38824.38897643649,-38824.38766951599,-38824.386413962115,-38824.385206673265,-38824.38404471932,-38824.38292533203,-38824.381845896045,-38824.38080394047,-38824.37979713085,-38824.378823261584,-38824.37788024875,-38824.37696612339,-38824.37607902511,-38824.37521719602,-38824.37437897512,-38824.37356279278,-38824.372767165754,-38824.37199069233,-38824.37123204781,-38824.370489980145,-38824.36976330599,-38824.36905090677,-38824.368351725105,-38824.3676647614,-38824.36698907055,-38824.36632375898,-38824.365667981656,-38824.36502093944,-38824.364381876505,-38824.36375007782,-38824.363124866984,-38824.36250560396,-38824.361891683046,-38824.361282530954,-38824.360677604986,-38824.36007639128,-38824.359478403196,-38824.358883179775,-38824.35829028429,-38824.357699302825,-38824.35710984307,-38824.35652153299,-38824.35593401972,-38824.35534696846,-38824.3547600615,-38824.354172997104,-38824.3535854887,-38824.35299726399,-38824.352408064085,-38824.351817642775,-38824.35122576574,-38824.35063220991,-38824.35003676276,-38824.349439221696,-38824.3488393935,-38824.3482370937,-38824.34763214614,-38824.347024382405,-38824.346413641375,-38824.34579976875,-38824.34518261668,-38824.344562043334,-38824.343937912505,-38824.343310093245,-38824.34267845958,-38824.3420428901,-38824.341403267725,-38824.34075947935,-38824.340111415644,-38824.33945897065,-38824.338802041704,-38824.33814052906,-38824.33747433571,-38824.336803367194,-38824.33612753129,-38824.335446737954,-38824.334760899015,-38824.33406992805,-38824.333373740184,-38824.33267225191,-38824.33196538096,-38824.33125304614,-38824.33053516717,-38824.329811664495,-38824.32908245925,-38824.32834747302,-38824.32760662775,-38824.32685984565,-38824.32610704898,-38824.32534816004,-38824.32458310093,-38824.32381179355,-38824.3230341594,-38824.3222501195,-38824.321459594285,-38824.32066250347,-38824.319858766,-38824.31904829983,-38824.31823102198,-38824.317406848255,-38824.31657569326,-38824.31573747024,-38824.314892091046,-38824.314039465884,-38824.31317950338,-38824.312312110334,-38824.31143719172,-38824.310554650474,-38824.30966438749,-38824.308766301416,-38824.30786028859,-38824.306946242956,-38824.30602405584,-38824.30509361593,-38824.30415480913,-38824.30320751843,-38824.30225162376,-38824.3012870019,-38824.30031352627,-38824.29933106694,-38824.29833949031,-38824.29733865911,-38824.29632843216,-38824.29530866427,-38824.294279206035,-38824.29323990375,-38824.29219059918,-38824.29113112936,-38824.29006132648,-38824.28898101769,-38824.28789002486,-38824.28678816445,-38824.285675247214,-38824.28455107807,-38824.283415455844,-38824.28226817304,-38824.28110901556,-38824.279937762534,-38824.278754186,-38824.27755805064,-38824.2763491135,-38824.27512712374,-38824.273891822246,-38824.27264294136,-38824.27138020455,-38824.27010332604,-38824.26881201046,-38824.26750595243,-38824.26618483625,-38824.26484833535,-38824.26349611195,-38824.262127816604,-38824.260743087674,-38824.25934155083,-38824.25792281858,-38824.25648648963,-38824.25503214839,-38824.25355936432,-38824.25206769129,-38824.25055666693,-38824.2490258119,-38824.247474629155,-38824.24590260317,-38824.24430919911,-38824.24269386196,-38824.24105601563,-38824.23939506194,-38824.237710379675,-38824.23600132345,-38824.23426722262,-38824.23250738009,-38824.23072107097,-38824.22890754134,-38824.22706600679,-38824.22519565087,-38824.22329562363,-38824.22136503984,-38824.21940297722,-38824.21740847459,-38824.215380529844,-38824.21331809783,-38824.21122008802,-38824.20908536226,-38824.20691273203,-38824.20470095587,-38824.20244873639,-38824.20015471723,-38824.19781747976,-38824.19543553953,-38824.19300734255,-38824.19053126131,-38824.18800559042,-38824.18542854211,-38824.18279824126,-38824.1801127202,-38824.17736991303,-38824.1745676496,-38824.171703649,-38824.16877551263,-38824.1657807167,-38824.162716604085,-38824.159580375745,-38824.156369081305,-38824.15307960896,-38824.14970867457,-38824.1462528099,-38824.14270834982,-38824.139071418555,-38824.13533791468,-38824.13150349499,-38824.12756355676,-38824.12351321866,-38824.119347299995,-38824.11506029786,-38824.11064636258,-38824.10609927056,-38824.10141239487,-38824.096578672936,-38824.09159057117,-38824.08644004619,-38824.08111850217,-38824.075616744165,-38824.069924926356,-38824.06403249531,-38824.057928127164,-38824.05159965824,-38824.04503400811,-38824.038217094465,-38824.03113373829,-38824.02376755856,-38824.0161008548,-38824.00811447596,-38823.99978767373,-38823.99109793831,-38823.982020813826,-38823.97252969086,-38823.962595572484,-38823.95218681012,-38823.94126880434,-38823.929803665524,-38823.91774982789,-38823.90506160947,-38823.8916887093,-38823.877575631035,-38823.86266102083,-38823.84687690445,-38823.830147805245,-38823.81238972212,-38823.79350894056,-38823.77340064536,-38823.751947296274,-38823.72901671879,-38823.704459851826,-38823.67810807977,-38823.64977005892,-38823.61922792574,-38823.586232745474,-38823.5504990218,-38823.5116980399,-38823.46944975036,-38823.4233128171,-38823.37277233877,-38823.31722460078,-38823.255958008594,-38823.18812906899,-38823.11273189414,-38823.028559153136,-38822.93415161815,-38822.82773233506,-38822.70711982508,-38822.56961232824,-38822.41183150785,-38822.229508557655,-38822.01718714298,-38821.76780410962,-38821.47208700547,-38821.11767107201,-38820.68777620162,-38820.159174884815,-38819.49898271271,-38818.65942539733,-38817.56898969704,-38816.116814556066,-38814.123767214536,-38811.28563304029,-38807.053504984535,-38800.35997276276,-38788.92568080239,-38767.27989208615
