pi,0.25012663844997257,0.2500207629808766,0.2499449911121612,0.24990760745698862
means,"[9.979882854477335, 10.002480295963649]","[15.035929282697442, 15.003361723136408]","[0.01642453237028845, 0.03941658523672514]","[4.9744208478273215, 4.945335050239418]"
covariances,"[[1.0207027044713068, -0.008802992599218998], [-0.008802992599218998, 0.9442532059876894]]","[[1.0601581682933083, 0.004490133287753043], [0.004490133287753043, 0.9848769242277485]]","[[0.9564686990333263, 0.009416739007680504], [0.009416739007680504, 1.0198057725545613]]","[[1.0338272304438862, -0.02318890780235179], [-0.02318890780235179, 1.016673333402028]]"
log_likelihoods,-37258.091287789954,-35141.63462779039,-34921.99306161478,-34845.553611971656,-34803.05541095686,-34757.40780631715,-34674.36441295799,-34471.66445742381,-34081.678363516134,-33809.488502450804,-33677.08070383799,-33592.083951044406,-33534.80962860587,-33500.98167393368,-33485.007381427116,-33479.098109521816,-33477.30747872823,-33476.82154416101,-33476.68673768316,-33476.639683848945,-33476.61511493266,-33476.597482239056,-33476.58294368523,-33476.570365157764,-33476.559263857096,-33476.549341167505,-33476.54037267648,-33476.53217833403,-33476.524611129316,-33476.51755058082,-33476.510897930595,-33476.504572270336,-33476.49850734828,-33476.49264892866,-33476.48695261129,-33476.48138203507,-33476.475907401276,-33476.470504262135,-33476.46515252846,-33476.45983565798,-33476.454539992366,-33476.44925421576,-33476.44396891335,-33476.4386762112,-33476.43336948284,-33476.428043109976,-33476.42269228758,-33476.41731286473,-33476.41190121502,-33476.40645413057,-33476.40096873553,-33476.39544241523,-33476.389872758205,-33476.38425750852,-33476.3785945266,-33476.3728817569,-33476.36711720115,-33476.36129889614,-33476.3554248952,-33476.34949325271,-33476.343502011056,-33476.337449189625,-33476.33133277537,-33476.325150715005,-33476.31890090807,-33476.31258120114,-33476.30618938292,-33476.2997231799,-33476.29318025294,-33476.28655819426,-33476.27985452516,-33476.27306669421,-33476.26619207619,-33476.25922797142,-33476.25217160594,-33476.245020132075,-33476.23777063,-33476.23042010984,-33476.222965514644,-33476.215403724265,-33476.20773156015,-33476.19994579105,-33476.19204313998,-33476.184020292145,-33476.175873904096,-33476.16760061427,-33476.159197054694,-33476.15065986415,-33476.141985702714,-33476.13317126771,-33476.12421331117,-33476.11510865859,-33476.10585422923,-33476.09644705766,-33476.08688431659,-33476.07716334086,-33476.06728165242,-33476.057236986104,-33476.047027316105,-33476.036650882656,-33476.02610621891,-33476.015392177505,-33476.00450795643,-33475.99345312398,-33475.98222764216,-33475.97083188823,-33475.95926667386,-33475.94753326138,-33475.93563337676,-33475.923569218736,-33475.91134346371,-33475.89895926586,-33475.88642025241,-33475.873730513274,-33475.860894585334,-33475.847917430816,-33475.83480440987,-33475.82156124737,-33475.80819399412,-33475.794708982554,-33475.781112777535,-33475.76741212256,-33475.75361388206,-33475.739724980405,-33475.72575233845,-33475.711702808316,-33475.69758310758,-33475.68339975337,-33475.669158997654,-33475.65486676447,-33475.640528589836,-33475.62614956553,-33475.61173428687,-33475.59728680586,-33475.58281058958,-33475.56830848454,-33475.55378268736,-33475.539234721575,-33475.52466542099,-33475.51007491913,-33475.495462644874,-33475.48082732361,-33475.466166983744,-33475.45147896791,-33475.436759948425,-33475.42200594624,-33475.407212352744,-33475.39237395392,-33475.37748495592,-33475.36253901165,-33475.34752924755,-33475.332448290006,-33475.317288290884,-33475.30204095164,-33475.2866975455,-33475.27124893737,-33475.25568560091,-33475.239997632845,-33475.22417476371,-33475.20820636539,-33475.19208145462,-33475.17578869296,-33475.1593163825,-33475.14265245761,-33475.125784472344,-33475.10869958373,-33475.09138453037,-33475.07382560674,-33475.056008632746,-33475.0379189185,-33475.01954122412,-33475.00085971446,-33474.98185790829,-33474.96251862187,-33474.942823906385,-33474.92275497901,-33474.90229214694,-33474.88141472384,-33474.86010093817,-33474.838327832505,-33474.81607115298,-33474.79330522778,-33474.77000283367,-33474.7461350489,-33474.72167109125,-33474.69657813905,-33474.670821133586,-33474.64436255983,-33474.617162203445,-33474.58917688036,-33474.56036013558,-33474.530661906654,-33474.50002814719,-33474.46840040444,-33474.43571534434,-33474.40190421611,-33474.366892247235,-33474.33059795804,-33474.29293238302,-33474.2537981839,-33474.213088636316,-33474.17068646895,-33474.12646252921,-33474.08027424506,-33474.03196384563,-33473.981356295786,-33473.92825689023,-33473.87244844007,-33473.813687970316,-33473.75170282696,-33473.68618606828,-33473.616790984175,-33473.54312454695,-33473.464739545954,-33473.38112509131,-33473.291695083666,-33473.19577413077,-33473.09258023709,-33472.98120338279,-33472.86057882676,-33472.729453579,-33472.586343950075,-33472.429481331295,-33472.256742289195,-33472.06555752087,-33471.85279197573,-33471.61458513397,-33471.34613544702,-33471.041405313044,-33470.69271105349,-33470.29014337964,-33469.82073289457,-33469.26722341708,-33468.60622687857,-33467.80537552252,-33466.8187967151,-33465.57968053034,-33463.987600784836,-33461.88591721457,-33459.019385287116,-33454.94969012546,-33448.874564541125,-33439.20524846771,-33422.46955722821,-33390.07998930175,-33317.3955293876,-33123.91662817777,-32596.401262462714,-31912.105004978952,-31474.6698659572,-31286.628253897325,-31282.15968075818,-31282.153746448057,-31282.153735683627,-31282.153735651165
