pi,0.25002659255356807,0.25012868314441306,0.24993678149930473,0.24990794280271386
means,"[14.98897264937926, 14.97945423516196]","[10.000638841325712, 10.006651239935813]","[0.00022950329745255045, 0.044685829929651234]","[4.9841136602379725, 4.946216956384459]"
covariances,"[[0.9984073855159437, 0.0059806006074556665], [0.0059806006074556665, 0.939198580400052]]","[[1.0705833341696145, -0.03114843168295415], [-0.03114843168295415, 1.0068822447162666]]","[[0.9471891162788205, 0.01349866723327304], [0.01349866723327304, 1.010825972698138]]","[[1.0055109595677412, -0.013730436892567392], [-0.013730436892567392, 1.0064473480797946]]"
log_likelihoods,-32707.83857707071,-30837.538414095878,-30641.308390333874,-30573.998596842415,-30537.434053408695,-30499.07928939331,-30430.290369438997,-30260.54886845415,-29913.851525150138,-29656.339589885636,-29532.97019368599,-29455.272555517593,-29403.26007690884,-29372.420580378537,-29357.64014489342,-29352.018530111993,-29350.232910740473,-29349.701994003175,-29349.52375924091,-29349.440584358097,-29349.38611822205,-29349.343599580774,-29349.308345575788,-29349.27859400768,-29349.25334551174,-29349.231856263425,-29349.21351239987,-29349.197792694053,-29349.184252268715,-29349.17251192232,-29349.162249451023,-29349.153192063946,-29349.145109629986,-29349.13780865432,-29349.131126926404,-29349.124928793044,-29349.11910101214,-29349.113549141788,-29349.108194417728,-29349.102971071545,-29349.09782404206,-29349.092707033975,-29349.08758087958,-29349.082412163203,-29349.07717207064,-29349.071835430306,-29349.066379916032,-29349.06078538549,-29349.055033331373,-29349.049106425795,-29349.04298814117,-29349.036662433387,-29349.03011347516,-29349.023325429655,-29349.016282255685,-29349.008967537622,-29349.001364333846,-29348.993455038944,-29348.985221255163,-29348.976643669856,-29348.967701935453,-29348.95837454947,-29348.948638732007,-29348.93847029845,-29348.927843525344,-29348.916731007295,-29348.905103502788,-29348.892929766866,-29348.88017636826,-29348.866807488685,-29348.852784701423,-29348.838066726323,-29348.822609157734,-29348.806364161574,-29348.789280137145,-29348.77130133845,-29348.752367449462,-29348.73241310615,-29348.71136735756,-29348.689153056537,-29348.66568616911,-29348.640874989676,-29348.614619246655,-29348.58680908048,-29348.557323872265,-29348.526030897294,-29348.492783772122,-29348.457420657913,-29348.419762174417,-29348.379608969422,-29348.336738875907,-29348.29090357409,-29348.241824655604,-29348.18918896289,-29348.13264304463,-29348.07178652823,-29348.006164157174,-29347.935256173187,-29347.858466632846,-29347.775109129878,-29347.684389235197,-29347.585382753492,-29347.4770086044,-29347.357994737864,-29347.226834939203,-29347.08173360297,-29346.920534449575,-29346.740627568317,-29346.538826846725,-29346.311206399347,-29346.052879411443,-29345.757694831205,-29345.417814846245,-29345.023116084863,-29344.5603247323,-29344.011740699403,-29343.353310740844,-29342.551640296908,-29341.559218861647,-29340.30652649336,-29338.68846367227,-29336.53994053958,-29333.589573725694,-29329.366170451398,-29322.99514356396,-29312.713276161918,-29294.578099285274,-29258.559133253933,-29174.9949743825,-28946.403066411112,-28356.19434592068,-27744.99364065182,-27462.116692577707,-27434.753145530805,-27434.68650252183,-27434.686408134992,-27434.68640790668
