pi,0.1866384530469403,0.23283874903726745,0.19970643141248023,0.1857431918675754,0.19507317463573623
means,"[20.03491702943841, 20.022274941900417]","[12.142503411277435, 11.78922443534185]","[0.014019444735945063, 0.04927474765552488]","[4.9263768386697135, 4.9237415022371]","[12.868726730460518, 13.272831089058835]"
covariances,"[[0.9256297829737962, -0.06556019574167538], [-0.06556019574167538, 0.8865798441057794]]","[[9.533105570858229, 8.940334477646319], [8.940334477646319, 10.248863347970506]]","[[0.9459796454883512, 0.007841568157981774], [0.007841568157981774, 0.9917032631736048]]","[[0.9078241314103281, -0.06525625177921553], [-0.06525625177921553, 0.9364432793998709]]","[[10.248255045861095, 8.606567667682665], [8.606567667682665, 8.977633593825752]]"
log_likelihoods,-34428.05821205517,-32525.140460889506,-32353.031615596796,-32291.76523021064,-32247.04167777361,-32185.809516685757,-32064.211571027547,-31798.281170454306,-31525.142155657097,-31436.80261264003,-31408.072667291814,-31396.61479430596,-31391.77620977004,-31389.76122344823,-31388.917495964026,-31388.53445904974,-31388.32718375263,-31388.187554602882,-31388.075637890794,-31387.97653962779,-31387.884312209335,-31387.796175522868,-31387.71048547333,-31387.62602491132,-31387.54175293992,-31387.456711272025,-31387.369983915345,-31387.280674741105,-31387.18789081554,-31387.09072725192,-31386.988251953946,-31386.879489446175,-31386.763403200945,-31386.638875864734,-31386.504686685603,-31386.359485278488,-31386.201760636177,-31386.029803982965,-31385.841663646945,-31385.6350895521,-31385.407464141455,-31385.155715446268,-31384.876206478963,-31384.56459294905,-31384.215638176283,-31383.822969533976,-31383.378754066667,-31382.87326092569,-31382.29426307621,-31381.626207261386,-31380.84904428319,-31379.936552411833,-31378.8538896753,-31377.5539482628,-31375.971805987945,-31374.016082674512,-31371.55514027348,-31368.39449642981,-31364.239004327235,-31358.6285416178,-31350.829168198397,-31339.65949157476,-31323.273025549046,-31299.15379934195,-31265.30642472469,-31223.845339510837,-31182.524451704885,-31146.49905523449,-31113.479860039795,-31076.900427143104,-31022.72664242401,-30911.818360525045,-30653.71722146164,-30384.389361828606,-30361.035411277087,-30359.48594288701,-30359.131505450678,-30358.98763615798,-30358.901855968732,-30358.838159174833,-30358.78558820365,-30358.739902038375,-30358.699138029733,-30358.66227211772,-30358.628713554623,-30358.598083592064,-30358.57011097503,-30358.544580860977,-30358.521309410935,-30358.500131029155,-30358.480891946656,-30358.463447040383,-30358.447658326844,-30358.43339432762,-30358.420529881503,-30358.408946170337,-30358.39853082716,-30358.389178051668,-30358.380788690803,-30358.373270262626,-30358.36653691463,-30358.360509315775,-30358.355114487116,-30358.350285578807,-30358.345961602925,-30358.34208713232,-30358.33861197513,-30358.335490834197,-30358.332682959553,-30358.330151800787,-30358.327864665273,-30358.325792386757,-30358.323909007828,-30358.322191478946,-30358.320619375612,-30358.31917463483,-30358.317841311145,-30358.316605352302,-30358.31545439406,-30358.31437757348,-30358.313365359772,-30358.312409401697,-30358.311502390367,-30358.310637936353,-30358.30981045992,-30358.309015093248,-30358.308247593563,-30358.307504266108,-30358.306781896084,-30358.306077688474,-30358.305389215056,-30358.304714367823,-30358.304051317995,-30358.30339848007,-30358.302754480403,-30358.302118129614,-30358.301488398534,-30358.300864397163,-30358.30024535634,-30358.29963061175,-30358.299019589984,-30358.298411796466,-30358.297806804832,-30358.297204247858,-30358.29660380945,-30358.29600521773,-30358.295408239093,-30358.294812672946,-30358.294218347262,-30358.29362511464,-30358.293032848924,-30358.292441442296,-30358.29185080273,-30358.29126085178,-30358.290671522736,-30358.29008275892,-30358.289494512304,-30358.2889067423,-30358.288319414656,-30358.287732500565,-30358.287145975886,-30358.28655982043,-30358.28597401741,-30358.285388552886,-30358.28480341535,-30358.28421859536,-30358.28363408517,-30358.28304987849,-30358.28246597021,-30358.28188235622,-30358.281299033188,-30358.28071599843,-30358.280133249773,-30358.279550785424,-30358.27896860388,-30358.278386703834,-30358.27780508411,-30358.277223743575,-30358.276642681107,-30358.27606189553,-30358.275481385583,-30358.27490114988,-30358.27432118688,-30358.273741494835,-30358.273162071808,-30358.272582915637,-30358.272004023893,-30358.27142539389,-30358.270847022697,-30358.270268907057,-30358.269691043424,-30358.269113427967,-30358.268536056527,-30358.267958924633,-30358.26738202748,-30358.266805359955,-30358.266228916582,-30358.26565269159,-30358.26507667883,-30358.26450087182,-30358.263925263756,-30358.263349847475,-30358.262774615458,-30358.262199559846,-30358.261624672436,-30358.26104994467,-30358.260475367628,-30358.25990093205,-30358.259326628333,-30358.258752446494,-30358.25817837621,-30358.25760440682,-30358.25703052727,-30358.256456726194,-30358.25588299185,-30358.25530931213,-30358.2547356746,-30358.25416206645,-30358.25358847451,-30358.25301488526,-30358.252441284843,-30358.251867659008,-30358.25129399318,-30358.2507202724,-30358.25014648138,-30358.249572604436,-30358.24899862557,-30358.248424528385,-30358.247850296146,-30358.24727591175,-30358.246701357737,-30358.24612661627,-30358.245551669177,-30358.244976497896,-30358.244401083502,-30358.243825406724,-30358.243249447896,-30358.24267318702,-30358.242096603673,-30358.241519677118,-30358.240942386215,-30358.24036470945,-30358.239786624938,-30358.23920811041,-30358.238629143238,-30358.238049700376,-30358.23746975842,-30358.23688929357,-30358.236308281652,-30358.235726698076,-30358.235144517865,-30358.234561715668,-30358.2339782657,-30358.2333941418,-30358.23280931738,-30358.23222376547,-30358.23163745866,-30358.231050369133,-30358.230462468666,-30358.229873728596,-30358.229284119832,-30358.228693612866,-30358.228102177738,-30358.22750978406,-30358.226916400992,-30358.22632199724,-30358.22572654107,-30358.225130000275,-30358.22453234218,-30358.223933533656,-30358.223333541075,-30358.22273233035,-30358.222129866877,-30358.22152611559,-30358.22092104089,-30358.220314606697,-30358.219706776392,-30358.219097512858,-30358.21848677842,-30358.21787453489,-30358.21726074352,-30358.216645365017,-30358.216028359522,-30358.215409686603,-30358.21478930526,-30358.21416717389,-30358.2135432503,-30358.21291749169,-30358.212289854637,-30358.211660295095,-30358.21102876839,-30358.210395229176,-30358.20975963146,-30358.209121928572,-30358.208482073176,-30358.207840017207,-30358.207195711915,-30358.206549107847,-30358.20590015476,-30358.205248801714,-30358.20459499699,-30358.20393868808,-30358.203279821697,-30358.20261834375,-30358.20195419933,-30358.201287332675,-30358.200617687166,-30358.199945205342,-30358.19926982882,-30358.198591498323,-30358.197910153656,-30358.197225733667,-30358.196538176242,-30358.195847418297,-30358.195153395733,-30358.19445604342,-30358.193755295204,-30358.19305108383,-30358.19234334097,-30358.19163199718,-30358.190916981875,-30358.19019822331,-30358.18947564854,-30358.1887491834,-30358.188018752502,-30358.187284279178,-30358.186545685436,-30358.185802892003,-30358.185055818205,-30358.184304382,-30358.183548499917,-30358.182788087026,-30358.182023056925,-30358.181253321673,-30358.180478791775,-30358.17969937615,-30358.178914982065,-30358.17812551514,-30358.17733087926,-30358.176530976583,-30358.175725707442,-30358.17491497036,-30358.174098661955,-30358.17327667695,-30358.17244890803,-30358.171615245927,-30358.17077557926,-30358.169929794516,-30358.169077776016,-30358.16821940585,-30358.1673545638,-30358.16648312732,-30358.165604971444,-30358.164719968718,-30358.163827989192,-30358.162928900285,-30358.162022566772,-30358.161108850654,-30358.160187611167,-30358.159258704636,-30358.158321984443,-30358.157377300922,-30358.156424501292,-30358.155463429575,-30358.1544939265,-30358.15351582941,-30358.15252897219,-30358.15153318516,-30358.150528294977,-30358.149514124525,-30358.148490492837,-30358.147457214945,-30358.14641410183,-30358.145360960243,-30358.144297592626,-30358.143223796968,-30358.142139366697,-30358.141044090542,-30358.139937752374,-30358.138820131113,-30358.13769100054,-30358.136550129173,-30358.135397280093,-30358.134232210803,-30358.13305467303,-30358.131864412615,-30358.130661169256,-30358.12944467638,-30358.128214660923,-30358.126970843154,-30358.125712936457,-30358.124440647123,-30358.123153674125,-30358.121851708896,-30358.120534435082,-30358.119201528312,-30358.11785265593,-30358.116487476746,-30358.115105640743,-30358.11370678881,-30358.11229055243,-30358.110856553398,-30358.109404403476,-30358.107933704072,-30358.10644404591,-30358.10493500866,-30358.10340616056,-30358.10185705804,-30358.100287245332,-30358.098696254023,-30358.097083602657,-30358.095448796237,-30358.09379132581,-30358.092110667923,-30358.09040628416,-30358.088677620566,-30358.086924107127,-30358.08514515718,-30358.0833401668,-30358.081508514188,-30358.079649559008,-30358.07776264172,-30358.075847082815,-30358.07390218213,-30358.071927218043,-30358.06992144665,-30358.067884100925,-30358.065814389844,-30358.06371149742,-30358.061574581767,-30358.05940277406,-30358.057195177476,-30358.054950866088,-30358.05266888367,-30358.050348242494,-30358.047987922047,-30358.045586867676,-30358.04314398917,-30358.040658159287,-30358.038128212203,-30358.03555294186,-30358.03293110028,-30358.03026139571,-30358.027542490774,-30358.024773000467,-30358.021951490035,-30358.019076472756,-30358.01614640767,-30358.01315969706,-30358.01011468389,-30358.0070096491,-30358.00384280869,-30358.00061231069,-30357.997316231987,-30357.993952574885,-30357.990519263552,-30357.98701414024,-30357.983434961225,-30357.97977939261,-30357.976045005813,-30357.972229272775,-30357.968329560943,-30357.96434312787,-30357.960267115544,-30357.956098544324,-30357.95183430649,-30357.947471159445,-30357.94300571841,-30357.93843444866,-30357.93375365728,-30357.928959484343,-30357.924047893528,-30357.919014662064,-30357.913855369996,-30357.90856538876,-30357.90313986885,-30357.897573726732,-30357.89186163074,-30357.88599798595,-30357.879976918,-30357.87379225566,-30357.867437512105,-30357.86090586475,-30357.854190133578,-30357.84728275773,-30357.84017577028,-30357.832860770926,-30357.825328896583,-30357.817570789455,-30357.80957656251,-30357.801335762044,-30357.792837326986,-30357.78406954478,-30357.775020003304,-30357.765675538525,-30357.75602217746,-30357.74604507589,-30357.735728450243,-30357.725055503088,-30357.714008341452
