pi,0.25049685690149764,0.24946936826507937,0.24998018034210162,0.2500535944913214
means,"[14.982123012577665, 14.97041549896476]","[9.986594846750346, 10.015880388442673]","[0.003447627132651014, 0.03491507530060237]","[5.062907790280501, 5.079038462412825]"
covariances,"[[1.0849166957024878, 0.044290983823008244], [0.044290983823008244, 1.0472525695369996]]","[[0.9603475719801817, 0.03209004225507568], [0.03209004225507568, 0.9474224931029805]]","[[0.932982900309396, -0.025392469921156492], [-0.025392469921156492, 0.9816931970670462]]","[[0.9142099338590473, 0.030721249126186657], [0.030721249126186657, 1.0770631834255935]]"
log_likelihoods,-10024.56473462923,-9434.312234596682,-9371.452478016035,-9350.817126941833,-9340.274666515921,-9330.006399374895,-9312.04193383008,-9266.37546077355,-9167.956057290197,-9092.030951297045,-9054.285454884512,-9030.826889889726,-9014.213140871021,-9003.007423150753,-8996.734682507993,-8994.002038008397,-8993.050256272772,-8992.75361550304,-8992.65256475423,-8992.605213261633,-8992.573927093885,-8992.549189856076,-8992.528368281386,-8992.510463843008,-8992.494890160233,-8992.481195788683,-8992.469000736535,-8992.457979670733,-8992.447854681035,-8992.43838970892,-8992.429385203308,-8992.420672917926,-8992.412110987925,-8992.403579408194,-8992.394975981922,-8992.386212759942,-8992.377212956433,-8992.367908304319,-8992.358236801027,-8992.348140790014,-8992.33756532267,-8992.326456747533,-8992.314761477439,-8992.30242488954,-8992.289390317323,-8992.275598097309,-8992.260984636087,-8992.245481464995,-8992.229014250544,-8992.21150172811,-8992.192854524474,-8992.1729738313,-8992.151749886241,-8992.129060210907,-8992.104767544555,-8992.078717398668,-8992.050735139332,-8992.02062248022,-8991.988153237002,-8991.953068151395,-8991.91506853603,-8991.873808414122,-8991.828884722967,-8991.77982500561,-8991.726071814028,-8991.66696276429,-8991.601704781257,-8991.529340488916,-8991.448703850721,-8991.358360897686,-8991.256529465812,-8991.140968912066,-8991.008826137699,-8990.856416791961,-8990.678908259051,-8990.469850293917,-8990.220463077672,-8989.9185275386,-8989.54660161718,-8989.079050404922,-8988.476897156013,-8987.678466312722,-8986.581414098106,-8985.005881120525,-8982.612748974925,-8978.704196144303,-8971.678086548183,-8957.328222710681,-8922.976338561757,-8831.335148100596,-8662.28313374625,-8543.86287171428,-8444.96587613717,-8427.970209234774,-8427.78638430927,-8427.78339801617,-8427.783334074615,-8427.783332663266
