pi,0.2500397009016257,0.2501740501742253,0.2499063165236979,0.2498799324004511
means,"[15.01406731428664, 15.015453445238364]","[9.976381996152165, 9.954163230585129]","[0.016801442847274077, 0.056140645026888966]","[4.9774951244497085, 4.966945704315094]"
covariances,"[[1.0589340544273689, -0.033288765939665725], [-0.033288765939665725, 1.0067309435533116]]","[[1.0564735829918626, -0.021372939177735376], [-0.021372939177735376, 1.0150546876290076]]","[[0.9450153609357643, -0.005259334643401353], [-0.005259334643401353, 0.994597108417543]]","[[0.9760637120480447, 0.024003966049590934], [0.024003966049590934, 1.0294883084475603]]"
log_likelihoods,-23677.92249065618,-22326.41441736853,-22184.815423680106,-22135.65223092832,-22108.56877969997,-22080.147569447538,-22028.906005994297,-21902.116121210474,-21654.76403377086,-21483.0815625411,-21402.376880808795,-21353.862310045948,-21321.88615349911,-21302.33783328624,-21292.125725202168,-21287.681562785765,-21286.046527701637,-21285.514343429528,-21285.35103599943,-21285.29895373084,-21285.278305651467,-21285.266055996624,-21285.255771112203,-21285.24565517249,-21285.235178293984,-21285.2241524028,-21285.21248095428,-21285.200091087023,-21285.186914817852,-21285.17288340688,-21285.157925274536,-21285.141964883223,-21285.124921876886,-21285.106710275188,-21285.087237654276,-21285.06640428264,-21285.044102189648,-21285.020214146283,-21284.99461253635,-21284.96715809437,-21284.93769848301,-21284.90606667846,-21284.872079126875,-21284.8355336277,-21284.796206890947,-21284.753851704285,-21284.70819363171,-21284.658927147626,-21284.60571108744,-21284.548163266896,-21284.48585408477,-21284.418298875455,-21284.344948714875,-21284.265179300684,-21284.178277418174,-21284.083424357526,-21283.97967545155,-21283.865934635814,-21283.740922566034,-21283.603136317895,-21283.45079797803,-21283.281788415257,-21283.093561050526,-21282.883028290726,-21282.646410089805,-21282.379029256554,-21282.075030662334,-21281.726989758845,-21281.325356928042,-21280.85765305452,-21280.30727898833,-21279.651709552396,-21278.859676671418,-21277.88663489961,-21276.667193619294,-21275.10194921879,-21273.033432717253,-21270.19958660562,-21266.137417113696,-21259.966308383442,-21249.849122186,-21231.47712801818,-21193.158621649323,-21097.913518110632,-20833.41263807455,-20381.522780611245,-20106.136586780805,-19911.492841474676,-19893.6816556644,-19893.635488811662,-19893.635394757654,-19893.635394372894
