pi,0.18671684890352694,0.23238837609754248,0.19976593491624584,0.18739006878515857,0.19373877129752426
means,"[20.05054772021696, 20.102501779184276]","[12.293996987217257, 12.408913524447195]","[0.011706574962652398, 0.03705014401768615]","[4.927713557300658, 4.902144766934265]","[12.776199170291752, 12.625967632457511]"
covariances,"[[0.9472794591788896, -0.06262269483394166], [-0.06262269483394166, 0.8965788548197174]]","[[9.280541554162514, 8.869826424113672], [8.869826424113672, 10.786190126469164]]","[[0.9525807989789797, 0.006741960603455375], [0.006741960603455375, 1.0195183312229328]]","[[0.9741835997409534, -0.08448994771732049], [-0.08448994771732049, 0.9465716539791816]]","[[10.529695149422903, 8.717120096034844], [8.717120096034844, 8.552252709371409]]"
log_likelihoods,-48770.22217000398,-46082.86828950494,-45840.74253392014,-45754.77317506341,-45691.48029609735,-45603.939899719575,-45430.09533784048,-45055.4806820909,-44675.25596570419,-44551.20014137269,-44508.47884806433,-44490.72272528858,-44483.34112911901,-44480.46496713867,-44479.408718277846,-44479.0305126718,-44478.89042608366,-44478.83078115459,-44478.79753060249,-44478.77258234644,-44478.74991715073,-44478.727500754,-44478.70460728122,-44478.680943994186,-44478.65636633472,-44478.6307848924,-44478.604134627945,-44478.57636435405,-44478.54743287986,-44478.51730739527,-44478.48596262974,-44478.4533802775,-44478.419548492115,-44478.38446135904,-44478.348118292226,-44478.31052331802,-44478.27168421909,-44478.23161151859,-44478.190317292065,-44478.147813799726,-44478.10411193817,-44478.059219514194,-44478.013139346935,-44477.965867206476,-44477.91738959643,-44477.86768138648,-44477.81670329638,-44477.76439922667,-44477.71069342243,-44477.65548744573,-44477.59865691858,-44477.540047982766,-44477.4794734039,-44477.41670822592,-44477.351484856656,-44477.28348743573,-44477.21234530102,-44477.13762532674,-44477.058822854866,-44476.97535087586,-44476.88652703348,-44476.79155792341,-44476.68952002026,-44476.579336392184,-44476.459748130306,-44476.329279113,-44476.186192315436,-44476.028435318556,-44475.853571917665,-44475.65869569074,-44475.44031994234,-44475.19423640814,-44474.91533221917,-44474.59735046569,-44474.23257363268,-44473.81140019154,-44473.32177111456,-44472.74838241065,-44472.07158760585,-44471.26584305405,-44470.29746634007,-44469.12134139188,-44467.6759728116,-44465.875892000724,-44463.59970983204,-44460.67083244965,-44456.82551696396,-44451.65866834349,-44444.53027545821,-44434.40412912635,-44419.58355588454,-44397.359418754604,-44363.91022727337,-44315.835849133866,-44255.198586213504,-44192.13795673783,-44133.49588488242,-44074.68143140628,-44000.82833037206,-43872.436008745906,-43581.80303156108,-43127.71844194041,-43028.21145918241,-43023.429675040126,-43022.61820740279,-43022.34631939173,-43022.1982542465,-43022.086429792245,-43021.986095523906,-43021.888185662094,-43021.78868514224,-43021.685591783214,-43021.57784704698,-43021.464914511555,-43021.34660896929,-43021.223027969216,-43021.094522811196,-43020.961680299806,-43020.82530182162,-43020.686373808334,-43020.54602788156,-43020.40549173385,-43020.26603370416,-43020.128905196536,-43019.99528555671,-43019.86623377183,-43019.742650491986,-43019.62525257985,-43019.51456092527,-43019.41090086548,-43019.31441342928,-43019.225074893446,-43019.142721831784,-43019.0670789037,-43018.99778697807,-43018.934429702975,-43018.8765572089,-43018.823706183495,-43018.77541602778,-43018.73124116676,-43018.69075983652,-43018.653579817525,-43018.61934164698,-43018.587719844596,-43018.55842264651,-43018.531190679874,-43018.50579493721,-43018.482034336885,-43018.459733088705,-43018.438738024866,-43018.41891600736,-43018.40015148507,-43018.38234424293,-43018.36540736424,-43018.34926541132,-43018.333852818876,-43018.31911248807,-43018.304994565086,-43018.29145538636,-43018.27845657206,-43018.26596425022,-43018.25394839459,-43018.24238226116,-43018.2312419095,-43018.22050579686,-43018.21015443426,-43018.20017009544,-43018.190536570655,-43018.18123895845,-43018.17226348963,-43018.16359737827,-43018.15522869593,-43018.14714626489,-43018.13933956809,-43018.131798672606,-43018.12451416479,-43018.117477095235,-43018.110678932084,-43018.1041115211,-43018.09776705173,-43018.09163802812,-43018.085717244205,-43018.07999776234,-43018.07447289491,-43018.06913618841,-43018.06398140958,-43018.059002533315,-43018.05419373208,-43018.049549366486,-43018.04506397707,-43018.04073227676,-43018.03654914418,-43018.032509617646,-43018.02860888949,-43018.024842301034,-43018.021205337755,-43018.0176936249,-43018.01430292333,-43018.01102912552,-43018.00786825185,-43018.004816447006,-43018.00186997649,-43017.99902522343,-43017.99627868518,-43017.993626970434,-43017.99106679595,-43017.988594983835,-43017.986208458504,-43017.98390424397,-43017.98167946105,-43017.9795313247,-43017.97745714137,-43017.97545430645,-43017.97352030169,-43017.971652692846,-43017.96984912711,-43017.96810733088,-43017.96642510734,-43017.964800334215,-43017.963230961584,-43017.96171500963,-43017.96025056663,-43017.95883578673,-43017.95746888801,-43017.95614815049,-43017.95487191416,-43017.9536385771,-43017.95244659363,-43017.95129447252,-43017.95018077524,-43017.94910411425,-43017.9480631513,-43017.947056595876,-43017.94608320353,-43017.945141774464,-43017.944231151894,-43017.94335022076,-43017.94249790618,-43017.94167317217,-43017.94087502026,-43017.940102488225,-43017.93935464884,-43017.93863060871,-43017.93792950695,-43017.93725051421,-43017.93659283148,-43017.93595568901,-43017.93533834534,-43017.93474008624,-43017.934160223725,-43017.93359809519,-43017.9330530624,-43017.93252451072,-43017.93201184814,-43017.93151450457,-43017.93103193096,-43017.93056359858,-43017.93010899826,-43017.92966763966,-43017.9292390506,-43017.928822776405,-43017.92841837918,-43017.92802543731,-43017.927643544754,-43017.92727231052,-43017.92691135808,-43017.926560324864,-43017.92621886167,-43017.92588663226,-43017.92556331283,-43017.92524859148,-43017.92494216788,-43017.92464375278,-43017.92435306757,-43017.92406984392,-43017.92379382337,-43017.92352475699,-43017.92326240496,-43017.92300653629,-43017.92275692846,-43017.92251336707,-43017.9222756456,-43017.922043565035,-43017.92181693365,-43017.92159556672,-43017.92137928615,-43017.92116792043,-43017.92096130419,-43017.92075927808,-43017.92056168851,-43017.920368387415,-43017.92017923208,-43017.91999408488,-43017.91981281322,-43017.919635289145,-43017.91946138935,-43017.91929099489,-43017.91912399109,-43017.918960267285,-43017.918799716805,-43017.91864223672,-43017.918487727715,-43017.91833609402,-43017.91818724318,-43017.91804108601,-43017.91789753642,-43017.91775651138,-43017.91761793067,-43017.9174817169,-43017.917347795345,-43017.91721609389,-43017.917086542875,-43017.916959075024,-43017.916833625415,-43017.91671013128,-43017.91658853205,-43017.91646876918,-43017.916350786094,-43017.9162345282,-43017.91611994269,-43017.91600697852,-43017.91589558638,-43017.91578571864,-43017.91567732919,-43017.91557037353,-43017.91546480857,-43017.915360592684,-43017.9152576856,-43017.91515604837,-43017.91505564333,-43017.91495643406,-43017.914858385295,-43017.91476146294,-43017.914665633994,-43017.91457086652,-43017.91447712963,-43017.9143843934,-43017.914292628906,-43017.91420180808,-43017.9141119038,-43017.91402288983,-43017.913934740674,-43017.91384743173,-43017.91376093912,-43017.91367523973,-43017.91359031119,-43017.91350613178,-43017.913422680496,-43017.91333993699,-43017.91325788149,-43017.91317649491,-43017.913095758704,-43017.9130156549,-43017.912936166074,-43017.912857275354,-43017.91277896636,-43017.91270122323,-43017.91262403055,-43017.91254737342,-43017.91247123733,-43017.91239560827,-43017.91232047257,-43017.91224581706,-43017.91217162889,-43017.912097895634,-43017.912024605204,-43017.91195174592,-43017.91187930637,-43017.91180727555,-43017.91173564273,-43017.91166439752,-43017.911593529854,-43017.91152302989,-43017.91145288816,-43017.911383095394,-43017.911313642624,-43017.911244521165,-43017.91117572253,-43017.91110723853,-43017.911039061175,-43017.91097118269,-43017.91090359559,-43017.91083629253,-43017.910769266426,-43017.910702510344,-43017.91063601761,-43017.910569781685,-43017.91050379622,-43017.9104380551,-43017.91037255231,-43017.910307282036,-43017.91024223865,-43017.91017741665,-43017.910112810685,-43017.910048415564,-43017.90998422626,-43017.90992023784,-43017.90985644556,-43017.90979284477,-43017.90972943097,-43017.909666199754,-43017.909603146865,-43017.90954026816,-43017.90947755962,-43017.909415017304,-43017.909352637405,-43017.90929041621,-43017.90922835011,-43017.90916643559,-43017.90910466925,-43017.90904304775,-43017.90898156787,-43017.90892022646,-43017.90885902047,-43017.90879794692,-43017.90873700289,-43017.9086761856,-43017.9086154923,-43017.90855492029,-43017.90849446702,-43017.90843412993,-43017.90837390658,-43017.90831379457,-43017.90825379158,-43017.90819389533,-43017.90813410362,-43017.90807441433,-43017.90801482531,-43017.907955334565,-43017.90789594013,-43017.90783664005,-43017.90777743247,-43017.90771831553,-43017.90765928749,-43017.907600346596,-43017.90754149118,-43017.90748271958,-43017.90742403022,-43017.907365421546,-43017.90730689202,-43017.907248440184,-43017.907190064616,-43017.90713176389,-43017.90707353667,-43017.907015381614,-43017.906957297455,-43017.9068992829,-43017.90684133675,-43017.90678345782,-43017.90672564494,-43017.90666789698,-43017.90661021285,-43017.906552591456,-43017.90649503177,-43017.90643753277,-43017.90638009348,-43017.90632271292,-43017.90626539016,-43017.90620812428,-43017.906150914394,-43017.90609375963,-43017.90603665916,-43017.90597961213,-43017.90592261775,-43017.90586567526,-43017.90580878388,-43017.905751942875,-43017.905695151516,-43017.90563840911,-43017.905581714964,-43017.90552506843,-43017.90546846882,-43017.90541191553,-43017.90535540795,-43017.90529894546,-43017.905242527486,-43017.90518615344,-43017.90512982279,-43017.90507353499,-43017.9050172895,-43017.90496108581,-43017.90490492344,-43017.904848801874,-43017.90479272067,-43017.90473667931,-43017.9046806774,-43017.90462471449,-43017.904568790116,-43017.904512903886,-43017.90445705542,-43017.90440124426,-43017.9043454701,-43017.90428973249,-43017.90423403111,-43017.904178365585,-43017.90412273556,-43017.90406714073,-43017.90401158072,-43017.90395605525,-43017.90390056398
