pi,0.18671684890352822,0.23238837609753382,0.19976593491624586,0.18739006878515896,0.1937387712975328
means,"[20.05054772021692, 20.102501779184223]","[12.293996987217337, 12.408913524447176]","[0.011706574962652452, 0.03705014401768604]","[4.927713557300642, 4.902144766934248]","[12.776199170291585, 12.625967632457439]"
covariances,"[[0.947279459178893, -0.06262269483393942], [-0.06262269483393942, 0.8965788548197191]]","[[9.280541554162474, 8.869826424113619], [8.869826424113619, 10.7861901264692]]","[[0.9525807989789804, 0.006741960603455374], [0.006741960603455374, 1.0195183312229332]]","[[0.974183599740947, -0.08448994771731931], [-0.08448994771731931, 0.9465716539791794]]","[[10.529695149422924, 8.717120096034831], [8.717120096034831, 8.552252709371395]]"
log_likelihoods,-48770.22217000398,-46082.868289504935,-45840.74253392014,-45754.77317506341,-45691.48029609734,-45603.93989971957,-45430.09533784049,-45055.48068209091,-44675.25596570419,-44551.20014137269,-44508.47884806434,-44490.72272528858,-44483.34112911901,-44480.46496713866,-44479.40871827784,-44479.03051267181,-44478.89042608365,-44478.83078115458,-44478.79753060249,-44478.77258234643,-44478.74991715072,-44478.727500754,-44478.70460728122,-44478.68094399418,-44478.65636633472,-44478.63078489241,-44478.604134627945,-44478.57636435404,-44478.547432879874,-44478.51730739526,-44478.48596262974,-44478.453380277504,-44478.41954849213,-44478.38446135904,-44478.348118292226,-44478.31052331802,-44478.271684219086,-44478.2316115186,-44478.19031729206,-44478.14781379972,-44478.10411193817,-44478.05921951419,-44478.01313934694,-44477.965867206476,-44477.917389596434,-44477.86768138648,-44477.816703296376,-44477.76439922667,-44477.71069342243,-44477.65548744573,-44477.59865691858,-44477.54004798276,-44477.479473403895,-44477.41670822592,-44477.35148485664,-44477.283487435714,-44477.21234530101,-44477.137625326744,-44477.05882285486,-44476.97535087585,-44476.886527033486,-44476.791557923396,-44476.68952002025,-44476.5793363922,-44476.459748130306,-44476.329279113,-44476.186192315436,-44476.02843531855,-44475.85357191766,-44475.65869569074,-44475.44031994233,-44475.19423640813,-44474.91533221917,-44474.59735046568,-44474.23257363268,-44473.81140019153,-44473.32177111457,-44472.74838241066,-44472.07158760584,-44471.26584305405,-44470.29746634007,-44469.12134139189,-44467.6759728116,-44465.87589200074,-44463.59970983204,-44460.670832449665,-44456.82551696398,-44451.658668343516,-44444.53027545826,-44434.40412912643,-44419.583555884674,-44397.35941875481,-44363.91022727367,-44315.835849134295,-44255.198586213985,-44192.13795673828,-44133.49588488284,-44074.681431406745,-44000.82833037275,-43872.43600874731,-43581.80303156432,-43127.71844194283,-43028.21145918249,-43023.42967504014,-43022.6182074028,-43022.34631939173,-43022.1982542465,-43022.08642979224,-43021.9860955239,-43021.888185662094,-43021.78868514223,-43021.68559178321,-43021.57784704697,-43021.46491451155,-43021.34660896928,-43021.22302796921,-43021.0945228112,-43020.961680299806,-43020.82530182163,-43020.686373808334,-43020.54602788155,-43020.40549173385,-43020.26603370416,-43020.12890519653,-43019.99528555672,-43019.86623377183,-43019.74265049198,-43019.62525257983,-43019.514560925265,-43019.41090086548,-43019.31441342927,-43019.22507489343,-43019.14272183178,-43019.0670789037,-43018.99778697806,-43018.93442970296,-43018.876557208896,-43018.82370618348,-43018.77541602777,-43018.73124116676,-43018.69075983651,-43018.65357981751,-43018.61934164698,-43018.587719844596,-43018.55842264649,-43018.53119067987,-43018.50579493721,-43018.48203433688,-43018.45973308871,-43018.438738024866,-43018.41891600736,-43018.40015148507,-43018.38234424293,-43018.36540736425,-43018.34926541132,-43018.333852818876,-43018.31911248807,-43018.304994565086,-43018.29145538635,-43018.27845657206,-43018.26596425021,-43018.25394839458,-43018.242382261145,-43018.23124190949,-43018.22050579685,-43018.21015443426,-43018.20017009544,-43018.19053657064,-43018.18123895845,-43018.172263489614,-43018.16359737827,-43018.15522869592,-43018.14714626489,-43018.1393395681,-43018.13179867261,-43018.12451416478,-43018.11747709523,-43018.11067893208,-43018.1041115211,-43018.09776705173,-43018.09163802811,-43018.0857172442,-43018.07999776233,-43018.07447289491,-43018.0691361884,-43018.06398140958,-43018.059002533315,-43018.05419373207,-43018.04954936648,-43018.04506397706,-43018.04073227674,-43018.03654914418,-43018.03250961765,-43018.028608889486,-43018.02484230103,-43018.02120533775,-43018.01769362489,-43018.01430292333,-43018.01102912551,-43018.00786825185,-43018.00481644699,-43018.001869976484,-43017.99902522342,-43017.99627868519,-43017.99362697043,-43017.99106679595,-43017.98859498382,-43017.9862084585,-43017.98390424397,-43017.98167946105,-43017.9795313247,-43017.977457141365,-43017.97545430644,-43017.97352030169,-43017.97165269283,-43017.96984912711,-43017.968107330875,-43017.966425107326,-43017.9648003342,-43017.96323096157,-43017.96171500963,-43017.960250566626,-43017.958835786725,-43017.95746888802,-43017.9561481505,-43017.95487191416,-43017.95363857709,-43017.95244659361,-43017.951294472514,-43017.95018077523,-43017.94910411425,-43017.94806315129,-43017.94705659586,-43017.946083203526,-43017.94514177445,-43017.944231151894,-43017.943350220754,-43017.94249790618,-43017.941673172165,-43017.94087502024,-43017.94010248822,-43017.93935464884,-43017.938630608696,-43017.93792950694,-43017.9372505142,-43017.936592831466,-43017.935955689,-43017.935338345334,-43017.934740086224,-43017.934160223725,-43017.93359809518,-43017.9330530624,-43017.93252451072,-43017.93201184814,-43017.93151450457,-43017.93103193096,-43017.93056359858,-43017.930108998255,-43017.929667639655,-43017.9292390506,-43017.9288227764,-43017.928418379175,-43017.9280254373,-43017.92764354475,-43017.92727231051,-43017.92691135807,-43017.92656032485,-43017.92621886166,-43017.92588663226,-43017.92556331283,-43017.92524859148,-43017.92494216788,-43017.924643752776,-43017.92435306756,-43017.92406984391,-43017.92379382337,-43017.92352475698,-43017.92326240496,-43017.9230065363,-43017.92275692846,-43017.92251336707,-43017.9222756456,-43017.922043565035,-43017.92181693365,-43017.9215955667,-43017.92137928614,-43017.92116792042,-43017.92096130418,-43017.92075927807,-43017.9205616885,-43017.9203683874,-43017.92017923207,-43017.9199940849,-43017.91981281323,-43017.919635289145,-43017.91946138935,-43017.9192909949,-43017.91912399107,-43017.918960267285,-43017.918799716805,-43017.91864223671,-43017.91848772772,-43017.918336094015,-43017.91818724317,-43017.918041086,-43017.91789753643,-43017.91775651138,-43017.91761793066,-43017.91748171688,-43017.917347795345,-43017.91721609388,-43017.91708654287,-43017.916959075024,-43017.91683362541,-43017.916710131285,-43017.91658853204,-43017.91646876917,-43017.9163507861,-43017.91623452821,-43017.916119942674,-43017.91600697851,-43017.91589558638,-43017.91578571863,-43017.91567732919,-43017.91557037353,-43017.91546480857,-43017.915360592684,-43017.91525768559,-43017.915156048366,-43017.91505564334,-43017.914956434055,-43017.914858385295,-43017.91476146293,-43017.914665633994,-43017.91457086652,-43017.914477129634,-43017.91438439341,-43017.9142926289,-43017.91420180807,-43017.91411190381,-43017.914022889825,-43017.913934740674,-43017.91384743173,-43017.91376093912,-43017.91367523973,-43017.91359031118,-43017.91350613178,-43017.91342268049,-43017.913339936975,-43017.91325788149,-43017.91317649492,-43017.913095758704,-43017.91301565489,-43017.912936166074,-43017.912857275354,-43017.91277896636,-43017.91270122323,-43017.91262403055,-43017.91254737342,-43017.91247123732,-43017.912395608255,-43017.91232047257,-43017.91224581705,-43017.91217162888,-43017.91209789563,-43017.912024605204,-43017.911951745904,-43017.91187930636,-43017.91180727554,-43017.911735642716,-43017.91166439752,-43017.91159352985,-43017.91152302989,-43017.91145288815,-43017.91138309538,-43017.911313642624,-43017.91124452115,-43017.911175722526,-43017.91110723853,-43017.91103906116,-43017.91097118269,-43017.910903595584,-43017.91083629253,-43017.910769266426,-43017.910702510344,-43017.9106360176,-43017.91056978167,-43017.910503796214,-43017.91043805509,-43017.9103725523,-43017.91030728203,-43017.91024223866,-43017.91017741664,-43017.91011281067,-43017.91004841557,-43017.90998422626,-43017.90992023784,-43017.909856445556,-43017.909792844766,-43017.90972943095,-43017.90966619975,-43017.90960314686,-43017.90954026816,-43017.90947755962,-43017.90941501729,-43017.90935263739,-43017.9092904162,-43017.909228350094,-43017.90916643559,-43017.90910466924,-43017.90904304775,-43017.90898156787,-43017.90892022646,-43017.90885902046,-43017.908797946904,-43017.908737002894,-43017.908676185594,-43017.908615492284,-43017.908554920294,-43017.90849446701,-43017.90843412993,-43017.90837390658,-43017.90831379457,-43017.90825379158,-43017.90819389533,-43017.90813410362,-43017.908074414314,-43017.90801482531,-43017.907955334565,-43017.90789594012,-43017.90783664004,-43017.90777743246,-43017.907718315524,-43017.907659287484,-43017.907600346596,-43017.90754149117,-43017.90748271958,-43017.90742403022,-43017.90736542153,-43017.90730689201,-43017.907248440184,-43017.90719006461,-43017.90713176388,-43017.90707353667,-43017.907015381614,-43017.90695729743,-43017.9068992829,-43017.90684133675,-43017.90678345782,-43017.906725644934,-43017.90666789698,-43017.90661021284,-43017.90655259145,-43017.90649503177,-43017.90643753277,-43017.906380093475,-43017.906322712915,-43017.90626539016,-43017.906208124274,-43017.90615091439,-43017.90609375963,-43017.90603665915,-43017.90597961213,-43017.90592261775,-43017.90586567526,-43017.90580878388,-43017.90575194287,-43017.905695151516,-43017.9056384091,-43017.905581714964,-43017.90552506842,-43017.905468468816,-43017.90541191553,-43017.905355407944,-43017.90529894545,-43017.90524252747,-43017.905186153446,-43017.905129822786,-43017.90507353498,-43017.90501728949,-43017.90496108581,-43017.90490492344,-43017.90484880187,-43017.904792720656,-43017.9047366793,-43017.90468067739,-43017.90462471447,-43017.90456879011,-43017.90451290389,-43017.9044570554,-43017.904401244276,-43017.90434547009,-43017.90428973248,-43017.904234031106,-43017.90417836558,-43017.90412273557,-43017.90406714072,-43017.904011580715,-43017.903956055234,-43017.90390056396
