pi,0.2500397009016255,0.2501740501742253,0.24990631652369757,0.24987993240045092
means,"[15.014067314286649, 15.01545344523837]","[9.976381996152156, 9.954163230585138]","[0.016801442847274112, 0.05614064502688914]","[4.977495124449703, 4.966945704315098]"
covariances,"[[1.0589340544273689, -0.033288765939665683], [-0.033288765939665683, 1.0067309435533123]]","[[1.0564735829918626, -0.021372939177735462], [-0.021372939177735462, 1.0150546876290074]]","[[0.9450153609357652, -0.005259334643401259], [-0.005259334643401259, 0.9945971084175453]]","[[0.976063712048045, 0.02400396604959089], [0.02400396604959089, 1.0294883084475617]]"
log_likelihoods,-23677.922490656183,-22326.41441736853,-22184.815423680106,-22135.65223092833,-22108.568779699966,-22080.147569447538,-22028.906005994293,-21902.116121210467,-21654.76403377086,-21483.081562541105,-21402.3768808088,-21353.86231004595,-21321.88615349911,-21302.337833286245,-21292.125725202168,-21287.681562785765,-21286.046527701637,-21285.514343429528,-21285.351035999432,-21285.29895373084,-21285.278305651467,-21285.26605599663,-21285.2557711122,-21285.24565517249,-21285.235178293988,-21285.224152402807,-21285.21248095428,-21285.200091087027,-21285.186914817852,-21285.172883406885,-21285.157925274536,-21285.141964883223,-21285.12492187689,-21285.106710275184,-21285.087237654272,-21285.06640428264,-21285.04410218965,-21285.020214146283,-21284.994612536342,-21284.96715809437,-21284.93769848301,-21284.906066678457,-21284.87207912688,-21284.83553362771,-21284.796206890947,-21284.75385170429,-21284.708193631715,-21284.658927147626,-21284.605711087446,-21284.548163266896,-21284.48585408477,-21284.418298875455,-21284.344948714875,-21284.26517930069,-21284.178277418177,-21284.083424357526,-21283.979675451545,-21283.865934635814,-21283.74092256603,-21283.6031363179,-21283.450797978032,-21283.281788415257,-21283.093561050526,-21282.883028290722,-21282.64641008981,-21282.379029256554,-21282.075030662334,-21281.726989758845,-21281.325356928042,-21280.857653054518,-21280.30727898833,-21279.651709552396,-21278.859676671418,-21277.8866348996,-21276.66719361929,-21275.10194921878,-21273.03343271725,-21270.19958660561,-21266.13741711367,-21259.966308383406,-21249.849122185933,-21231.477128018065,-21193.158621649058,-21097.91351810991,-20833.412638072616,-20381.52278060956,-20106.136586779576,-19911.49284147432,-19893.6816556644,-19893.63548881167,-19893.635394757657,-19893.635394372897
