pi,0.25000459757419435,0.2502072412440806,0.24993489300125374,0.24985326818047107
means,"[14.976881855547422, 14.993667961234964]","[9.993302435728923, 9.97507764887785]","[0.021976121856799948, 0.04570387948441707]","[4.962341083085066, 4.97223299987437]"
covariances,"[[0.9751653107166536, -0.02237262878128658], [-0.02237262878128658, 0.9010970637507162]]","[[1.1217073712329506, -0.026881366642864075], [-0.026881366642864075, 1.060071275609399]]","[[0.933829079395741, 0.015519159476065627], [0.015519159476065627, 0.9906371311541263]]","[[0.9868127027646292, -0.0006779567811056535], [-0.0006779567811056535, 1.0268389321776241]]"
log_likelihoods,-28175.06029544347,-26565.034313513606,-26397.217131147183,-26338.134029513705,-26304.939017791523,-26269.015800626683,-26202.56038900416,-26038.118583012725,-25733.77705006561,-25535.268380476715,-25439.51067087151,-25380.251007229286,-25341.193832250705,-25317.84262797281,-25306.095350087293,-25301.202440776404,-25299.433359047987,-25298.806814101135,-25298.547829216717,-25298.407422441865,-25298.312647997336,-25298.241600777532,-25298.186332925732,-25298.142841268982,-25298.10846438027,-25298.0811881447,-25298.059428304616,-25298.041932634624,-25298.027716371762,-25298.0160107314,-25298.006219865503,-25297.997884949236,-25297.990654627956,-25297.98426106332,-25297.97850078468,-25297.973219566335,-25297.96830060977,-25297.96365539277,-25297.95921663998,-25297.954932960605,-25297.950764782505,-25297.946681285528,-25297.94265809887,-25297.93867557866,-25297.934717523513,-25297.930770218733,-25297.926821726105,-25297.922861356088,-25297.918879275105,-25297.91486621228,-25297.910813239196,-25297.906711602853,-25297.902552597276,-25297.898327462997,-25297.894027306338,-25297.889643032697,-25297.885165289485,-25297.880584415452,-25297.87589039408,-25297.871072809216,-25297.866120801573,-25297.861023025067,-25297.855767602196,-25297.85034207763,-25297.844733369617,-25297.83892771846,-25297.832910631765,-25297.826666825786,-25297.82018016254,-25297.813433582007,-25297.80640902898,-25297.799087373885,-25297.791448326934,-25297.783470344908,-25297.775130529626,-25297.76640451741,-25297.757266358254,-25297.74768838375,-25297.737641062355,-25297.727092840567,-25297.716009968328,-25297.70435630677,-25297.6920931161,-25297.67917882119,-25297.66556875204,-25297.651214855894,-25297.6360653772,-25297.620064501287,-25297.60315195659,-25297.585262569908,-25297.56632576781,-25297.546265016637,-25297.52499719184,-25297.502431866167,-25297.47847050413,-25297.45300554812,-25297.425919378595,-25297.39708312789,-25297.36635532283,-25297.33358032674,-25297.29858654557,-25297.26118435534,-25297.221163699327,-25297.178291292246,-25297.132307354455,-25297.082921782072,-25297.029809636442,-25296.972605808485,-25296.910898677386,-25296.844222537053,-25296.772048503684,-25296.69377353985,-25296.608707127656,-25296.516054987456,-25296.41489905632,-25296.30417269484,-25296.18262975595,-25296.04880568805,-25295.90096820293,-25295.73705413418,-25295.554587821043,-25295.350574485234,-25295.121359327204,-25294.862438979173,-25294.568205746986,-25294.23159547632,-25293.84359473151,-25293.392538519664,-25292.863089321618,-25292.234719349777,-25291.479397231233,-25290.557961263647,-25289.41424836324,-25287.9652343843,-25286.083757753153,-25283.566707610404,-25280.072910037816,-25274.993036230597,-25267.152968619917,-25254.0632708352,-25229.76288348146,-25177.64663010269,-25043.92955575245,-24672.10781302083,-24116.33289475382,-23801.94074815757,-23643.63714969242,-23635.19203355871,-23635.15846760991,-23635.158371647212,-23635.158371269605
