pi,0.2515840761418122,0.18974854232766705,0.19982062649589066,0.18686585722805443,0.1719808978065752
means,"[11.010168636322152, 11.107549639657217]","[20.0611859807775, 20.07955078027385]","[0.0014065479425331632, 0.047067903003744825]","[4.922927317849036, 4.903298927850482]","[14.556650367271278, 14.383528889367675]"
covariances,"[[7.107956509171585, 6.440733196583078], [6.440733196583078, 8.018836002321708]]","[[1.0123463185221298, -0.049274920314555194], [-0.049274920314555194, 0.9340068212139121]]","[[0.9479113143410888, 0.00903219575734896], [0.00903219575734896, 1.0096937769253398]]","[[0.9360116784722955, -0.07687212133935217], [-0.07687212133935217, 0.9402743177090681]]","[[5.451334261958926, 4.418337490305701], [4.418337490305701, 5.095131777494021]]"
log_likelihoods,-44000.91539397063,-41573.64629656304,-41353.16067385365,-41275.74518149057,-41219.48820204166,-41141.77517306039,-40986.18329481729,-40644.908429210685,-40294.4922434753,-40180.658738479004,-40140.956237238,-40124.43077720615,-40117.64486336751,-40115.04508780643,-40114.10653187101,-40113.776146882505,-40113.65658671606,-40113.608118733144,-40113.583561172185,-40113.56723363926,-40113.55387555358,-40113.54164128745,-40113.52981645662,-40113.51807644652,-40113.50624266869,-40113.49419934313,-40113.4818627508,-40113.46916828361,-40113.456064016915,-40113.44250700906,-40113.42846095418,-40113.41389462391,-40113.39878082365,-40113.383095706246,-40113.36681834134,-40113.349930470315,-40113.33241639614,-40113.31426297115,-40113.29545965455,-40113.27599861818,-40113.25587488323,-40113.23508647402,-40113.21363457658,-40113.191523691836,-40113.16876177375,-40113.14536034406,-40113.12133457566,-40113.09670333778,-40113.07148919664,-40113.04571836656,-40113.01942060748,-40112.99262906603,-40112.965380059075,-40112.93771279995,-40112.909669069195,-40112.8812928337,-40112.85262981932,-40112.823727043564,-40112.794632316625,-40112.76539371979,-40112.73605907092,-40112.706675387424,-40112.67728835686,-40112.64794182511,-40112.61867731127,-40112.58953355731,-40112.56054611938,-40112.531747005865,-40112.50316436561,-40112.47482222821,-40112.44674029605,-40112.41893378651,-40112.391413320816,-40112.36418485492,-40112.337249646414,-40112.31060425054,-40112.284240537985,-40112.25814572605,-40112.232302415374,-40112.206688623264,-40112.18127780592,-40112.15603886101,-40112.130936102876,-40112.105929202684,-40112.08097308617,-40112.056017781724,-40112.03100821156,-40112.00588391907,-40111.980578724484,-40111.95502030154,-40111.92912966627,-40111.9028205688,-40111.87599877756,-40111.84856124394,-40111.82039513336,-40111.79137670666,-40111.76137003256,-40111.73022550888,-40111.697778165566,-40111.66384571806,-40111.62822633305,-40111.59069606166,-40111.55100588582,-40111.508878313085,-40111.46400344192,-40111.41603440266,-40111.36458206026,-40111.309208839404,-40111.24942150204,-40111.18466266925,-40111.11430083043,-40111.037618522416,-40110.95379828328,-40110.861905886806,-40110.76087023667,-40110.649459134256,-40110.52624992049,-40110.38959371002,-40110.237571564234,-40110.067940453446,-40109.87806618995,-40109.664839606914,-40109.42457101317,-40109.15285622733,-40108.84440507437,-40108.49281979121,-40108.09030584635,-40107.62729047632,-40107.091913587465,-40106.46933966873,-40105.740814924444,-40104.882355870934,-40103.86289557687,-40102.641616885885,-40101.16404277305,-40099.35618722332,-40097.11561479734,-40094.2974684729,-40090.69214856387,-40085.9889413777,-40079.715955717824,-40071.14117823013,-40059.11616824016,-40041.86503125179,-40016.85440807412,-39981.34686583872,-39934.94314505831,-39883.317797385615,-39835.040099315665,-39792.147554827985,-39749.907284710396,-39698.45382619518,-39614.379649964445,-39431.537072226645,-39052.707670832046,-38835.48663323379,-38825.77967114183,-38824.95917815698,-38824.81350958484,-38824.76621215006,-38824.73720823351,-38824.71328809157,-38824.69190120136,-38824.67235278372,-38824.65433421102,-38824.63764934593,-38824.62215055359,-38824.607717982144,-38824.594250575996,-38824.58166132365,-38824.56987436593,-38824.558823026484,-38824.54844834836,-38824.53869793924,-38824.529525026635,-38824.52088766939,-38824.51274809378,-38824.505072131884,-38824.497828746426,-38824.490989628306,-38824.48452885605,-38824.47842260736,-38824.47264891472,-38824.4671874579,-38824.462019387465,-38824.45712717411,-38824.452494479556,-38824.448106045566,-38824.443947597756,-38824.44000576212,-38824.436267991885,-38824.43272250317,-38824.42935821797,-38824.42616471339,-38824.42313217609,-38824.42025136124,-38824.41751355522,-38824.414910541775,-38824.41243457088,-38824.41007833017,-38824.40783491859,-38824.40569782194,-38824.40366089022,-38824.40171831642,-38824.39986461687,-38824.39809461268,-38824.39640341253,-38824.39478639636,-38824.39323920017,-38824.39175770163,-38824.39033800663,-38824.38897643648,-38824.387669515985,-38824.3864139621,-38824.38520667326,-38824.384044719314,-38824.382925332015,-38824.38184589603,-38824.38080394046,-38824.37979713085,-38824.37882326158,-38824.377880248736,-38824.37696612338,-38824.376079025096,-38824.37521719602,-38824.37437897512,-38824.373562792774,-38824.37276716575,-38824.371990692336,-38824.3712320478,-38824.370489980145,-38824.36976330598,-38824.36905090676,-38824.3683517251,-38824.36766476139,-38824.36698907055,-38824.36632375897,-38824.36566798164,-38824.36502093944,-38824.3643818765,-38824.36375007781,-38824.36312486697,-38824.36250560395,-38824.36189168303,-38824.36128253094,-38824.360677604986,-38824.36007639128,-38824.35947840319,-38824.35888317977,-38824.35829028428,-38824.35769930282,-38824.35710984306,-38824.35652153298,-38824.35593401971,-38824.35534696847,-38824.3547600615,-38824.3541729971,-38824.3535854887,-38824.35299726399,-38824.352408064085,-38824.35181764277,-38824.351225765735,-38824.350632209906,-38824.35003676276,-38824.349439221696,-38824.34883939348,-38824.3482370937,-38824.34763214614,-38824.3470243824,-38824.34641364137,-38824.34579976874,-38824.34518261668,-38824.34456204333,-38824.34393791249,-38824.343310093245,-38824.34267845957,-38824.34204289009,-38824.34140326772,-38824.340759479346,-38824.34011141563,-38824.339458970644,-38824.3388020417,-38824.33814052906,-38824.33747433571,-38824.33680336719,-38824.33612753129,-38824.335446737954,-38824.33476089902,-38824.33406992805,-38824.333373740184,-38824.332672251905,-38824.33196538096,-38824.33125304614,-38824.330535167166,-38824.32981166449,-38824.32908245924,-38824.32834747301,-38824.32760662775,-38824.32685984564,-38824.32610704898,-38824.325348160026,-38824.324583100926,-38824.32381179354,-38824.32303415939,-38824.32225011949,-38824.32145959427,-38824.32066250347,-38824.31985876599,-38824.31904829983,-38824.31823102197,-38824.31740684825,-38824.31657569325,-38824.31573747024,-38824.31489209104,-38824.314039465884,-38824.31317950337,-38824.312312110334,-38824.3114371917,-38824.31055465047,-38824.30966438748,-38824.3087663014,-38824.307860288594,-38824.30694624294,-38824.30602405582,-38824.30509361592,-38824.30415480912,-38824.303207518424,-38824.302251623754,-38824.30128700189,-38824.30031352627,-38824.29933106694,-38824.29833949031,-38824.297338659104,-38824.296328432145,-38824.29530866425,-38824.294279206035,-38824.29323990375,-38824.29219059917,-38824.29113112935,-38824.29006132647,-38824.288981017686,-38824.28789002486,-38824.286788164434,-38824.2856752472,-38824.28455107807,-38824.283415455844,-38824.28226817303,-38824.28110901556,-38824.279937762534,-38824.278754185994,-38824.27755805063,-38824.276349113505,-38824.27512712374,-38824.27389182224,-38824.27264294134,-38824.27138020453,-38824.27010332603,-38824.26881201044,-38824.267505952426,-38824.26618483624,-38824.26484833534,-38824.26349611195,-38824.262127816604,-38824.260743087674,-38824.25934155083,-38824.257922818564,-38824.25648648962,-38824.25503214838,-38824.253559364304,-38824.25206769129,-38824.25055666692,-38824.24902581189,-38824.247474629155,-38824.245902603165,-38824.24430919911,-38824.242693861954,-38824.24105601562,-38824.23939506193,-38824.23771037966,-38824.23600132344,-38824.23426722262,-38824.23250738008,-38824.23072107097,-38824.22890754133,-38824.22706600677,-38824.22519565086,-38824.223295623626,-38824.22136503983,-38824.219402977214,-38824.21740847459,-38824.21538052985,-38824.21331809782,-38824.211220088015,-38824.20908536224,-38824.206912732014,-38824.20470095586,-38824.20244873638,-38824.20015471723,-38824.197817479755,-38824.19543553952,-38824.19300734255,-38824.1905312613,-38824.18800559042,-38824.1854285421,-38824.18279824125,-38824.1801127202,-38824.17736991303,-38824.174567649585,-38824.17170364899,-38824.16877551263,-38824.16578071669,-38824.16271660408,-38824.15958037574,-38824.156369081305,-38824.15307960896,-38824.14970867457,-38824.146252809885,-38824.142708349806,-38824.13907141853,-38824.13533791468,-38824.13150349498,-38824.127563556736,-38824.123513218656,-38824.11934729997,-38824.11506029785,-38824.11064636256,-38824.106099270546,-38824.101412394855,-38824.096578672936,-38824.091590571166,-38824.08644004617,-38824.08111850217,-38824.07561674415,-38824.06992492635,-38824.0640324953,-38824.05792812715,-38824.05159965822,-38824.04503400811,-38824.03821709446,-38824.031133738274,-38824.023767558545,-38824.01610085479,-38824.008114475946,-38823.99978767372,-38823.99109793831,-38823.98202081382,-38823.972529690844,-38823.96259557248,-38823.952186810115,-38823.94126880433,-38823.92980366551,-38823.91774982787,-38823.90506160946,-38823.89168870928,-38823.87757563101,-38823.86266102082,-38823.84687690443,-38823.83014780524,-38823.81238972211,-38823.79350894054,-38823.77340064534,-38823.751947296245,-38823.72901671876,-38823.704459851804,-38823.678108079745,-38823.64977005888,-38823.619227925716,-38823.58623274544,-38823.550499021774,-38823.511698039874,-38823.46944975033,-38823.42331281707,-38823.37277233872,-38823.31722460073,-38823.25595800854,-38823.188129068934,-38823.11273189407,-38823.02855915306,-38822.93415161807,-38822.82773233497,-38822.70711982497,-38822.56961232812,-38822.411831507714,-38822.22950855751,-38822.01718714279,-38821.767804109404,-38821.47208700522,-38821.117671071705,-38820.68777620126,-38820.159174884364,-38819.498982712146,-38818.6594253966,-38817.56898969608,-38816.11681455477,-38814.123767212746,-38811.285633037674,-38807.05350498056,-38800.35997275626,-38788.925680790824,-38767.279892063045
