pi,0.25002901602011923,0.2502931409948412,0.25000140117669284,0.2496764418083468
means,"[14.990847542337395, 14.94070761973606]","[9.956671317695758, 9.956184741093796]","[0.034370186874872574, 0.051559456373340876]","[4.985471499305064, 5.015982065462429]"
covariances,"[[1.1109358257072692, -0.03796743929278087], [-0.03796743929278087, 1.0481078137118678]]","[[0.9746571288207803, -0.00987816765631823], [-0.00987816765631823, 0.9975096547445492]]","[[0.9089109360911891, 0.007866267863821216], [0.007866267863821216, 1.0325986547400952]]","[[1.0038142505646064, 0.0210322377554435], [0.0210322377554435, 1.0067141732799532]]"
log_likelihoods,-19124.821616330177,-18032.218933926266,-17918.332115509675,-17877.98181617591,-17855.93659547429,-17833.429234566243,-17793.41915193607,-17693.406584395776,-17492.247614650056,-17350.565196620948,-17281.87777478048,-17239.648179164047,-17212.109666296365,-17196.103509933728,-17188.390014681347,-17185.30651937449,-17184.238570663212,-17183.89381399733,-17183.779534796413,-17183.73591467354,-17183.715134322978,-17183.703004558938,-17183.694977949413,-17183.689312601917,-17183.68516458879,-17183.68203895217,-17183.679613482527,-17183.677669125158,-17183.676054771197,-17183.67466585134,-17183.673430065108,-17183.672297527573,-17183.67123389785,-17183.67021558408,-17183.669226405636,-17183.66825527716,-17183.66729460683,-17183.666339191885,-17183.665385459088,-17183.664430943634,-17183.663473932524,-17183.662513220857,-17183.661547945652,-17183.66057747271,-17183.65960131965,-17183.658619103615,-17183.657630505808,-17183.656635247324,-17183.655633072776,-17183.65462373911,-17183.65360700787,-17183.652582639923,-17183.651550391667,-17183.650510012365,-17183.649461242097,-17183.648403810217,-17183.647337434064,-17183.646261817885,-17183.64517665179,-17183.64408161088,-17183.642976354255,-17183.641860524112,-17183.640733744796,-17183.639595621804,-17183.63844574076,-17183.63728366632,-17183.636108941086,-17183.63492108434,-17183.633719590838,-17183.632503929468,-17183.63127354183,-17183.630027840773,-17183.628766208814,-17183.6274879965,-17183.62619252063,-17183.62487906244,-17183.623546865612,-17183.622195134216,-17183.62082303052,-17183.619429672675,-17183.618014132255,-17183.616575431624,-17183.615112541236,-17183.613624376652,-17183.612109795486,-17183.610567594067,-17183.608996503986,-17183.607395188363,-17183.605762237927,-17183.60409616679,-17183.602395408037,-17183.600658308955,-17183.598883126004,-17183.597068019448,-17183.595211047592,-17183.593310160737,-17183.591363194617,-17183.58936786347,-17183.58732175261,-17183.585222310492,-17183.583066840216,-17183.580852490446,-17183.578576245687,-17183.576234915836,-17183.57382512505,-17183.5713432997,-17183.568785655494,-17183.56614818363,-17183.563426635876,-17183.56061650855,-17183.55771302519,-17183.55471111794,-17183.55160540739,-17183.54839018082,-17183.5450593687,-17183.541606519193,-17183.538024770576,-17183.534306821275,-17183.53044489737,-17183.52643071725,-17183.52225545315,-17183.517909689224,-17183.513383375866,-17183.508665779733,-17183.503745429196,-17183.49861005453,-17183.493246522357,-17183.48764076375,-17183.48177769505,-17183.475641130804,-17183.469213687713,-17183.46247667857,-17183.45540999493,-17183.447991977155,-17183.440199270124,-17183.432006662904,-17183.423386910115,-17183.41431053265,-17183.40474559485,-17183.394657454897,-17183.384008484645,-17183.372757754398,-17183.360860677516,-17183.348268608792,-17183.33492838947,-17183.320781830582,-17183.305765124584,-17183.289808173755,-17183.27283382111,-17183.254756967366,-17183.235483553843,-17183.2149093871,-17183.19291877629,-17183.169382947697,-17183.144158193314,-17183.117083700443,-17183.087978997057,-17183.05664093206,-17183.022840089754,-17182.98631651233,-17182.946774571334,-17182.903876786288,-17182.85723633271,-17182.80640790767,-17182.750876522732,-17182.690043661685,-17182.623210061123,-17182.54955412632,-17182.468104654392,-17182.3777060607,-17182.2769736286,-17182.1642353329,-17182.037455373495,-17181.894132464324,-17181.731162776974,-17181.5446526194,-17181.329658403392,-17181.079819440078,-17180.786829466837,-17180.43965986502,-17180.023390626542,-17179.517403606762,-17178.892504750926,-17178.10617976935,-17177.09445575303,-17175.757280023296,-17173.930783040047,-17171.33113504696,-17167.4316601025,-17161.166944415832,-17150.13220499014,-17128.09544388781,-17076.162443187255,-16933.83279531669,-16632.19173178912,-16440.676034988872,-16261.566724588596,-16103.01705461742,-16081.37314316143,-16081.154166838509,-16081.151737950908,-16081.151706509318,-16081.151706095707
