pi,0.25004805195422797,0.2499742940071374,0.24984027350418372,0.25013738053445056
means,"[15.014379821278174, 15.037003559890227]","[9.995936391196087, 9.994064413252735]","[-0.002663276753186561, 0.014196412712088699]","[4.99472407663029, 4.987409822583583]"
covariances,"[[1.0414601532372707, -0.0001231397309500558], [-0.0001231397309500558, 0.9880742064873382]]","[[1.0179190070750888, -0.006047955259787424], [-0.006047955259787424, 0.9421174290764017]]","[[0.9627380130299629, 0.006391809407360973], [0.006391809407360973, 1.0068759223558141]]","[[1.0578911506581115, -0.017545966570957045], [-0.017545966570957045, 1.0222501097261034]]"
log_likelihoods,-46336.00318126593,-43687.333404070225,-43410.34361734008,-43315.596057249946,-43264.31012460263,-43210.56653301984,-43113.334125897694,-42871.431831559894,-42393.619759137575,-42056.37918870429,-41888.228221812744,-41779.387309198624,-41705.72958420609,-41662.27045350062,-41641.76810383536,-41634.1235721078,-41631.76956715667,-41631.12320901091,-41630.948020150136,-41630.892654128154,-41630.867196716936,-41630.849612144346,-41630.83443296151,-41630.820158275754,-41630.80625950318,-41630.79247169198,-41630.778619963705,-41630.76457187408,-41630.750220619244,-41630.73547676515,-41630.72026301731,-41630.70451049881,-41630.688155977936,-41630.67113976176,-41630.653404073135,-41630.63489178192,-41630.61554539512,-41630.595306234594,-41630.57411374897,-41630.551904919426,-41630.52861372852,-41630.50417066837,-41630.478502269434,-41630.45153063509,-41630.423172969306,-41630.393341086616,-41630.361940894436,-41630.328871838356,-41630.29402630049,-41630.25728894101,-41630.21853597132,-41630.17763434675,-41630.13444086354,-41630.08880114387,-41630.04054848787,-41629.98950256907,-41629.93546794385,-41629.87823233976,-41629.81756467983,-41629.75321279063,-41629.68490073002,-41629.61232565598,-41629.53515413929,-41629.453017800115,-41629.36550811907,-41629.27217023657,-41629.172495506944,-41629.06591251351,-41628.95177617213,-41628.82935444939,-41628.697812087375,-41628.55619055026,-41628.403383171564,-41628.238104161566,-41628.058849700385,-41627.863848742505,-41627.651000324746,-41627.417792991604,-41627.16120026979,-41626.87754368552,-41626.56231123357,-41626.20991385123,-41625.81335430994,-41625.36377033263,-41624.84979382321,-41624.25663590327,-41623.56475413687,-41622.7478676028,-41621.76992637695,-41620.58035343466,-41619.10633347418,-41617.23985470521,-41614.81500436044,-41611.56620508663,-41607.04686913149,-41600.459787926404,-41590.27325984242,-41573.26127166789,-41541.79561844468,-41475.062098478214,-41306.94783450272,-40828.00317695951,-39902.495654103404,-39312.57545135209,-38939.94774252271,-38894.62417472499,-38894.40496767727,-38894.40451070349,-38894.40450953226
