pi,0.20001447262977076,0.20000003287583767,0.19999730703019702,0.19977073583791383,0.20021745162628052
means,"[19.96641447990818, 19.991103670541957]","[15.006572819676425, 15.006625579966395]","[0.015226712316393854, 0.05454573880151277]","[4.986058703961155, 4.9686297753748265]","[9.969335030418538, 9.962881523205045]"
covariances,"[[0.9651071481251547, 0.0008497037035315915], [0.0008497037035315915, 0.9089748442796032]]","[[1.1221509088609007, -0.04263086802353267], [-0.04263086802353267, 1.0301425025670867]]","[[0.9417402155375585, -0.00500875343480007], [-0.00500875343480007, 1.0046144633158052]]","[[1.0002493028612056, 0.02320737219632345], [0.02320737219632345, 1.011273312527187]]","[[0.9928301828536227, -0.019354386769721284], [-0.019354386769721284, 1.0175478775414457]]"
log_likelihoods,-29668.274983949646,-28025.548275989706,-27875.78842309732,-27823.48056679506,-27785.874064600364,-27734.782405554022,-27633.830556269928,-27411.693387647352,-27178.165534441636,-27100.912316942497,-27074.578464208524,-27063.76016276081,-27059.228526507828,-27057.421668970153,-27056.733816566197,-27056.475190832763,-27056.37382406189,-27056.329122816376,-27056.30518478474,-27056.28929789152,-27056.276846052326,-27056.26602733579,-27056.256039555592,-27056.246457568523,-27056.237015001418,-27056.227523336325,-27056.217838524048,-27056.20784486134,-27056.197445768397,-27056.186557764482,-27056.17510619879,-27056.16302208725,-27056.150239706687,-27056.13669472706,-27056.12232272951,-27056.107057997426,-27056.09083249511,-27056.07357496714,-27056.05521010514,-27056.035657738154,-27056.0148320089,-27055.992640502147,-27055.96898329288,-27055.94375188196,-27055.916827985086,-27055.888082137397,-27055.85737207099,-27055.82454081582,-27055.789414465224,-27055.751799536054,-27055.711479838763,-27055.66821275463,-27055.62172479427,-27055.571706282608,-27055.51780497881,-27055.45961839293,-27055.396684501102,-27055.3284704843,-27055.254359015842,-27055.17363149248,-27055.085447433048,-27054.988819041777,-27054.882579630525,-27054.76534418634,-27054.635459815687,-27054.49094303445,-27054.329399815328,-27054.147922819262,-27053.942958129497,-27053.710130774303,-27053.444013904133,-27053.137819950425,-27052.782982272955,-27052.368580805058,-27051.880541893857,-27051.300505604122,-27050.6041940644,-27049.75901587771,-27048.72047522478,-27047.426666913805,-27045.78963122402,-27043.681428960303,-27040.911132809477,-27037.185915656257,-27032.044226930007,-27024.741752855956,-27014.069296973612,-26998.13307876284,-26974.41820475796,-26941.290532197087,-26901.851803237278,-26863.911539377983,-26830.908787939952,-26799.526057513605,-26761.645048242553,-26697.210252713954,-26549.312743938557,-26263.47482008983,-26153.322267532698,-26149.216605591155,-26148.597051265922,-26148.349917330193,-26148.200227773363,-26148.087743063068,-26147.99352784465,-26147.910401715246,-26147.835367348634,-26147.767077013195,-26147.704847053843,-26147.64825174569,-26147.596954916753,-26147.55064250977,-26147.5089984461,-26147.471698989793,-26147.43841475597,-26147.408815512837,-26147.38257556673,-26147.359378722467,-26147.338922388568,-26147.320920689377,-26147.305106600146,-26147.291233200915,-26147.279074182126,-26147.268423745736,-26147.259096041173,-26147.25092426208,-26147.243759511854,-26147.237469527518,-26147.231937332755,-26147.227059875,-26147.22274668691,-26147.21891860091,-26147.215506536122,-26147.212450369338,-26147.209697896033,-26147.207203883347,-26147.204929213578,-26147.20284011498,-26147.20090747487,-26147.19910622956,-26147.197414824786,-26147.19581474065,-26147.194290074727,-26147.192827177427,-26147.191414334127,-26147.190041488633,-26147.188700003368,-26147.18738245174,-26147.18608243885,-26147.18479444683,-26147.183513701766,-26147.18223605927,-26147.180957906305,-26147.1796760769,-26147.178387780088,-26147.177090538036,-26147.175782133232,-26147.17446056319,-26147.17312400174,-26147.171770765854,-26147.170399287184,-26147.16900808765,-26147.16759575836,-26147.166160941524,-26147.164702314636,-26147.163218576803,-26147.16170843668,-26147.16017060193,-26147.158603769643,-26147.157006617937,-26147.155377798146,-26147.153715927678,-26147.15201958336,-26147.1502872951,-26147.148517539816,-26147.146708735476,-26147.144859235283,-26147.142967321775,-26147.141031200903,-26147.139048995952,-26147.137018741283,-26147.134938375788,-26147.132805736073,-26147.13061854929,-26147.128374425458,-26147.126070849416,-26147.123705172206,-26147.121274601806,-26147.118776193267,-26147.116206838065,-26147.113563252675,-26147.110841966223,-26147.10803930717,-26147.1051513889,-26147.102174094118,-26147.099103057913,-26147.095933649423,-26147.092660951843,-26147.0892797407,-26147.085784460207,-26147.082169197416,-26147.07842765402,-26147.074553115566,-26147.070538417658,-26147.066375908995,-26147.06205741079,-26147.05757417212,-26147.052916820903,-26147.048075309787,-26147.04303885651,-26147.037795877957,-26147.032333917236,-26147.026639562824,-26147.02069835887,-26147.01449470542,-26147.008011747363,-26147.001231250506,-26146.994133463148,-26146.98669696109,-26146.97889847378,-26146.97071268901,-26146.962112032932,-26146.953066421887,-26146.94354298175,-26146.93350572989,-26146.922915213872,-26146.91172810011,-26146.899896704228,-26146.8873684537,-26146.87408527112,-26146.85998286454,-26146.844989908404,-26146.829027095468,-26146.81200603566,-26146.793827973237,-26146.774382286756,-26146.75354472904,-26146.731175353954,-26146.707116064732,-26146.68118770256,-26146.65318657406,-26146.622880290328,-26146.590002756886,-26146.55424811014,-26146.515263339075,-26146.47263925549,-26146.425899375798,-26146.374486142842,-26146.31774373393,-26146.254896451763,-26146.185021350717,-26146.10701326985,-26146.01953976427,-26145.92098245435,-26145.809359902414,-26145.6822250533,-26145.536527177293,-26145.368423547865,-26145.173018804042,-26144.943998451115,-26144.673104404363,-26144.349369823405,-26143.957978454062,-26143.47852274913,-26142.88227076659,-26142.127743982186,-26141.15330668581,-26139.864235653386,-26138.109075044857,-26135.633951512256,-26131.988360806085,-26126.315142474316,-26116.836463617048,-26099.44883869285,-26063.386233309346,-25976.59715659777,-25745.82872720527,-25289.001156828977,-24963.032771824084,-24888.708169373105,-24887.76959527101,-24887.76343611438,-24887.763381601984,-24887.76338110604
