pi,0.25002054250081357,0.24999989534069558,0.2498228296325608,0.2501567325259295
means,"[15.016783721097092, 15.025432873029633]","[9.997573536460653, 9.992421411537409]","[0.008240960645961509, 0.02188195133266483]","[4.97401068749925, 4.971550451038476]"
covariances,"[[1.055011575893696, -0.008510340519286926], [-0.008510340519286926, 1.005673357504658]]","[[0.9859219421193176, 0.004292282815795606], [0.004292282815795606, 0.9285789632105932]]","[[0.9653856622124833, 0.013349286280599377], [0.013349286280599377, 1.0114066845347485]]","[[1.0619112508065538, -0.02448932784532161], [-0.02448932784532161, 1.0427735231929032]]"
log_likelihoods,-41805.686629704665,-39426.18458334291,-39178.938543853146,-39093.9200252063,-39046.99837894617,-38997.07693713161,-38907.232637871355,-38688.52077989819,-38263.036046093795,-37960.00070317262,-37809.734863043064,-37711.76951986727,-37645.07853683394,-37605.44577772619,-37586.54786648312,-37579.400739945595,-37577.12624655408,-37576.43205053746,-37576.18171739258,-37576.0535819177,-37575.964789673584,-37575.89384456774,-37575.83418924901,-37575.78297917759,-37575.73844511834,-37575.69925929521,-37575.66436137525,-37575.63289171727,-37575.60415234469,-37575.577577631004,-37575.552710372576,-37575.52918192535,-37575.5066957379,-37575.485013772966,-37575.463945373645,-37575.44333818013,-37575.42307075149,-37575.40304659493,-37575.38318934906,-37575.36343890843,-37575.34374831265,-37575.324081253435,-37575.30441008004,-37575.284714205154,-37575.264978831634,-37575.245193935945,-37575.2253534562,-37575.20545464281,-37575.18549753853,-37575.16548456008,-37575.14542016035,-37575.125310553296,-37575.105163487635,-37575.08498805824,-37575.0647945462,-37575.04459428026,-37575.02439951432,-37575.004223315875,-37574.984079462614,-37574.963982343776,-37574.94394686472,-37574.92398835279,-37574.90412246387,-37574.88436508858,-37574.86473225814,-37574.845240049675,-37574.82590449137,-37574.80674146772,-37574.787766625595,-37574.76899528177,-37574.750442332734,-37574.7321221677,-37574.71404858553,-37574.6962347167,-37574.67869295093,-37574.66143487142,-37574.644471196436,-37574.62781172863,-37574.611465312904,-37574.59543980296,-37574.579742036905,-37574.56437782182,-37574.54935192758,-37574.53466808924,-37574.52032901815,-37574.506336421124,-37574.492691026986,-37574.47939262011,-37574.466440080105,-37574.45383142679,-37574.44156386991,-37574.42963386227,-37574.41803715609,-37574.40676886114,-37574.39582350429,-37574.38519508946,-37574.37487715741,-37574.3648628447,-37574.35514494107,-37574.34571594505,-37574.3365681171,-37574.32769352998,-37574.31908411617,-37574.310731711914,-37574.302628098085,-37574.29476503725,-37574.28713430744,-37574.27972773236,-37574.27253720809,-37574.26555472634,-37574.25877239475,-37574.252182453754,-37574.245777290795,-37574.239549451646,-37574.23349164928,-37574.22759677032,-37574.22185787941,-37574.21626822166,-37574.21082122322,-37574.205510490414,-37574.20032980741,-37574.19527313266,-37574.19033459436,-37574.185508484836,-37574.18078925424,-37574.17617150364,-37574.17164997729,-37574.16721955466,-37574.16287524204,-37574.15861216362,-37574.15442555262,-37574.15031074193,-37574.14626315479,-37574.14227829516,-37574.13835173806,-37574.13447911991,-37574.13065612846,-37574.12687849305,-37574.12314197446,-37574.11944235478,-37574.11577542717,-37574.11213698544,-37574.10852281353,-37574.10492867467,-37574.101350300494,-37574.09778337974,-37574.09422354668,-37574.09066636921,-37574.08710733656,-37574.08354184644,-37574.07996519175,-37574.07637254661,-37574.07275895174,-37574.069119299165,-37574.06544831589,-37574.061740546764,-37574.05799033628,-37574.05419180912,-37574.050338849454,-37574.046425078865,-37574.04244383245,-37574.0383881334,-37574.034250665485,-37574.03002374338,-37574.02569928052,-37574.02126875453,-37574.0167231693,-37574.0120530142,-37574.00724821935,-37574.00229810702,-37573.997191338465,-37573.99191585579,-37573.98645881831,-37573.98080653255,-37573.97494437554,-37573.968856710184,-37573.96252679205,-37573.955936666505,-37573.94906705484,-37573.94189722819,-37573.934404867665,-37573.92656590887,-37573.91835436889,-37573.90974215324,-37573.90069884031,-37573.89119144,-37573.88118412322,-37573.870637917804,-37573.859510366325,-37573.84775514,-37573.835321602244,-37573.82215431417,-37573.808192472876,-37573.793369272425,-37573.777611174104,-37573.76083707208,-37573.74295733587,-37573.72387270929,-37573.70347303995,-37573.68163580939,-37573.65822442684,-37573.63308624229,-37573.60605022461,-37573.57692423861,-37573.54549183973,-37573.51150848582,-37573.47469704157,-37573.43474242013,-37573.39128516691,-37573.34391373948,-37573.29215517092,-37573.23546371679,-37573.17320697122,-37573.10464878412,-37573.028928106185,-37572.94503261049,-37572.85176555811,-37572.74770384983,-37572.631144470695,-37572.50003549529,-37572.351886333636,-37572.18364973891,-37571.99156491757,-37571.77094632483,-37571.51589548482,-37571.21890194137,-37570.870281663134,-37570.45737244104,-37569.96335805682,-37569.365511570475,-37568.63250496049,-37567.720172159636,-37566.564621095575,-37565.07062118757,-37563.091184904035,-37560.3898595326,-37556.56693587436,-37550.9047061977,-37542.01469685987,-37526.94730349076,-37498.64907661342,-37437.59353694803,-37280.93443827859,-36836.06701976225,-36079.531132487,-35628.603634104256,-35207.32032821419,-35106.09605082165,-35105.11113006387,-35105.10975726806,-35105.10975463218
