pi,0.33354877484840467,0.33321327548007246,0.3332379496715227
means,"[9.995471007188153, 10.00330738445386]","[4.986138586325309, 4.946854360747242]","[0.00741824057642433, 0.04477039819118796]"
covariances,"[[1.0790218800505604, -0.029093539275142966], [-0.029093539275142966, 1.0115084914107657]]","[[1.0058692477854456, -0.011497130803150117], [-0.011497130803150117, 1.022296368849016]]","[[0.9423517340299691, 0.014910074247609801], [0.014910074247609801, 1.002790621296028]]"
log_likelihoods,-21806.696876479517,-20648.670750315636,-20497.533524301387,-20431.324390250844,-20397.999463038363,-20383.02206575658,-20377.489036473606,-20375.777539645795,-20375.304475614823,-20375.176168146216,-20375.136511822177,-20375.1194769865,-20375.108827120217,-20375.100547932885,-20375.093548000445,-20375.087441759086,-20375.082027983502,-20375.077165742896,-20375.07274293434,-20375.068666595038,-20375.064858603015,-20375.061252940588,-20375.057793592718,-20375.054432824512,-20375.051129743108,-20375.04784909084,-20375.04456023131,-20375.04123629717,-20375.037853473317,-20375.03439039351,-20375.030827631614,-20375.02714727178,-20375.02333254397,-20375.01936751382,-20375.015236817053,-20375.010925430503,-20375.006418472993,-20375.00170103018,-20374.996757998604,-20374.99157394474,-20374.98613297548,-20374.980418617044,-20374.97441369958,-20374.968100245187,-20374.961459357226,-20374.954471109046,-20374.94711443033,-20374.939366989434,-20374.93120507009,-20374.922603440777,-20374.913535215328,-20374.903971702774,-20374.89388224487,-20374.883234039204,-20374.871991945773,-20374.860118274708,-20374.847572552415,-20374.834311263217,-20374.820287563056,-20374.805450961423,-20374.789746967013,-20374.773116692082,-20374.75549640948,-20374.736817055556,-20374.717003670936,-20374.69597476971,-20374.673641626214,-20374.649907466275,-20374.624666547832,-20374.597803112665,-20374.569190187773,-20374.538688210683,-20374.50614344773,-20374.47138616825,-20374.43422852979,-20374.394462119668,-20374.351855086577,-20374.306148780448,-20374.2570538004,-20374.204245326102,-20374.147357577895,-20374.085977211478,-20374.019635402714,-20373.947798312398,-20373.869855534827,-20373.785106020634,-20373.69274081341,-20373.59182173694,-20373.48125489525,-20373.359757471964,-20373.225815795733,-20373.07763191133,-20372.913054867004,-20372.729491452264,-20372.52378897342,-20372.29207948388,-20372.029570129154,-20371.730256999348,-20371.386528565734,-20370.988606781837,-20370.523744639544,-20369.975050072084,-20369.319722122273,-20368.526336484232,-20367.55054437098,-20366.32802695405,-20364.762505272352,-20362.704412710587,-20359.910941249967,-20355.966457231014,-20350.11187289674,-20340.84467894357,-20324.87357613891,-20294.004704066927,-20224.472733551225,-20038.80982791149,-19561.81565472954,-19073.905664142247,-18740.833348733922,-18546.111590595425,-18535.670150430095,-18535.61717704367,-18535.61693911489,-18535.61693799908
