pi,0.20001968295442818,0.20015979847449253,0.20000663735475044,0.1997994886563136,0.200014392560015
means,"[19.984897104206617, 19.95693652040194]","[14.98369243505406, 14.960455073409767]","[0.04867266120422744, 0.049546109796753564]","[4.975067533474684, 5.031612407444972]","[9.965904487890157, 9.956047242587754]"
covariances,"[[1.1036807218516547, -0.03656209567504805], [-0.03656209567504805, 1.030154767168891]]","[[0.9890275013216409, -0.017429113783008484], [-0.017429113783008484, 1.060600450121094]]","[[0.9208668141447451, -0.014559033552103988], [-0.014559033552103988, 1.0374698704447771]]","[[0.9573188217772588, 0.04897673719593204], [0.04897673719593204, 0.9782360364392705]]","[[1.0269926843068138, -0.0036591026627283423], [-0.0036591026627283423, 1.0004956921460957]]"
log_likelihoods,-20135.89283070108,-19024.03828722448,-18923.217305452723,-18886.086879157876,-18858.787377570254,-18820.875197974434,-18742.666028125244,-18572.69353792308,-18427.950353652734,-18383.471483915935,-18368.34486650303,-18362.356859813524,-18359.923009253533,-18358.967167623094,-18358.602470082784,-18358.46133213304,-18358.401536511734,-18358.370851580316,-18358.35064846901,-18358.334328332196,-18358.319498137156,-18358.305220758302,-18358.29106497444,-18358.2767794743,-18358.26218045654,-18358.247111884928,-18358.2314304322,-18358.214998858948,-18358.19768232045,-18358.179345721728,-18358.159851461525,-18358.13905731422,-18358.1168143334,-18358.092964702777,-18358.06733946976,-18358.03975609506,-18358.010015743574,-18357.97790022993,-18357.943168515863,-18357.905552635257,-18357.864752894922,-18357.820432163135,-18357.77220901094,-18357.71964940983,-18357.66225660898,-18357.5994587097,-18357.530593314426,-18357.454888441447,-18357.37143864571,-18357.279174947507,-18357.17682670698,-18357.062872943265,-18356.935479703556,-18356.792418826735,-18356.630961640883,-18356.447738517258,-18356.238551351227,-18355.998120285345,-18355.71973724658,-18355.394785358316,-18355.012062023372,-18354.556809363094,-18354.00929988437,-18353.34273205355,-18352.52003170396,-18351.488879702527,-18350.173801160825,-18348.463292481156,-18346.188464905517,-18343.087245207378,-18338.745082357113,-18332.503434802104,-18323.35175951306,-18309.9403572814,-18291.186477533585,-18267.980225198306,-18243.913271160367,-18221.62588981544,-18200.31927970541,-18176.560627075312,-18141.79380868455,-18071.22978431741,-17914.874865053578,-17784.93441647211,-17776.379212271153,-17775.634622413203,-17775.437262067153,-17775.36180853568,-17775.32739515551,-17775.31012466656,-17775.300900854974,-17775.295668670144,-17775.2924785391,-17775.29036355479,-17775.288836750507,-17775.287649325775,-17775.286671440444,-17775.285833033548,-17775.285094386643,-17775.284431452186,-17775.283828507487,-17775.28327444352,-17775.282760860646,-17775.282281066633,-17775.281829529147,-17775.281401560296,-17775.280993122386,-17775.280600699098,-17775.280221203713,-17775.27985190959,-17775.279490395005,-17775.279134497927,-17775.27878227805,-17775.27843198456,-17775.27808202839,-17775.27773095818,-17775.277377439394,-17775.27702023605,-17775.276658194663,-17775.27629023009,-17775.275915312974,-17775.275532458607,-17775.275140716916,-17775.274739163477,-17775.274326891387,-17775.273903003796,-17775.273466607105,-17775.27301680459,-17775.272552690494,-17775.272073344393,-17775.271577825824,-17775.271065169134,-17775.270534378382,-17775.269984422393,-17775.269414229777,-17775.268822683924,-17775.26820861794,-17775.267570809483,-17775.26690797537,-17775.266218766046,-17775.26550175978,-17775.264755456563,-17775.26397827168,-17775.263168528894,-17775.26232445321,-17775.261444163174,-17775.26052566261,-17775.259566831784,-17775.258565417975,-17775.257519025232,-17775.256425103496,-17775.25528093674,-17775.254083630316,-17775.252830097197,-17775.251517043187,-17775.250140950935,-17775.248698062656,-17775.24718436144,-17775.245595551092,-17775.243927034306,-17775.242173889063,-17775.240330843168,-17775.238392246687,-17775.23635204222,-17775.23420373279,-17775.231940347203,-17775.229554402744,-17775.227037864985,-17775.224382104614,-17775.221577851007,-17775.218615142618,-17775.215483273798,-17775.212170738145,-17775.208665168302,-17775.204953272085,-17775.20102076519,-17775.196852300534,-17775.19243139448,-17775.1877403505,-17775.182760180767,-17775.177470526563,-17775.171849578575,-17775.16587399847,-17775.15951884363,-17775.15275749722,-17775.145561606358,-17775.137901031805,-17775.129743813108,-17775.121056154094,-17775.111802434105,-17775.101945251517,-17775.091445506667,-17775.080262532174,-17775.06835427945,-17775.055677570374,-17775.042188423555,-17775.02784246424,-17775.01259542588,-17774.9964037501,-17774.979225288887,-17774.96102010947,-17774.94175139747,-17774.921386447877,-17774.899897726384,-17774.877263975482,-17774.853471331437,-17774.828514409655,-17774.802397308868,-17774.775134478696,-17774.746751392842,-17774.717284971233,-17774.686783700316,-17774.65530741172,-17774.622926694974,-17774.58972194005,-17774.555782027597,-17774.521202708293,-17774.486084733937,-17774.45053182094,-17774.414648538437,-17774.378538217876,-17774.342300977383,-17774.3060319433,-17774.26981973404,-17774.233745249745,-17774.197880787677,-17774.162289480046,-17774.127025030248,-17774.09213170699,-17774.057644544282,-17774.023589689255,-17773.989984838816,-17773.956839709535,-17773.924156491492,-17773.891930245547,-17773.860149212614,-17773.828795012494,-17773.79784271802,-17773.767260796165,-17773.73701091246,-17773.707047596825,-17773.677317769136,-17773.64776012059,-17773.61830434303,-17773.588870192416,-17773.5593663651,-17773.52968915612,-17773.499720857042,-17773.469327837105,-17773.438358234132,-17773.40663916037,-17773.373973301546,-17773.340134753,-17773.304863891553,-17773.267861022832,-17773.22877846426,-17773.187210617212,-17773.142681435544,-17773.094628496438,-17773.042382598145,-17772.985141412453,-17772.92193515276,-17772.851581397987,-17772.77262500778,-17772.683257268967,-17772.581205692117,-17772.463581679818,-17772.32666668539,-17772.165606869406,-17771.973968804115,-17771.74307930204,-17771.461021238814,-17771.11106539427,-17770.669147612534,-17770.099670242576,-17769.34823789516,-17768.32851095862,-17766.897131560614,-17764.80285078233,-17761.575453663907,-17756.261072262758,-17746.72273337923,-17727.563605906093,-17683.28024793669,-17566.560378264723,-17280.97534857359,-16969.37114226898,-16929.844076656816,-16929.679829646084,-16929.678941559585,-16929.678932863637
