pi,0.2501266384499732,0.25002076298087644,0.24994499111216123,0.24990760745698892
means,"[9.979882854477331, 10.002480295963643]","[15.035929282697456, 15.003361723136425]","[0.016424532370288392, 0.039416585236725074]","[4.97442084782732, 4.945335050239404]"
covariances,"[[1.0207027044713035, -0.008802992599218904], [-0.008802992599218904, 0.94425320598769]]","[[1.0601581682933099, 0.00449013328775298], [0.00449013328775298, 0.9848769242277507]]","[[0.956468699033325, 0.009416739007680489], [0.009416739007680489, 1.019805772554562]]","[[1.0338272304438858, -0.02318890780235157], [-0.02318890780235157, 1.0166733334020277]]"
log_likelihoods,-37258.091287789954,-35141.63462779039,-34921.99306161478,-34845.553611971656,-34803.055410956855,-34757.40780631715,-34674.364412957984,-34471.6644574238,-34081.678363516134,-33809.488502450804,-33677.080703838,-33592.0839510444,-33534.80962860587,-33500.98167393368,-33485.00738142711,-33479.098109521816,-33477.307478728224,-33476.821544161,-33476.68673768316,-33476.63968384894,-33476.61511493267,-33476.59748223904,-33476.58294368523,-33476.57036515775,-33476.55926385708,-33476.549341167505,-33476.54037267648,-33476.53217833403,-33476.52461112931,-33476.517550580815,-33476.510897930595,-33476.504572270336,-33476.49850734828,-33476.49264892866,-33476.48695261129,-33476.481382035054,-33476.47590740127,-33476.470504262135,-33476.46515252844,-33476.45983565798,-33476.45453999235,-33476.44925421575,-33476.44396891334,-33476.43867621119,-33476.433369482824,-33476.428043109976,-33476.42269228757,-33476.41731286472,-33476.41190121502,-33476.40645413057,-33476.40096873552,-33476.395442415225,-33476.389872758205,-33476.38425750852,-33476.3785945266,-33476.37288175689,-33476.367117201145,-33476.361298896125,-33476.355424895184,-33476.34949325271,-33476.34350201106,-33476.33744918961,-33476.331332775364,-33476.325150715,-33476.31890090806,-33476.31258120114,-33476.306189382914,-33476.299723179894,-33476.29318025294,-33476.28655819426,-33476.27985452514,-33476.27306669419,-33476.266192076175,-33476.259227971415,-33476.25217160593,-33476.24502013207,-33476.237770629996,-33476.23042010983,-33476.22296551464,-33476.215403724265,-33476.207731560135,-33476.19994579104,-33476.19204313998,-33476.18402029214,-33476.17587390409,-33476.16760061426,-33476.15919705469,-33476.15065986414,-33476.1419857027,-33476.13317126771,-33476.12421331117,-33476.11510865858,-33476.10585422922,-33476.096447057644,-33476.08688431658,-33476.07716334085,-33476.0672816524,-33476.0572369861,-33476.04702731609,-33476.03665088264,-33476.02610621891,-33476.01539217749,-33476.00450795642,-33475.99345312397,-33475.982227642155,-33475.970831888226,-33475.95926667385,-33475.947533261366,-33475.93563337674,-33475.92356921873,-33475.9113434637,-33475.89895926586,-33475.886420252406,-33475.87373051327,-33475.860894585334,-33475.8479174308,-33475.83480440985,-33475.821561247365,-33475.80819399411,-33475.79470898255,-33475.78111277752,-33475.76741212255,-33475.75361388205,-33475.739724980405,-33475.72575233844,-33475.71170280831,-33475.697583107576,-33475.68339975336,-33475.669158997654,-33475.65486676445,-33475.640528589836,-33475.62614956552,-33475.61173428686,-33475.59728680585,-33475.58281058957,-33475.56830848454,-33475.553782687355,-33475.53923472157,-33475.52466542098,-33475.510074919126,-33475.495462644874,-33475.480827323605,-33475.46616698373,-33475.4514789679,-33475.43675994842,-33475.422005946224,-33475.40721235273,-33475.392373953895,-33475.3774849559,-33475.36253901164,-33475.34752924755,-33475.33244829,-33475.31728829087,-33475.302040951625,-33475.286697545496,-33475.27124893736,-33475.25568560091,-33475.23999763283,-33475.22417476371,-33475.20820636537,-33475.19208145461,-33475.175788692955,-33475.159316382495,-33475.142652457595,-33475.12578447234,-33475.10869958372,-33475.09138453036,-33475.07382560673,-33475.05600863274,-33475.03791891848,-33475.01954122411,-33475.000859714455,-33474.981857908286,-33474.96251862185,-33474.94282390636,-33474.922754979,-33474.90229214693,-33474.88141472382,-33474.86010093816,-33474.8383278325,-33474.81607115296,-33474.79330522777,-33474.77000283366,-33474.74613504889,-33474.721671091225,-33474.696578139046,-33474.67082113358,-33474.64436255982,-33474.61716220344,-33474.58917688036,-33474.560360135576,-33474.53066190664,-33474.50002814717,-33474.468400404425,-33474.435715344334,-33474.4019042161,-33474.36689224723,-33474.33059795802,-33474.292932383,-33474.25379818388,-33474.2130886363,-33474.170686468926,-33474.12646252918,-33474.08027424505,-33474.03196384561,-33473.98135629578,-33473.92825689021,-33473.87244844006,-33473.81368797031,-33473.751702826936,-33473.686186068255,-33473.61679098415,-33473.543124546915,-33473.46473954593,-33473.3811250913,-33473.29169508363,-33473.19577413075,-33473.09258023706,-33472.981203382755,-33472.86057882672,-33472.729453578955,-33472.58634395003,-33472.42948133125,-33472.25674228915,-33472.06555752082,-33471.85279197567,-33471.61458513391,-33471.34613544694,-33471.041405312964,-33470.692711053394,-33470.290143379534,-33469.82073289444,-33469.26722341692,-33468.606226878386,-33467.805375522286,-33466.818796714826,-33465.579680529976,-33463.98760078438,-33461.88591721396,-33459.01938528627,-33454.949690124246,-33448.87456453925,-33439.205248464634,-33422.46955722265,-33390.07998929034,-33317.395529360074,-33123.91662809993,-32596.40126227629,-31912.105004860598,-31474.669865862543,-31286.62825389085,-31282.15968075817,-31282.153746448053,-31282.153735683627,-31282.153735651158
