pi,0.3335441915733909,0.33336253044900754,0.3330932779776014
means,"[4.988263543473394, 4.990515640252035]","[10.020128766347279, 9.993986140247188]","[-0.0037875238656753752, 0.007918591361607285]"
covariances,"[[1.0515635409142627, -0.028561013158755085], [-0.028561013158755085, 1.0055520796173734]]","[[1.0364596786199722, 0.007547715991452994], [0.007547715991452994, 0.9651891680642977]]","[[0.9651941314742265, 0.008677533977524916], [0.008677533977524916, 1.0077868859090766]]"
log_likelihoods,-34319.43609529598,-32488.52706976491,-32247.214439240473,-32141.520436626706,-32088.391034590513,-32064.497798442124,-32055.69646030951,-32052.974486656523,-32052.207198490138,-32051.984411281795,-32051.906013288484,-32051.86847078403,-32051.84519324794,-32051.828629919433,-32051.81605668493,-32051.806142401663,-32051.7980788169,-32051.79132297101,-32051.78549597775,-32051.78032959464,-32051.77563250545,-32051.771267418095,-32051.76713512027,-32051.76316329645,-32051.759298666246,-32051.75550145092,-32051.751741472894,-32051.74799540046,-32051.744244795518,-32051.740474724946,-32051.736672767867,-32051.732828301756,-32051.728931985264,-32051.7249753805,-32051.72095067436,-32051.716850470675,-32051.712667633168,-32051.708395165122,-32051.70402611552,-32051.699553504637,-32051.694970263772,-32051.69026918531,-32051.685442880305,-32051.680483741737,-32051.675383911577,-32051.670135250737,-32051.66472931086,-32051.659157307364,-32051.653410092997,-32051.647478131687,-32051.641351472055,-32051.635019720496,-32051.628472013363,-32051.621696988088,-32051.614682753054,-32051.607416855833,-32051.59988624981,-32051.592077258654,-32051.583975538757,-32051.5755660392,-32051.56683295898,-32051.5577597014,-32051.548328825214,-32051.538521992217,-32051.528319911056,-32051.51770227678,-32051.506647705795,-32051.495133665863,-32051.483136400377,-32051.470630846783,-32051.45759054822,-32051.443987557883,-32051.42979233524,-32051.41497363354,-32051.399498377352,-32051.383331529338,-32051.366435945016,-32051.34877221428,-32051.33029848811,-32051.31097028888,-32051.290740302466,-32051.269558149907,-32051.247370136356,-32051.224118974536,-32051.199743479614,-32051.174178231988,-32051.14735320397,-32051.119193345712,-32051.089618125057,-32051.058541015285,-32051.02586892365,-32050.991501552548,-32050.955330683923,-32050.91723937592,-32050.877101058868,-32050.834778515753,-32050.790122729522,-32050.742971576507,-32050.69314834158,-32050.640460026116,-32050.584695414364,-32050.52562285709,-32050.462987723546,-32050.396509462356,-32050.32587820028,-32050.25075079199,-32050.17074621565,-32050.085440184965,-32049.9943588191,-32049.896971173966,-32049.792680390525,-32049.680813154853,-32049.560607085357,-32049.431195560377,-32049.29158936525,-32049.14065436163,-32048.97708414713,-32048.799366359108,-32048.60574085133,-32048.394147391427,-32048.16215972494,-32047.906901732942,-32047.624939827874,-32047.31214346904,-32046.96350239407,-32046.572884324072,-32046.132709657606,-32045.633508635798,-32045.06330933327,-32044.406777680637,-32043.643986703228,-32042.74861897131,-32041.68528116104,-32040.40538913577,-32038.840679757785,-32036.892643121802,-32034.414658776033,-32031.180476323563,-32026.8257543394,-32020.73306612274,-32011.78932642618,-31997.82926880399,-31974.22228751913,-31929.821195777997,-31833.674172897652,-31587.310628312756,-30905.48022093455,-29797.94108394011,-29240.237394025542,-29152.84173097365,-29152.201870213976,-29152.200569801164,-29152.20056709359
