pi,0.33354361539436744,0.3333551673541951,0.33310121725143715
means,"[4.981651136665709, 4.985783610981774]","[9.993327196862532, 9.986220153671919]","[0.004692558034308057, 0.011452252431423837]"
covariances,"[[1.0626771677821885, -0.021017093262408637], [-0.021017093262408637, 1.0404424865353457]]","[[0.9821885426069878, 0.0008700900870580254], [0.0008700900870580254, 0.9252590963837217]]","[[0.9714782695773404, 0.0023036490229884025], [0.0023036490229884025, 1.0098502173472952]]"
log_likelihoods,-30115.830460426114,-28508.235075592485,-28296.566700126416,-28202.82536571553,-28155.29889408085,-28133.943972127177,-28126.076499884366,-28123.576518811227,-28122.789018406536,-28122.487711223068,-28122.32852474738,-28122.221280690675,-28122.140836596314,-28122.07824392363,-28122.028933618225,-28121.989867641933,-28121.958785051334,-28121.93394215912,-28121.913981075635,-28121.897841876595,-28121.8846968157,-28121.873899377013,-28121.864944524787,-28121.857437665778,-28121.851070425157,-28121.845601746318,-28121.840843144248,-28121.836647196535,-28121.832898557193,-28121.829506937214,-28121.826401618862,-28121.823527167322,-28121.820840077624,-28121.81830615272,-28121.815898453544,-28121.813595696687,-28121.811381002415,-28121.80924091694,-28121.807164649377,-28121.805143476646,-28121.803170279607,-28121.801239181943,-28121.799345269043,-28121.797484369497,-28121.795652885172,-28121.793847659275,-28121.79206587383,-28121.790304970044,-28121.78856258643,-28121.786836510564,-28121.785124641563,-28121.783424960617,-28121.781735507975,-28121.780054364615,-28121.778379637726,-28121.77670944899,-28121.775041925022,-28121.773375189478,-28121.771707356347,-28121.770036524238,-28121.768360771286,-28121.76667815063,-28121.764986686154,-28121.763284368615,-28121.761569151786,-28121.75983894881,-28121.75809162851,-28121.756325011815,-28121.754536868015,-28121.75272491105,-28121.750886795704,-28121.74902011366,-28121.747122389475,-28121.745191076385,-28121.743223551977,-28121.741217113715,-28121.739168974218,-28121.73707625644,-28121.734935988534,-28121.732745098598,-28121.730500409074,-28121.728198631023,-28121.725836357968,-28121.7234100596,-28121.72091607505,-28121.718350605915,-28121.71570970888,-28121.71298928795,-28121.710185086373,-28121.707292678002,-28121.70430745829,-28121.70122463473,-28121.698039216823,-28121.69474600543,-28121.691339581565,-28121.68781429449,-28121.684164249145,-28121.680383292813,-28121.676465001023,-28121.672402662494,-28121.668189263255,-28121.663817469707,-28121.659279610587,-28121.65456765783,-28121.6496732061,-28121.644587451025,-28121.639301165887,-28121.633804676832,-28121.628087836223,-28121.622139994193,-28121.615949968196,-28121.609506010245,-28121.60279577186,-28121.59580626633,-28121.588523828086,-28121.580934069112,-28121.573021831726,-28121.564771137833,-28121.556165134014,-28121.547186032098,-28121.537815044932,-28121.528032316648,-28121.517816847037,-28121.507146409407,-28121.49599746109,-28121.484345046112,-28121.472162688944,-28121.45942227845,-28121.446093940955,-28121.432145901323,-28121.417544330427,-28121.40225317778,-28121.38623398725,-28121.369445694152,-28121.35184440124,-28121.33338313117,-28121.31401155238,-28121.293675675086,-28121.272317513452,-28121.24987470962,-28121.226280114286,-28121.201461318164,-28121.175340127185,-28121.1478319738,-28121.11884525488,-28121.088280585638,-28121.056029956693,-28121.02197577974,-28120.985989804103,-28120.9479318837,-28120.907648569933,-28120.864971501374,-28120.819715555597,-28120.771676721473,-28120.72062964201,-28120.6663247671,-28120.60848504296,-28120.546802048975,-28120.480931472153,-28120.410487785048,-28120.33503796025,-28120.254094014475,-28120.167104123386,-28120.07344198117,-28119.972393992386,-28119.863143770242,-28119.744753266074,-28119.61613965709,-28119.47604685393,-28119.323010131448,-28119.155311897397,-28118.970925939564,-28118.76744655287,-28118.541997622924,-28118.291114850326,-28118.01059155957,-28117.695274510093,-28117.33879011538,-28116.933172346107,-28116.46834946434,-28115.93142442125,-28115.30564771188,-28114.568921828068,-28113.691574998564,-28112.63296408826,-28111.336144217836,-28109.719236003155,-28107.660929779897,-28104.975109864434,-28101.364229694635,-28096.32863628953,-28088.977936238694,-28077.605614728916,-28058.63189272964,-28023.652514456786,-27950.036999548327,-27767.47197463485,-27255.79640693516,-26205.949822474624,-25628.45290407922,-25559.66417455673,-25559.14685106495,-25559.145204905217,-25559.145199222367
