pi,0.25012663844997307,0.25002076298087644,0.24994499111216137,0.24990760745698884
means,"[9.979882854477337, 10.002480295963649]","[15.035929282697454, 15.003361723136424]","[0.01642453237028839, 0.039416585236725005]","[4.974420847827325, 4.945335050239405]"
covariances,"[[1.0207027044713042, -0.008802992599218941], [-0.008802992599218941, 0.94425320598769]]","[[1.0601581682933092, 0.004490133287753008], [0.004490133287753008, 0.9848769242277502]]","[[0.9564686990333248, 0.009416739007680426], [0.009416739007680426, 1.0198057725545613]]","[[1.0338272304438865, -0.023188907802351524], [-0.023188907802351524, 1.0166733334020281]]"
log_likelihoods,-37258.091287789954,-35141.63462779039,-34921.99306161478,-34845.553611971656,-34803.055410956855,-34757.40780631715,-34674.364412957984,-34471.664457423816,-34081.67836351615,-33809.488502450804,-33677.080703838,-33592.08395104439,-33534.80962860587,-33500.98167393368,-33485.0073814271,-33479.09810952181,-33477.307478728224,-33476.82154416101,-33476.68673768316,-33476.63968384893,-33476.61511493266,-33476.597482239034,-33476.58294368523,-33476.57036515776,-33476.55926385708,-33476.5493411675,-33476.54037267647,-33476.53217833403,-33476.52461112931,-33476.51755058081,-33476.510897930595,-33476.50457227034,-33476.498507348275,-33476.49264892866,-33476.48695261129,-33476.48138203506,-33476.475907401276,-33476.470504262135,-33476.46515252844,-33476.45983565797,-33476.45453999235,-33476.44925421575,-33476.44396891334,-33476.43867621119,-33476.433369482824,-33476.428043109976,-33476.42269228757,-33476.41731286472,-33476.41190121501,-33476.406454130556,-33476.40096873553,-33476.39544241523,-33476.3898727582,-33476.384257508515,-33476.3785945266,-33476.3728817569,-33476.36711720114,-33476.36129889613,-33476.35542489519,-33476.34949325271,-33476.34350201106,-33476.3374491896,-33476.33133277536,-33476.32515071499,-33476.31890090806,-33476.31258120114,-33476.30618938291,-33476.299723179894,-33476.293180252935,-33476.28655819426,-33476.27985452515,-33476.27306669419,-33476.266192076175,-33476.259227971415,-33476.25217160593,-33476.24502013206,-33476.237770629996,-33476.23042010983,-33476.22296551464,-33476.215403724265,-33476.207731560135,-33476.19994579104,-33476.19204313998,-33476.18402029213,-33476.17587390409,-33476.16760061426,-33476.15919705469,-33476.15065986414,-33476.14198570271,-33476.13317126771,-33476.12421331117,-33476.11510865859,-33476.10585422922,-33476.09644705766,-33476.08688431658,-33476.07716334085,-33476.06728165241,-33476.0572369861,-33476.04702731609,-33476.03665088265,-33476.02610621891,-33476.0153921775,-33476.00450795642,-33475.99345312397,-33475.98222764215,-33475.970831888226,-33475.959266673846,-33475.947533261366,-33475.93563337674,-33475.92356921873,-33475.9113434637,-33475.89895926586,-33475.8864202524,-33475.873730513274,-33475.860894585334,-33475.84791743081,-33475.83480440985,-33475.82156124736,-33475.80819399411,-33475.79470898255,-33475.78111277752,-33475.76741212255,-33475.75361388205,-33475.739724980405,-33475.72575233844,-33475.711702808316,-33475.697583107576,-33475.68339975336,-33475.66915899765,-33475.65486676446,-33475.640528589836,-33475.62614956552,-33475.61173428686,-33475.59728680585,-33475.58281058956,-33475.568308484544,-33475.553782687355,-33475.53923472157,-33475.52466542098,-33475.510074919126,-33475.49546264487,-33475.48082732361,-33475.46616698374,-33475.4514789679,-33475.43675994842,-33475.422005946224,-33475.40721235273,-33475.3923739539,-33475.3774849559,-33475.36253901164,-33475.34752924755,-33475.33244828999,-33475.31728829087,-33475.302040951625,-33475.2866975455,-33475.27124893736,-33475.255685600896,-33475.23999763283,-33475.2241747637,-33475.20820636537,-33475.19208145461,-33475.17578869295,-33475.159316382495,-33475.14265245759,-33475.125784472344,-33475.10869958372,-33475.09138453036,-33475.07382560673,-33475.05600863273,-33475.03791891848,-33475.01954122411,-33475.000859714455,-33474.981857908286,-33474.96251862185,-33474.94282390637,-33474.922754979,-33474.90229214693,-33474.88141472382,-33474.86010093815,-33474.8383278325,-33474.81607115296,-33474.79330522777,-33474.77000283365,-33474.74613504889,-33474.721671091225,-33474.696578139046,-33474.67082113358,-33474.64436255982,-33474.61716220343,-33474.589176880356,-33474.56036013557,-33474.53066190664,-33474.50002814717,-33474.468400404425,-33474.435715344334,-33474.401904216094,-33474.36689224722,-33474.33059795802,-33474.292932383,-33474.253798183876,-33474.2130886363,-33474.17068646892,-33474.12646252919,-33474.08027424504,-33474.031963845606,-33473.98135629577,-33473.92825689021,-33473.87244844005,-33473.8136879703,-33473.75170282693,-33473.686186068255,-33473.616790984146,-33473.54312454691,-33473.46473954592,-33473.38112509129,-33473.29169508362,-33473.19577413074,-33473.092580237055,-33472.98120338275,-33472.86057882671,-33472.72945357894,-33472.586343950024,-33472.42948133123,-33472.25674228914,-33472.06555752081,-33471.85279197565,-33471.61458513389,-33471.346135446925,-33471.041405312935,-33470.692711053365,-33470.2901433795,-33469.8207328944,-33469.26722341688,-33468.60622687833,-33467.80537552221,-33466.81879671474,-33465.57968052987,-33463.987600784225,-33461.88591721376,-33459.019385285996,-33454.949690123845,-33448.87456453863,-33439.2052484636,-33422.469557220786,-33390.07998928651,-33317.39552935082,-33123.916628073785,-32596.40126221368,-31912.10500482088,-31474.669865830783,-31286.62825388868,-31282.15968075816,-31282.15374644805,-31282.153735683627,-31282.153735651158
