pi,0.3335487748484049,0.3332132754800722,0.3332379496715223
means,"[9.995471007188145, 10.003307384453871]","[4.986138586325316, 4.946854360747247]","[0.007418240576424313, 0.044770398191188]"
covariances,"[[1.0790218800505595, -0.029093539275142976], [-0.029093539275142976, 1.0115084914107653]]","[[1.0058692477854465, -0.011497130803150247], [-0.011497130803150247, 1.022296368849016]]","[[0.9423517340299704, 0.014910074247609938], [0.014910074247609938, 1.0027906212960298]]"
log_likelihoods,-21806.696876479513,-20648.670750315636,-20497.533524301387,-20431.324390250844,-20397.999463038366,-20383.022065756584,-20377.489036473606,-20375.777539645795,-20375.304475614827,-20375.176168146216,-20375.136511822173,-20375.119476986496,-20375.108827120217,-20375.100547932885,-20375.093548000445,-20375.087441759086,-20375.082027983502,-20375.077165742892,-20375.07274293434,-20375.068666595038,-20375.064858603007,-20375.061252940588,-20375.057793592714,-20375.054432824512,-20375.051129743115,-20375.047849090843,-20375.044560231316,-20375.041236297173,-20375.037853473317,-20375.034390393514,-20375.03082763162,-20375.02714727178,-20375.02333254397,-20375.01936751382,-20375.015236817053,-20375.010925430506,-20375.006418472993,-20375.00170103018,-20374.996757998604,-20374.99157394474,-20374.98613297548,-20374.980418617048,-20374.97441369958,-20374.968100245183,-20374.961459357226,-20374.95447110905,-20374.947114430335,-20374.939366989434,-20374.931205070083,-20374.922603440777,-20374.91353521533,-20374.90397170277,-20374.893882244876,-20374.883234039204,-20374.871991945773,-20374.860118274704,-20374.847572552415,-20374.834311263214,-20374.820287563052,-20374.805450961416,-20374.789746967013,-20374.773116692086,-20374.755496409478,-20374.736817055564,-20374.717003670936,-20374.695974769707,-20374.673641626214,-20374.64990746628,-20374.62466654784,-20374.597803112665,-20374.569190187776,-20374.53868821069,-20374.506143447732,-20374.471386168254,-20374.43422852979,-20374.39446211967,-20374.351855086574,-20374.306148780448,-20374.257053800404,-20374.204245326106,-20374.147357577895,-20374.085977211475,-20374.019635402714,-20373.9477983124,-20373.869855534824,-20373.78510602063,-20373.692740813407,-20373.59182173694,-20373.481254895247,-20373.359757471964,-20373.225815795737,-20373.07763191133,-20372.913054866996,-20372.729491452264,-20372.52378897342,-20372.292079483872,-20372.02957012915,-20371.73025699934,-20371.386528565723,-20370.98860678183,-20370.52374463954,-20369.975050072077,-20369.319722122258,-20368.526336484218,-20367.550544370955,-20366.328026954026,-20364.762505272323,-20362.704412710547,-20359.91094124991,-20355.96645723093,-20350.11187289661,-20340.844678943355,-20324.873576138525,-20294.004704066137,-20224.472733549315,-20038.80982790611,-19561.815654718266,-19073.90566413638,-18740.83334872791,-18546.11159059456,-18535.670150430095,-18535.61717704367,-18535.616939114894,-18535.61693799908
