pi,0.25158407614181566,0.1897485423276723,0.19982062649589077,0.1868658572280547,0.17198089780656647
means,"[11.010168636321355, 11.107549639656426]","[20.061185980777502, 20.07955078027385]","[0.0014065479425340644, 0.04706790300374571]","[4.922927317849026, 4.903298927850474]","[14.55665036727236, 14.383528889368744]"
covariances,"[[7.107956509168878, 6.440733196580353], [6.440733196580353, 8.018836002318857]]","[[1.0123463185221457, -0.04927492031454209], [-0.04927492031454209, 0.9340068212139311]]","[[0.9479113143410899, 0.009032195757350299], [0.009032195757350299, 1.009693776925342]]","[[0.9360116784722934, -0.07687212133935266], [-0.07687212133935266, 0.940274317709071]]","[[5.4513342619534955, 4.418337490300655], [4.418337490300655, 5.095131777489494]]"
log_likelihoods,-44000.91539397063,-41573.64629656304,-41353.16067385365,-41275.74518149057,-41219.48820204167,-41141.775173060385,-40986.18329481728,-40644.908429210685,-40294.49224347531,-40180.658738479004,-40140.956237238,-40124.430777206144,-40117.64486336751,-40115.04508780643,-40114.10653187102,-40113.776146882505,-40113.65658671607,-40113.608118733144,-40113.583561172185,-40113.56723363926,-40113.55387555358,-40113.54164128745,-40113.52981645662,-40113.51807644652,-40113.506242668685,-40113.49419934313,-40113.48186275079,-40113.46916828361,-40113.456064016915,-40113.44250700905,-40113.42846095419,-40113.41389462391,-40113.39878082365,-40113.38309570624,-40113.36681834135,-40113.349930470315,-40113.332416396144,-40113.31426297115,-40113.29545965455,-40113.27599861817,-40113.25587488322,-40113.235086474015,-40113.213634576576,-40113.19152369183,-40113.16876177375,-40113.14536034406,-40113.12133457567,-40113.09670333778,-40113.071489196635,-40113.04571836656,-40113.01942060748,-40112.99262906603,-40112.96538005909,-40112.93771279995,-40112.90966906918,-40112.8812928337,-40112.85262981932,-40112.82372704356,-40112.79463231662,-40112.76539371979,-40112.73605907092,-40112.706675387424,-40112.67728835687,-40112.64794182512,-40112.618677311264,-40112.5895335573,-40112.56054611938,-40112.531747005865,-40112.50316436561,-40112.47482222821,-40112.44674029605,-40112.4189337865,-40112.391413320816,-40112.36418485492,-40112.337249646414,-40112.31060425054,-40112.28424053797,-40112.25814572605,-40112.232302415374,-40112.206688623264,-40112.18127780592,-40112.156038861016,-40112.13093610287,-40112.105929202684,-40112.08097308617,-40112.05601778172,-40112.03100821156,-40112.00588391907,-40111.980578724484,-40111.95502030154,-40111.92912966627,-40111.902820568794,-40111.87599877757,-40111.84856124394,-40111.820395133356,-40111.79137670666,-40111.76137003256,-40111.73022550887,-40111.697778165566,-40111.66384571806,-40111.62822633305,-40111.59069606167,-40111.55100588581,-40111.508878313085,-40111.46400344191,-40111.41603440265,-40111.36458206026,-40111.3092088394,-40111.24942150204,-40111.18466266924,-40111.11430083043,-40111.037618522416,-40110.95379828326,-40110.86190588679,-40110.760870236656,-40110.649459134256,-40110.52624992049,-40110.38959371001,-40110.237571564234,-40110.067940453446,-40109.87806618993,-40109.66483960691,-40109.42457101317,-40109.15285622733,-40108.844405074364,-40108.492819791194,-40108.090305846345,-40107.6272904763,-40107.09191358744,-40106.46933966871,-40105.740814924415,-40104.882355870905,-40103.862895576836,-40102.641616885856,-40101.164042773,-40099.35618722327,-40097.11561479727,-40094.297468472796,-40090.69214856376,-40085.988941377545,-40079.71595571761,-40071.14117822984,-40059.116168239765,-40041.86503125122,-40016.85440807328,-39981.346865837564,-39934.9431450569,-39883.31779738419,-39835.04009931441,-39792.14755482682,-39749.907284709145,-39698.45382619346,-39614.37964996122,-39431.53707221905,-39052.70767082037,-38835.48663323288,-38825.77967114177,-38824.95917815697,-38824.81350958484,-38824.76621215006,-38824.73720823352,-38824.71328809157,-38824.69190120135,-38824.67235278372,-38824.65433421101,-38824.637649345925,-38824.62215055359,-38824.607717982144,-38824.59425057599,-38824.581661323646,-38824.56987436592,-38824.558823026484,-38824.54844834836,-38824.53869793925,-38824.529525026635,-38824.520887669394,-38824.51274809377,-38824.505072131884,-38824.49782874642,-38824.490989628306,-38824.48452885605,-38824.47842260736,-38824.47264891472,-38824.4671874579,-38824.46201938747,-38824.45712717411,-38824.452494479556,-38824.448106045566,-38824.443947597756,-38824.44000576212,-38824.436267991885,-38824.43272250317,-38824.42935821797,-38824.42616471339,-38824.42313217609,-38824.42025136124,-38824.41751355523,-38824.414910541775,-38824.41243457087,-38824.41007833016,-38824.40783491858,-38824.40569782194,-38824.40366089021,-38824.401718316425,-38824.39986461687,-38824.39809461268,-38824.39640341253,-38824.39478639636,-38824.39323920017,-38824.39175770163,-38824.39033800663,-38824.38897643648,-38824.387669515985,-38824.3864139621,-38824.38520667326,-38824.384044719314,-38824.382925332015,-38824.38184589603,-38824.38080394046,-38824.379797130845,-38824.37882326158,-38824.377880248736,-38824.37696612338,-38824.376079025096,-38824.37521719602,-38824.37437897512,-38824.373562792774,-38824.372767165754,-38824.37199069233,-38824.3712320478,-38824.37048998014,-38824.369763305986,-38824.36905090677,-38824.368351725105,-38824.36766476139,-38824.36698907055,-38824.36632375897,-38824.36566798165,-38824.36502093943,-38824.36438187649,-38824.36375007781,-38824.36312486698,-38824.362505603945,-38824.36189168304,-38824.36128253094,-38824.36067760498,-38824.36007639128,-38824.35947840319,-38824.35888317977,-38824.358290284275,-38824.357699302825,-38824.35710984307,-38824.35652153297,-38824.35593401971,-38824.35534696847,-38824.3547600615,-38824.354172997104,-38824.353585488694,-38824.35299726399,-38824.352408064085,-38824.35181764277,-38824.35122576574,-38824.350632209906,-38824.35003676275,-38824.349439221696,-38824.34883939348,-38824.3482370937,-38824.34763214614,-38824.3470243824,-38824.34641364135,-38824.345799768744,-38824.34518261668,-38824.34456204333,-38824.3439379125,-38824.34331009324,-38824.34267845957,-38824.34204289009,-38824.34140326772,-38824.34075947935,-38824.34011141563,-38824.339458970644,-38824.3388020417,-38824.33814052906,-38824.33747433572,-38824.33680336719,-38824.33612753129,-38824.33544673795,-38824.334760899015,-38824.33406992805,-38824.33337374018,-38824.332672251905,-38824.33196538096,-38824.33125304614,-38824.33053516716,-38824.32981166449,-38824.32908245924,-38824.32834747301,-38824.327606627754,-38824.32685984564,-38824.326107048975,-38824.32534816003,-38824.32458310092,-38824.32381179354,-38824.32303415939,-38824.32225011949,-38824.32145959427,-38824.320662503465,-38824.31985876599,-38824.31904829984,-38824.31823102198,-38824.31740684825,-38824.31657569325,-38824.31573747025,-38824.31489209104,-38824.314039465884,-38824.31317950337,-38824.31231211033,-38824.3114371917,-38824.310554650474,-38824.309664387474,-38824.3087663014,-38824.307860288594,-38824.30694624294,-38824.306024055826,-38824.30509361592,-38824.30415480912,-38824.303207518424,-38824.302251623754,-38824.30128700189,-38824.30031352627,-38824.29933106693,-38824.29833949031,-38824.297338659104,-38824.296328432145,-38824.29530866425,-38824.294279206035,-38824.29323990375,-38824.292190599175,-38824.29113112935,-38824.29006132648,-38824.288981017686,-38824.287890024854,-38824.286788164434,-38824.2856752472,-38824.28455107806,-38824.283415455844,-38824.28226817303,-38824.28110901556,-38824.279937762534,-38824.278754185994,-38824.277558050635,-38824.2763491135,-38824.275127123736,-38824.27389182223,-38824.27264294135,-38824.27138020454,-38824.27010332603,-38824.26881201044,-38824.267505952426,-38824.26618483624,-38824.26484833533,-38824.26349611195,-38824.26212781661,-38824.26074308767,-38824.25934155083,-38824.257922818564,-38824.25648648962,-38824.25503214839,-38824.25355936431,-38824.25206769128,-38824.25055666693,-38824.24902581189,-38824.24747462915,-38824.24590260316,-38824.244309199115,-38824.24269386196,-38824.24105601561,-38824.23939506192,-38824.23771037966,-38824.236001323436,-38824.23426722262,-38824.23250738008,-38824.23072107098,-38824.22890754134,-38824.22706600677,-38824.225195650855,-38824.223295623626,-38824.22136503983,-38824.219402977214,-38824.21740847459,-38824.215380529844,-38824.21331809782,-38824.21122008802,-38824.20908536225,-38824.20691273202,-38824.20470095586,-38824.20244873639,-38824.20015471723,-38824.197817479755,-38824.19543553952,-38824.19300734255,-38824.1905312613,-38824.18800559041,-38824.1854285421,-38824.18279824126,-38824.18011272019,-38824.17736991303,-38824.174567649585,-38824.17170364899,-38824.16877551263,-38824.165780716685,-38824.16271660408,-38824.15958037574,-38824.1563690813,-38824.15307960895,-38824.149708674566,-38824.14625280989,-38824.14270834981,-38824.13907141854,-38824.13533791468,-38824.13150349498,-38824.12756355674,-38824.123513218656,-38824.11934729999,-38824.11506029785,-38824.11064636256,-38824.106099270546,-38824.10141239486,-38824.09657867293,-38824.09159057116,-38824.086440046165,-38824.08111850217,-38824.07561674416,-38824.06992492634,-38824.0640324953,-38824.05792812716,-38824.05159965822,-38824.0450340081,-38824.03821709446,-38824.031133738274,-38824.02376755855,-38824.016100854795,-38824.008114475946,-38823.999787673725,-38823.991097938306,-38823.98202081382,-38823.972529690844,-38823.96259557247,-38823.9521868101,-38823.94126880433,-38823.92980366551,-38823.91774982786,-38823.905061609454,-38823.89168870928,-38823.877575631006,-38823.86266102082,-38823.84687690443,-38823.83014780524,-38823.812389722116,-38823.79350894054,-38823.77340064534,-38823.751947296245,-38823.72901671877,-38823.7044598518,-38823.678108079745,-38823.64977005889,-38823.61922792571,-38823.58623274544,-38823.550499021774,-38823.511698039874,-38823.46944975032,-38823.42331281706,-38823.37277233873,-38823.31722460073,-38823.255958008536,-38823.188129068934,-38823.11273189406,-38823.02855915306,-38822.93415161807,-38822.82773233496,-38822.707119824976,-38822.56961232812,-38822.411831507714,-38822.2295085575,-38822.017187142796,-38821.767804109404,-38821.47208700521,-38821.1176710717,-38820.68777620125,-38820.15917488436,-38819.49898271213,-38818.659425396596,-38817.56898969608,-38816.116814554756,-38814.123767212724,-38811.28563303765,-38807.053504980526,-38800.359972756196,-38788.9256807907,-38767.27989206282
